case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
douzone_bizon_eqt_cloud_erp_case,CLOUD_AI_SOFTWARE_INFRA,012510,Douzone Bizon cloud ERP EQT investment case,KR,success_candidate,CLOUD_AI_SOFTWARE_INFRA,GREEN_POSSIBLE,,2025-11-07,,,,cloud_erp|b2b_saas|accounting_tax_compliance|customer_lock_in,arr_unverified|opm_unverified|fcf_unverified|si_revenue_mix,cloud_erp_success_candidate_needs_backfill,needs_price_backfill,false,"B2B SaaS is Green-eligible only after ARR, retention, OPM, and FCF are verified."
palantir_ai_platform_revenue_case,AI_SOFTWARE_APPLICATION,PLTR,Palantir AI platform revenue growth case,US,success_candidate,AI_SOFTWARE_APPLICATION,WATCH_YELLOW_FIRST,,,,2025-05-05,,ai_platform_revenue_growth|commercial_revenue_growth|government_revenue_growth|contract_value|rule_of_40,valuation_saturation|government_contract_concentration|political_ethical_risk,ai_software_aligned_candidate_plus_4b_watch,needs_source_date_and_price_backfill,false,"Palantir is an AI software success candidate, but valuation and concentration require 4B-watch."
netflix_ad_tier_growth_case,STREAMING_AD_PLATFORM,NFLX,Netflix advertising tier growth and privacy watch,US,success_candidate,STREAMING_AD_PLATFORM,WATCH_YELLOW_FIRST,,2024-11-12,,,,ad_tier_users|own_ad_tech|ad_revenue_growth|new_subscriber_mix,privacy_lawsuit|ad_arpu_saturation|ad_load_pressure,streaming_ad_platform_success_candidate_privacy_watch,needs_price_backfill,false,Streaming ad tier is structural only if ARPU and privacy/legal risk are controlled.
tencent_game_ai_ad_case,GAME_CONTENT_IP,0700.HK,Tencent gaming and AI advertising mixed case,HK,success_candidate,GAME_CONTENT_IP,WATCH_YELLOW_FIRST,,2026-05-13,,,,domestic_game_growth|international_game_growth|ai_ad_targeting|ad_revenue_growth,ai_capex_increase|profit_miss|competition_cost,game_ad_platform_success_but_ai_cost_watch,needs_price_backfill,false,Game IP and AI advertising help only if AI cost does not pressure margins.
trade_desk_revenue_miss_case,MEDIA_AD_CONTENT_CYCLE,TTD,The Trade Desk adtech revenue miss and weak guide,US,4c_thesis_break,MEDIA_AD_CONTENT_CYCLE,WATCH_YELLOW_FIRST,,,,,,ctv_adtech_platform|programmatic_ad_growth,revenue_miss|weak_guidance|premium_valuation|growth_slowdown|competition,premium_valuation_miss,needs_source_date_and_price_backfill,false,"Adtech can be structurally interesting, but premium valuation turns revenue misses into large drawdowns."
crowdstrike_outage_case,SECURITY_IDENTITY_DEEPFAKE,CRWD,CrowdStrike global outage operational-trust break,US,4c_thesis_break,SECURITY_IDENTITY_DEEPFAKE,WATCH_YELLOW_FIRST,,,,,2024-07-19,security_arr|endpoint_security_platform,global_outage|customer_lawsuit|gross_negligence_claim|renewal_risk|trust_damage,security_operational_trust_hard_4c,needs_price_backfill,false,Security software needs operational trust; a global outage is hard RedTeam evidence.
kakao_founder_legal_overhang_case,PLATFORM_GOVERNANCE_LEGAL_RISK,035720,Kakao founder SM stock-manipulation legal overhang,KR,4b_watch,PLATFORM_GOVERNANCE_LEGAL_RISK,REDTEAM_FIRST,,,,,,platform_assets|legal_overhang|founder_case|acquittal_resolution,founder_legal_case|stock_manipulation_case|governance_overhang|regulatory_investigation,legal_overhang_watch_resolved_by_acquittal,needs_source_date_and_price_backfill,false,Platform assets can be strong while legal overhang suppresses valuation; exact event dates need backfill.
roblox_safety_forecast_cut_case,GAME_CONTENT_IP,RBLX,Roblox child-safety forecast cut,US,4c_thesis_break,GAME_CONTENT_IP,WATCH_YELLOW_FIRST,,,,,2026-05-01,platform_user_growth|game_platform_bookings,child_safety_regulation|forecast_cut|bookings_cut|user_growth_slowdown,game_platform_safety_4c,needs_price_backfill,false,Large user platforms are not Green if safety rules cut bookings and growth.
take_two_gta_delay_case,GAME_CONTENT_IP,TTWO,Take-Two GTA VI second delay,US,4c_thesis_break,GAME_CONTENT_IP,WATCH_YELLOW_FIRST,,,,,2025-11-06,major_game_ip|single_title_expectation,single_title_delay|booking_deferral|development_cost_inflation|release_risk,single_ip_delay_4c_watch,needs_price_backfill,false,A major IP can still break near-term rerating when launch timing is delayed.
wpp_ad_cycle_slowdown_case,MEDIA_AD_CONTENT_CYCLE,WPP,WPP advertising-cycle slowdown,UK,4c_thesis_break,MEDIA_AD_CONTENT_CYCLE,WATCH_YELLOW_FIRST,,,,,2025-06-09,ad_market_recovery,client_budget_cut|ad_growth_forecast_cut|profit_decline|dividend_cut|ai_disintermediation,ad_cycle_4c_watch,needs_price_backfill,false,Traditional advertising remains cycle-sensitive and exposed to client budget cuts and AI disruption.
meta_scam_ads_lawsuit_case,PLATFORM_GOVERNANCE_LEGAL_RISK,META,Meta scam ads lawsuit and ad trust risk,US,4c_thesis_break,PLATFORM_GOVERNANCE_LEGAL_RISK,REDTEAM_FIRST,,,,,2026-05-11,ai_ad_targeting|platform_ad_revenue,scam_ad_lawsuit|consumer_protection|regulatory_lawsuit|brand_trust_damage,platform_ad_governance_4c_watch,needs_price_backfill,false,AI advertising must be paired with ad quality and legal trust; scam-ad claims are RedTeam evidence.
