archetype_view,canonical_archetypes,case_count,positive_or_candidate,counterexample_or_risk,status,note
CONTRACT_BACKLOG_INDUSTRIAL,CONTRACT_BACKLOG_INDUSTRIAL,4,3,1,insufficient_case_coverage,
DEFENSE_GOVERNMENT_BACKLOG,DEFENSE_GOVERNMENT_BACKLOG,3,2,1,insufficient_case_coverage,
SHIPBUILDING_OFFSHORE_BACKLOG,SHIPBUILDING_OFFSHORE_BACKLOG,2,1,1,insufficient_case_coverage,
EXPORT_RECURRING_CONSUMER,EXPORT_RECURRING_CONSUMER,3,1,2,insufficient_case_coverage,
K_BEAUTY_EXPORT_DISTRIBUTION,K_BEAUTY_EXPORT_DISTRIBUTION,4,2,2,covered_2x2,
MEMORY_HBM_CAPACITY,MEMORY_HBM_CAPACITY,4,2,2,covered_2x2,
SEMI_EQUIPMENT_CAPEX,SEMI_EQUIPMENT_CAPEX,2,1,1,insufficient_case_coverage,
AI_DATA_CENTER_INFRASTRUCTURE,AI_DATA_CENTER_INFRASTRUCTURE,3,2,1,insufficient_case_coverage,
NUCLEAR_SMR_GRID_POLICY,NUCLEAR_SMR_GRID_POLICY,2,0,2,insufficient_case_coverage,
BATTERY_MATERIALS_CAPEX_OVERHEAT,BATTERY_MATERIALS_CAPEX_OVERHEAT,2,0,2,insufficient_case_coverage,
COMMODITY_SPREAD,COMMODITY_SPREAD,2,1,1,insufficient_case_coverage,
RARE_METALS_STRATEGIC_MATERIALS,RARE_METALS_STRATEGIC_MATERIALS,0,0,0,insufficient_case_coverage,
SHIPPING_FREIGHT_CYCLE,SHIPPING_FREIGHT_CYCLE,2,1,1,insufficient_case_coverage,
AUTO_MOBILITY_COMPLETED_VEHICLE,AUTO_MOBILITY_COMPLETED_VEHICLE,0,0,0,insufficient_case_coverage,
AUTO_MOBILITY_COMPONENTS,AUTO_MOBILITY_COMPONENTS,0,0,0,insufficient_case_coverage,
ROBOTICS_FACTORY_AUTOMATION,ROBOTICS_FACTORY_AUTOMATION,2,0,2,insufficient_case_coverage,
PLATFORM_SOFTWARE_INTERNET,PLATFORM_SOFTWARE_INTERNET,4,2,2,covered_2x2,
GAME_CONTENT_IP,GAME_CONTENT_IP,2,1,1,insufficient_case_coverage,
FINANCIAL_SPREAD_BALANCE_SHEET,FINANCIAL_SPREAD_BALANCE_SHEET,2,0,2,insufficient_case_coverage,
VALUE_UP_SHAREHOLDER_RETURN,VALUE_UP_SHAREHOLDER_RETURN,3,0,3,insufficient_case_coverage,
HOLDING_RESTRUCTURING_GOVERNANCE,HOLDING_RESTRUCTURING_GOVERNANCE,3,0,3,insufficient_case_coverage,
TURNAROUND_COST_RESTRUCTURING,TURNAROUND_COST_RESTRUCTURING,0,0,0,insufficient_case_coverage,
BIOTECH_PRE_REVENUE_REGULATORY,BIOTECH_PRE_REVENUE_REGULATORY,2,0,2,insufficient_case_coverage,
BIOTECH_ROYALTY_COMMERCIALIZATION,BIOTECH_ROYALTY_COMMERCIALIZATION,3,2,1,insufficient_case_coverage,
CDMO_HEALTHCARE_CONTRACT,CDMO_HEALTHCARE_CONTRACT,2,1,1,insufficient_case_coverage,
MEDICAL_DEVICE_HEALTHCARE_EXPORT,MEDICAL_DEVICE_HEALTHCARE_EXPORT,3,1,2,insufficient_case_coverage,
RETAIL_DOMESTIC_CONSUMER,RETAIL_DOMESTIC_CONSUMER,0,0,0,insufficient_case_coverage,
TRAVEL_LEISURE_REOPENING,TRAVEL_LEISURE_REOPENING,2,1,1,insufficient_case_coverage,
CONSTRUCTION_REAL_ESTATE_CREDIT,CONSTRUCTION_REAL_ESTATE_CREDIT,2,0,2,insufficient_case_coverage,
UTILITIES_REGULATED_TARIFF,UTILITIES_REGULATED_TARIFF,0,0,0,insufficient_case_coverage,
EDUCATION_SPECIALTY_SERVICES,EDUCATION_SPECIALTY_SERVICES,2,1,1,insufficient_case_coverage,
ONE_OFF_OR_THEME_RISK,ONE_OFF_EVENT_DEMAND|THEME_VALUATION_OVERHEAT,2,0,2,insufficient_case_coverage,Round 9 reporting alias; production enum keeps one-off and theme overheat separate.
