target_id,stage1,stage2,stage3,stage4b,stage4c,hard_gate,production_scoring_changed
REDTEAM_ACCOUNTING_TRUST_OVERLAY,auditor_resignation|filing_delay|internal_control_issue,restatement|related_party_risk|regulatory_probe,not_applicable_until_trust_restored,accounting_risk_ignored_during_rerating,auditor_resignation|filing_delay|restatement|probe_or_management_unreliable,true,false
FINANCIAL_REPORTING_INTEGRITY_RISK,late_filing|material_weakness|control_deficiency,restatement_risk|going_concern_warning|qualified_opinion,not_applicable_until_reporting_integrity_restored,reporting_delay_normalized_by_market,qualified_opinion|material_weakness|restatement|going_concern,true,false
PRICE_ONLY_RALLY,price_spike|sns_theme|headline_without_numbers,no_eps_revision|no_contract_or_revenue|no_disclosure_support,not_green_without_eps_fcf_and_cross_evidence,price_only_4b_watch|retail_crowding,price_reversal|theme_fade|no_revenue_conversion,false,false
EVENT_PREMIUM,tender_offer|control_battle|policy_announcement|mou|disaster_or_disease_event,binding_contract|funded_budget|actual_order|guide_up,repeat_contract_or_revenue_plus_eps_fcf,event_premium_crowded|expected_deal_priced,event_fade|deal_failure|budget_missing|one_off_demand_normalization,false,false
CYCLICAL_SUCCESS,freight_rate_spike|commodity_spread|refining_margin|livestock_price,op_eps_spike|cost_spread_confirmed|cash_generation,cycle_durability_and_supply_discipline_required,cycle_peak_crowded|spot_price_peak,spread_reversal|freight_rate_crash|inventory_build|capacity_addition,false,false
STRUCTURAL_SUCCESS_ALIGNED,industry_structure_change|official_disclosure_or_report|price_attention,contract_order_revenue_or_revision|eps_fcf_bodyweight_change|cross_evidence,price_path_aligned|medium_term_eps_fcf_revision|valuation_frame_change|no_hard_redteam,crowded_new_frame|valuation_saturation|revision_slowdown,hard_redteam|thesis_break|eps_fcf_revision_down,false,false
EVIDENCE_GOOD_BUT_PRICE_FAILED,strong_disclosure|solid_report|eps_revision,no_rerating|price_underperforms_peer|liquidity_or_frame_stuck,requires_mispricing_diagnosis_not_green_promotion,market_frame_not_changed,evidence_not_monetized|valuation_frame_stuck|price_below_stage3,false,false
FALSE_POSITIVE_SCORE,high_score_without_actual_evidence|proxy_score_overfit,earnings_miss|no_price_validation|redteam_ignored,not_applicable_until_score_axis_fixed,false_positive_crowding,price_failed|earnings_failed|audit_or_redteam_ignored,false,false
CROWDED_RERATING_4B_WATCH,large_12m_24m_return|universally_bullish_reports|target_multiple_expansion,valuation_band_saturated|revision_momentum_slowing|capacity_or_new_entrant_news,not_new_green_unlock,4b_watch|4b_elevated|4b_graduated,revision_down|demand_slowdown|capex_overbuild|margin_peak,false,false
THESIS_BREAK_4C,contract_cancellation|order_cut|regulatory_denial|demand_crash,eps_revision_down|margin_break|customer_capex_cut|depeg_or_reserve_failure,not_applicable_after_thesis_break,ignored_thesis_break,hard_4c|stage_downgrade|green_block,true,false
LEGAL_REGULATORY_REDTEAM,lawsuit|regulatory_probe|license_risk|approval_denial,fine_or_restriction|commercialization_blocked|export_approval_issue,not_green_until_legal_scope_resolved,legal_risk_ignored_by_rally,approval_denial|license_revocation|injunction|regulatory_sanction,true,false
OPERATIONAL_TRUST_BREAK,security_outage|privacy_breach|customer_damage|platform_safety_incident,customer_lawsuit|renewal_risk|service_level_break,trust_restoration_and_retention_required,trust_break_ignored_by_growth_story,customer_churn|lawsuit_damage|renewal_decline|brand_trust_loss,true,false
LEVERAGE_FCF_BREAKDOWN,negative_fcf|cash_runway_short|refinancing_need|high_debt_to_ebitda,dividend_cut|buyback_cancelled|distressed_financing|take_private_discount,not_green_without_fcf_and_balance_sheet_repair,growth_story_ignores_funding_need,cash_runway_collapse|going_concern|refinancing_failure|dilution,true,false
UNKNOWN_INSUFFICIENT_EVIDENCE,undated_document|single_source_claim|missing_price_or_financials,evidence_gap|unverified_publish_date|missing_official_confirmation,not_green_until_evidence_gap_closed,unknown_story_priced_as_fact,missing_evidence|date_unverified|source_unverified,false,false
