target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,gate_only,production_scoring_changed,normalization_point
BATTERY_MATERIALS_CAPEX_OVERHEAT,BATTERY_EV_GREEN,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,20,16,14,10,10,0,5,ev_growth_narrative|long_term_supply_contract|capa_expansion_news,real_contract|price_margin_improvement|op_eps_revision,long_term_contract|price_pass_through|fcf_after_capex|demand_visibility,per_pbr_overheat|capa_race|target_price_crowding,ev_demand_slowdown|raw_material_price_drop|capa_overbuild|customer_line_idle,contract_quality|price_pass_through|fcf_after_capex|demand_visibility,ev_demand_slowdown|capa_overbuild|lithium_price_crash|customer_capex_cut,false,false,Battery materials stay RedTeam-first because CAPEX and mineral cycles can reverse the story quickly.
BATTERY_EQUIPMENT_PARTS,BATTERY_EV_GREEN,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,19,17,12,12,10,0,5,battery_equipment_order|cell_customer_capex|delivery_schedule_keyword,customer_order|delivery_schedule|margin_visibility,order_to_revenue_conversion|customer_diversification|op_eps_revision,equipment_capex_cycle_crowded|cell_capex_peak,customer_capex_cut|delivery_delay|margin_miss,customer_order|delivery_schedule|margin_visibility|op_eps_revision,customer_capex_cut|delivery_delay|single_customer,false,false,Battery equipment can become Watch-to-Green only when customer CAPEX converts to revenue and margin.
BATTERY_RECYCLING_ESS_SHIFT,BATTERY_EV_GREEN,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,20,16,14,10,10,0,5,ess_shift|battery_recycling|lfp_ess_production|solid_state_battery_keyword,ess_customer_contract|capacity_utilization|recycling_volume|metal_recovery_revenue,recurring_ess_or_recycling_fcf|margin_visible|ev_slowdown_offset,ess_narrative_crowded|recycling_premium_overheat,recycling_volume_shortfall|metal_price_drop|utilization_drop|ev_demand_slowdown,ess_contract|capacity_utilization|recycling_volume|fcf_margin,recycling_volume_shortfall|ev_demand_slowdown|metal_price_drop|utilization_drop,false,false,"ESS shift is a separate Watch path, but it cannot erase EV slowdown risk without contracts and utilization."
EV_INFRASTRUCTURE,BATTERY_EV_GREEN,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,17,14,7,11,9,0,5,charging_station|charger_installation|ev_infrastructure_policy,utilization|recurring_revenue|subsidy_visibility,profitable_utilization|repeat_revenue|subsidy_independent_margin,ev_charging_theme_crowded,low_utilization|subsidy_cut|fire_regulation|maintenance_cost,utilization|recurring_revenue|profitability,low_utilization|subsidy_dependency|fire_regulation,false,false,"EV charging needs utilization and unit economics, not installation count alone."
HYDROGEN_FUEL_CELL_INFRA,BATTERY_EV_GREEN,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,18,18,12,12,10,0,5,hydrogen_fuel_cell_factory|hydrogen_policy|electrolyzer_or_commercial_vehicle,customer_or_demand_source|production_capacity|delivery_contract,utilization|op_eps_conversion|subsidy_independent_economics,hydrogen_theme_overheat,subsidy_cut|customer_absent|low_utilization|project_delay,customer_demand|production_capacity|utilization|op_eps_conversion,subsidy_dependency|customer_absent|low_utilization,false,false,"Hydrogen is Watch-to-Green only when CAPEX has customers, utilization, and operating-profit conversion."
SOLAR_TARIFF_SUPPLYCHAIN,BATTERY_EV_GREEN,UTILITIES_REGULATED_TARIFF,REDTEAM_FIRST,18,17,12,12,10,0,5,solar_factory|subsidy_policy|module_or_cell_demand,utilization|customer_contract|supply_chain_stable|op_turnaround,subsidy_independent_fcf|supply_chain_clean|margin_visible,solar_manufacturing_narrative_crowded|subsidy_premium,tariff_risk|customs_detention|uflpa_detention|subsidy_cut|worker_furlough,utilization|customer_contract|supply_chain_stable|fcf_margin,tariff_risk|customs_detention|uflpa_detention|subsidy_dependency,false,false,Solar is RedTeam-first because policy benefit and policy/supply-chain break can arrive together.
RENEWABLE_ENERGY_POLICY,BATTERY_EV_GREEN,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,18,16,10,11,9,0,5,wind_or_renewable_project|carbon_policy|renewable_power_policy,permitted_project|funding_visible|cost_schedule_visible,project_economics|op_eps_conversion|cost_controlled,renewable_policy_crowded|project_premium,permitting_delay|financing_cost|cost_overrun|project_delay|impairment,permitting|funding|cost_schedule|margin_visibility,permitting_delay|financing_cost|cost_overrun|impairment,false,false,"Renewable policy remains Watch until project economics survive rates, permits, and cost pressure."
ENERGY_DISTRIBUTION_FUEL,BATTERY_EV_GREEN,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,18,15,16,10,10,2,5,lng_or_lpg_distribution|fuel_spread|energy_price_move,spread_improvement|inventory_status|demand_visibility,repeat_spread_margin|fcf_defense|capital_allocation_disciplined,fuel_spread_crowded,energy_price_reversal|inventory_loss|tariff_or_policy_shock,spread_improvement|inventory_status|fcf_margin,price_reversal|inventory_loss|policy_shock,false,false,Energy distribution is spread/cycle driven and should carry cycle caps.
WASTE_RECYCLING_ENVIRONMENT,BATTERY_EV_GREEN,UTILITIES_REGULATED_TARIFF,GREEN_POSSIBLE,18,22,15,13,12,3,5,waste_treatment_platform|recycling_demand|permit_value|waste_to_energy,treatment_volume|long_term_contract|utilization|fcf_visible,permit_asset|recurring_fcf|valuation_frame_change|mna_value_support,waste_mna_premium_crowded|permit_value_fully_priced,utilization_drop|capex_burden|metal_price_drop|regulatory_cost,permit_asset|treatment_volume|utilization|recurring_fcf,utilization_drop|capex_burden|commodity_recycling_price_drop,false,false,Waste treatment is one of the few R3 Green-capable areas when permits and recurring FCF are proven.
CARBON_CREDIT_CBAM_COMPLIANCE,BATTERY_EV_GREEN,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,14,17,10,12,8,2,6,eu_ets_or_cbam_policy|carbon_accounting|compliance_monitoring,carbon_accounting_revenue|verification_revenue|low_carbon_product_premium,recurring_compliance_revenue|cost_pass_through|industrial_customer_base,carbon_price_theme_crowded,carbon_price_drop|free_allowance_expansion|greenwashing_risk|policy_delay,recurring_revenue|verification_customer|cost_pass_through,carbon_price_volatility|greenwashing|policy_reversal,false,false,Carbon credits alone are Watch; compliance software/service revenue is the stronger route.
