field,required_for_round48_backfill
case_id,true
symbol,true
company_name,true
primary_archetype,true
secondary_archetypes,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_price,true
stage2_price,true
stage3_price,true
stage4b_price,true
stage4c_price,true
peak_price,true
MFE_30D,true
MFE_90D,true
MFE_180D,true
MFE_1Y,true
MFE_2Y,true
MAE_30D,true
MAE_90D,true
MAE_180D,true
MAE_1Y,true
drawdown_after_peak,true
below_stage3_price_flag,true
arr_growth,true
subscription_revenue_growth,true
recurring_revenue_ratio,true
churn_rate,true
net_retention_rate,true
customer_count,true
large_customer_concentration,true
op_margin_change,true
fcf_margin,true
ai_revenue_contribution,true
compute_cost_ratio,true
model_dependency_flag,true
copyright_lawsuit_flag,true
license_risk_flag,true
bookings_growth,true
daily_active_users,true
monthly_active_users,true
single_ip_revenue_ratio,true
game_delay_flag,true
platform_safety_flag,true
regulatory_ban_flag,true
ad_revenue_growth,true
ad_arpu,true
ad_tier_users,true
client_budget_cut_flag,true
privacy_lawsuit_flag,true
scam_ad_lawsuit_flag,true
security_outage_flag,true
customer_lawsuit_flag,true
renewal_rate,true
incident_recovery_days,true
trust_damage_flag,true
founder_legal_case_flag,true
governance_overhang_flag,true
regulatory_investigation_flag,true
score_price_alignment,true
price_validation_status,true
