target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop3_penalty_axes,gate_only,production_scoring_changed,normalization_point
REFINING_OIL_SPREAD,MATERIALS_SPREAD_STRATEGIC,REFINING_OIL_SPREAD,WATCH_YELLOW_FIRST,20,10,18,10,9,2,5,refining_margin_rebound|oil_geopolitical_event|inventory_gain|logistics_normalization,refining_op_improvement|inventory_gain_loss_excluded|core_refining_margin|op_revision_1q,repeat_fcf|core_margin_durable|high_margin_mix|inventory_noise_excluded,refining_margin_peak|inventory_gain_crowded|geopolitical_premium_fully_priced,refining_margin_drop|inventory_loss|logistics_recovery_delay|demand_slowdown,repeat_fcf|core_margin_durable|inventory_noise_excluded,inventory_loss|refining_margin_drop|temporary_crack_spread|geopolitical_event_reversal,refining_margin|inventory_gain_loss|logistics|geopolitics,false,false,Refining remains Watch because crack spread and inventory gains are not durable FCF by themselves.
LUBRICANTS_HIGH_MARGIN_MIX,MATERIALS_SPREAD_STRATEGIC,LUBRICANTS_HIGH_MARGIN_MIX,GREEN_POSSIBLE,19,16,12,12,11,3,5,lubricants_high_margin_mix|base_oil_margin|repeat_industrial_demand,mix_ratio_improves|repeat_demand|opm_expansion|fcf_margin,high_margin_mix_durable|repeat_customer_demand|capital_return|fcf_conversion,lubricants_premium_crowded|margin_peak_ignored,oil_price_shock|mix_deterioration|industrial_demand_slowdown|margin_reversal,high_margin_mix_durable|repeat_demand|fcf_conversion|capital_return,mix_deterioration|oil_price_shock|demand_slowdown,oil_price|mix|demand|margin,false,false,Lubricants can move toward Green only when high-margin mix is repeatable and cash-generative.
CHEMICAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,CHEMICAL_SPREAD,REDTEAM_FIRST,19,6,16,8,6,0,5,chemical_spread_rebound|china_stimulus|product_price_rebound|restocking,actual_op_improvement|spread_change_90d|inventory_normalization|capacity_shutdown,supply_glut_easing|restructuring|durable_spread|fcf_margin,spread_recovery_crowded|china_stimulus_overpriced,china_middle_east_capacity_glut|spread_reversal|inventory_increase|op_fcf_drop,supply_glut_easing|capacity_restructuring|durable_fcf,china_middle_east_capacity_glut|supply_glut|spread_reversal|inventory_increase,oversupply|supply_glut|china_middle_east_capacity|inventory,false,false,Chemicals are RedTeam-first because spread rebound can reverse before FCF becomes structural.
STEEL_METAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,STEEL_METAL_SPREAD,WATCH_YELLOW_FIRST,18,9,16,10,8,1,5,steel_spread|iron_ore_price|china_construction_demand|plate_price,steel_spread_improvement|cost_control|op_revision_1q|inventory_normalization,supply_discipline|demand_recovery|fcf_margin|dividend_supported_by_fcf,steel_recovery_crowded|dividend_expectation_full,iron_ore_price_decline|china_demand_weakness|dividend_cut|profit_downcycle,supply_discipline|demand_recovery|fcf_margin,chinese_exports|china_demand_weakness|dividend_cut|price_pressure,china_demand|iron_ore|steel_spread|dividend,false,false,"Steel is Watch; China demand, raw material cost, and dividends decide whether the story survives."
NONFERROUS_STRATEGIC_METALS,MATERIALS_SPREAD_STRATEGIC,NONFERROUS_STRATEGIC_METALS,WATCH_YELLOW_FIRST,18,14,15,12,11,2,5,copper_zinc_aluminum_price|smelting_margin|mine_disruption|strategic_metal_keyword,realized_metal_price|smelting_margin|op_revision_1q|fcf_margin,cost_curve_advantage|supply_constraint|fcf_conversion|capital_return,nonferrous_price_rally_crowded|event_premium_confused_with_fcf,metal_price_drop|china_demand_slowdown|smelting_margin_drop|governance_event_only,cost_curve_advantage|supply_constraint|fcf_conversion|capital_return,metal_price_drop|smelting_margin_drop|event_premium|governance_dispute,metal_price|smelting_margin|event_premium|china_demand,false,false,Nonferrous needs smelting-margin and FCF evidence; event price moves must be separated.
COPPER_AI_GRID_STRUCTURAL_DEMAND,MATERIALS_SPREAD_STRATEGIC,COPPER_AI_GRID_STRUCTURAL_DEMAND,GREEN_POSSIBLE,19,16,17,13,11,2,5,ai_datacenter_grid_demand|grid_modernization|ev_renewable_copper_demand|copper_price_breakout,deficit_forecast|mine_disruption|company_eps_revision|realized_copper_price,low_cost_production|production_volume_stable|fcf_conversion|capital_return,ai_copper_narrative_crowded|stockpile_distortion_ignored|physical_etf_flow_overpriced,copper_price_drop|mine_supply_normalization|demand_destruction|tariff_inventory_unwind,low_cost_production|production_volume_stable|fcf_conversion|capital_return,inventory_distortion|tariff_stockpile|mine_restart|demand_destruction,tariff_inventory|mine_restart|demand_destruction|stockpile,false,false,"Copper has AI-grid demand, but company-level Green still needs cost curve, volume, FCF, and returns."
RARE_METALS_STRATEGIC_MATERIALS,MATERIALS_SPREAD_STRATEGIC,RARE_METALS_STRATEGIC_MATERIALS,GREEN_POSSIBLE,19,21,19,14,13,5,5,rare_earth_export_control|strategic_supply_chain|defense_supply_chain|rare_earth_price_spike,government_investment|price_floor|offtake_contract|long_term_purchase|production_capacity,production_ramp_up|customer_diversification|revenue_recognized|fcf_conversion,rare_earth_related_rally_crowded|no_production_capacity_rally|price_floor_overgeneralized,production_ramp_failure|price_floor_policy_change|customer_offtake_delay|policy_support_delay,government_support|price_floor|offtake_contract|production_capacity|fcf_conversion,no_production_capacity|no_offtake|no_price_floor|project_delay|policy_dependency,policy|production_ramp|project_execution|price_floor,false,false,"Rare metals get stronger only when policy support is tied to price floor, offtake, production, and FCF."
LITHIUM_BATTERY_RAW_MATERIAL,MATERIALS_SPREAD_STRATEGIC,LITHIUM_BATTERY_RAW_MATERIAL,WATCH_YELLOW_FIRST,17,9,15,8,7,0,5,lithium_price_rebound|mine_shutdown|ev_or_ess_demand|capex_cut,low_cost_mine|offtake_contract|fcf_defense|capex_discipline,durable_fcf|restart_supply_risk_controlled|low_cost_position|price_defense,lithium_rebound_crowded|mine_restart_ignored|sodium_ion_ignored,lithium_price_crash|mine_restart_supply_rebound|ev_demand_slowdown|sodium_ion_substitution,low_cost_mine|offtake_contract|fcf_defense|capex_discipline,price_crash|mine_restart|supply_rebound|sodium_ion_competition|ev_demand_slowdown,lithium_price|mine_restart|ev_demand|sodium_ion,false,false,Lithium is Cycle/Watch: ESS demand can help Stage 1/2 but not Green without FCF and supply response control.
PRECIOUS_METALS_SAFE_HAVEN_MINERS,MATERIALS_SPREAD_STRATEGIC,PRECIOUS_METALS_SAFE_HAVEN_MINERS,WATCH_YELLOW_FIRST,20,10,16,9,8,5,5,gold_silver_price|safe_haven_demand|real_rate_drop|mine_output,realized_gold_price|aisc_control|fcf_improvement|buyback_or_dividend,cost_control|capital_return|production_stable|jurisdiction_risk_controlled,record_gold_price_crowded|miner_group_overheat|safe_haven_narrative_crowded,gold_price_correction|aisc_rise|production_drop|jurisdiction_risk,realized_price|aisc_control|capital_return|fcf_conversion|production_stable,gold_price_correction|aisc_rise|mine_risk|production_drop,gold_price|aisc|production|jurisdiction,false,false,"Gold miners can work as cycles, but safe-haven price alone is not structural visibility."
GENERAL_TRADING_RESOURCE_INFRA,MATERIALS_SPREAD_STRATEGIC,GENERAL_TRADING_RESOURCE_INFRA,GREEN_POSSIBLE,17,20,12,15,18,8,5,resource_rights|energy_contract|buyback_dividend|conglomerate_discount_rerating,long_term_offtake|project_stake|fcf|capital_return|valuation_discount,resource_infra_fcf_frame|capital_allocation_execution|valuation_discount_narrows,sogo_shosha_story_crowded|resource_infra_rerating_full,commodity_price_drop|project_delay|capital_allocation_retreat|fx_hit,long_term_offtake|project_stake|fcf|capital_return,commodity_cycle|project_delay|capital_allocation_retreat,commodity|fx|conglomerate_discount|project_delay,false,false,"Trading/resource houses rerate on resource-infra FCF and capital allocation, not sales scale alone."
LNG_ENERGY_TRADING_DISTRIBUTION,MATERIALS_SPREAD_STRATEGIC,LNG_ENERGY_TRADING_DISTRIBUTION,GREEN_POSSIBLE,18,17,16,10,10,2,5,lng_long_term_contract|energy_security|lpg_distribution|project_news,long_term_contract|fid_status|project_equity_investment|margin_visible,repeat_fcf|project_stake|energy_security_value|margin_visible,lng_contract_story_crowded|energy_security_premium_full,fid_delay|financing_delay|lng_price_reversal|project_delay,long_term_contract|fid_status|project_stake|margin_visible|repeat_fcf,fid_delay|financing_delay|price_reversal|project_delay,fid|lng_price|project_financing|margin,false,false,"LNG can be Watch-to-Green when long contracts, FID, project stake, and FCF are explicit."
PAPER_PACKAGING_CYCLE,MATERIALS_SPREAD_STRATEGIC,PAPER_PACKAGING_CYCLE,WATCH_YELLOW_FIRST,17,12,12,10,8,3,5,paper_price|corrugated_spread|packaging_mna|plastic_replacement,volume_recovery|price_cost_spread|mna_synergy|cash_return,durable_spread|scale_economics|cash_return|fcf_stable,packaging_mna_premium_crowded|consolidation_narrative_overpriced,low_volume|price_pressure|competition_remedy|plant_divestment|mature_industry_limit,volume_recovery|price_cost_spread|cash_return|fcf_stable,low_volume|price_pressure|competition_remedy|mature_industry|plant_divestment,cost|competition|mature_industry|regulatory_remedy,false,false,Packaging is mature and cyclical; M&A premium is not durable spread evidence by itself.
ADVANCED_MATERIAL_SPECULATIVE_THEME,MATERIALS_SPREAD_STRATEGIC,ADVANCED_MATERIAL_SPECULATIVE_THEME,REDTEAM_FIRST,5,5,5,5,5,0,3,graphene_mxene_ferrite_superconductor_theme|paper_or_preprint|sns_theme,commercial_contract|qualified_customer|revenue_conversion,commercial_revenue|repeat_customer|fcf_path,speculative_material_theme_overheat|paper_only_price_run,no_commercialization|paper_only|no_revenue|dilution,commercial_contract|revenue_conversion|fcf_path,paper_only|no_revenue|theme_only|no_commercialization|dilution,commercialization|customer_validation|revenue|dilution,false,false,Advanced materials are RedTeam-first before commercial revenue and customer validation.
SPECULATIVE_SCIENCE_THEME,MATERIALS_SPREAD_STRATEGIC,SPECULATIVE_SCIENCE_THEME,REDTEAM_FIRST,5,4,5,5,5,0,3,paper_or_preprint|sns_science_theme|lab_result,independent_replication|commercial_customer|revenue_path,commercial_revenue|repeat_customer|fcf_path,science_theme_overheat|retail_crowding,replication_failure|commercial_product_absent|no_customer|dilution,commercial_revenue|customer_validation|fcf_path,replication_failure|paper_only|no_commercial_product|no_revenue,replication|commercial_product|customer|revenue,false,false,"Science themes are Red by default when only papers, preprints, or social-media narratives exist."
EVENT_PREMIUM_GOVERNANCE_OVERLAY,MATERIALS_SPREAD_STRATEGIC,EVENT_PREMIUM_GOVERNANCE_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,tender_offer|hostile_takeover|governance_battle|event_day_price_reaction,event_premium_detected,not_applicable_gate_only,not_applicable_gate_only,event_premium_misclassified_as_structural|capital_structure_risk|governance_dispute,,tender_offer|governance_event|event_premium|capital_structure_risk,event_premium|governance|capital_structure|hostile_takeover,true,false,"Tender offers and governance battles are RedTeam overlays, not EPS/FCF rerating evidence."
COMMODITY_PRICE_4C_OVERLAY,MATERIALS_SPREAD_STRATEGIC,COMMODITY_PRICE_4C_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,commodity_price_breakout_or_crash|spread_reversal|supply_restart|dividend_change,commodity_4c_risk_detected,not_applicable_gate_only,not_applicable_gate_only,price_crash|supply_restart|dividend_cut|capex_cut|demand_destruction,,price_crash|supply_restart|dividend_cut|capex_cut|demand_destruction,commodity_price|supply_restart|dividend|capex,true,false,"Commodity price reversal, supply restart, and dividend cuts are 4C overlays, not positive score."
