target_id,large_sector,canonical_archetype,posture,eps_fcf_opm_conversion,overseas_channel_localization_platform_visibility,sellthrough_reorder_recurring_consumption,inventory_receivables_margin_quality,early_price_validation,tariff_regulation_capex_disclosure_redteam,valuation_4b_room,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop12_penalty_axes,hard_gate,production_scoring_changed,normalization_point
K_FOOD_GLOBAL_LOCALIZATION,CONSUMER_RETAIL_BRAND,K_FOOD_GLOBAL_LOCALIZATION,WATCH_YELLOW_FIRST,24,22,18,10,10,10,6,kfood_global_demand|bibigo_or_global_brand|localization_headline|mainstream_shelf,schwans_distribution|local_production_footprint|japan_hungary_us_plant|overseas_channel,overseas_sales_growth|plant_utilization|opm_fcf_improvement|asp_defended|reorder_signal,localization_narrative_priced_before_utilization,local_plant_utilization_weak|capex_drag|logistics_cost|opm_not_improving,plant_utilization|opm_fcf_improvement|overseas_sales_growth|reorder_signal,capex_drag|utilization_unknown|opm_missing|fx_logistics_cost,localization|plant_utilization|opm_fcf,false,false,"K-food localization is Stage 2 evidence; Stage 3 needs utilization, ASP, OPM, FCF, and repeat demand."
K_FOOD_GLOBAL_STAPLE_BRAND_SECOND_WAVE,CONSUMER_RETAIL_BRAND,K_FOOD_GLOBAL_STAPLE_BRAND_SECOND_WAVE,WATCH_YELLOW_FIRST,23,20,22,12,9,8,6,global_staple_brand|choco_pie_or_snack_brand|multi_region_presence,local_production|regional_sales_base|repeat_snack_consumption|multi_country_distribution,regional_sales_growth|regional_opm|input_cost_pass_through|op_eps_revision|new_product_reorder,global_staple_story_crowded,china_consumption_slowdown|russia_fx_geopolitics|cocoa_sugar_wheat_cost|brand_maturity_cap,regional_opm|input_cost_pass_through|repeat_consumption|op_eps_revision,regional_growth_cap|input_cost_risk|fx_or_geopolitics,repeat_snack_demand|regional_opm|maturity_cap,false,false,"Global staple brands can be Stage 2~3 candidates, but regional OPM and cost pass-through are the gate."
K_FOOD_SINGLE_SKU_EXPORT_RISK,CONSUMER_RETAIL_BRAND,K_FOOD_SINGLE_SKU_EXPORT_RISK,REDTEAM_FIRST,cap,cap,cap,cap,cap,cap,+,single_sku_export_story|viral_product|export_headline,sku_export_growth|channel_addition|opm_check_required,not_green_until_multi_sku_reorder_opm_and_inventory_are_verified,single_sku_viral_priced_before_reorder,single_sku_slowdown|raw_material_cost|inventory_build|channel_concentration,multi_sku_reorder|opm_stable|inventory_stable,single_sku_dependency|viral_fad|inventory_unknown,single_sku|viral|inventory_cap,false,false,"Single-SKU export stories are capped until repeat multi-SKU demand, OPM, and inventory quality are verified."
ECOMMERCE_RESTRUCTURING_JV_KOREA,CONSUMER_RETAIL_BRAND,ECOMMERCE_RESTRUCTURING_JV_KOREA,WATCH_YELLOW_FIRST,18,24,8,10,12,18,10,gmarket_turnaround|aliexpress_korea|cross_border_ecommerce|platform_restructuring,50_50_jv|price_reaction|kftc_conditional_approval|market_share_option,gmv_recovery|take_rate_improvement|ad_revenue_improvement|logistics_marketing_cost_reduction|fcf_improvement,jv_headline_priced_before_synergy,data_sharing_restriction|coupang_naver_competition|monetization_delay|china_crossborder_regulation,gmv_recovery|take_rate_improvement|profitability_improvement|fcf_improvement,data_restriction|synergy_missing|competition_intense,jv|gmv|take_rate|data_regulation,false,false,"Korea e-commerce JV is Stage 2 until GMV, take-rate, cost, and FCF conversion are visible."
RETAIL_PLATFORM_DATA_REGULATION_OVERLAY,CONSUMER_RETAIL_BRAND,RETAIL_PLATFORM_DATA_REGULATION_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,platform_data_combination|customer_database|cross_border_market_share,regulatory_approval_condition|data_sharing_restriction,not_green_until_data_rule_allows_monetization_and_platform_profitability_is_verified,data_synergy_priced_before_regulation_clears,kftc_data_sharing_restriction|independent_operation_condition|monetization_delay|privacy_or_data_rule_tightens,regulated_data_use_cleared|monetization_visible|profitability_improves,kftc_data_sharing_restriction|data_regulation|monetization_delay|privacy_condition,data_regulation|platform_monetization,true,false,Data-sharing restrictions are a RedTeam overlay for retail-platform monetization.
DEPARTMENT_STORE_MALL_REDEVELOPMENT,CONSUMER_RETAIL_BRAND,DEPARTMENT_STORE_MALL_REDEVELOPMENT,WATCH_YELLOW_FIRST,18,20,8,12,9,24,9,mall_redevelopment|retailtainment|tourist_recovery|offline_retail_recovery,large_mall_investment_plan|portfolio_transformation|lease_income_option,foot_traffic_growth|sales_per_customer|lease_income_growth|capex_payback|opm_fcf_improvement,redevelopment_story_priced_before_payback,capex_burden|traffic_recovery_failure|tourist_spend_weak|online_competition,capex_payback|lease_income_growth|opm_fcf_improvement|traffic_growth,capex_burden|traffic_weak|payback_unknown,mall_redevelopment|capex_payback|traffic,false,false,"Mall redevelopment is Stage 1~2 before traffic, lease income, CAPEX payback, and FCF are proven."
CONVENIENCE_STORE_PB_SSSG_KOREA,CONSUMER_RETAIL_BRAND,CONVENIENCE_STORE_PB_SSSG_KOREA,WATCH_YELLOW_FIRST,22,20,16,16,8,12,6,convenience_defensive_story|pb_food|ready_to_eat_meals|single_household_demand,store_network|pb_mix|sssg|quick_commerce_or_delivery,sssg_growth|pb_mix_rises|franchisee_margin_stable|wage_rent_electricity_controlled|opm_fcf_improvement,defensive_rerating_before_cost_check,wage_rent_electricity_cost_pressure|franchisee_margin_pressure|store_saturation|online_grocery_competition,sssg_growth|pb_mix_rises|franchisee_margin_stable|opm_fcf_improvement,cost_pressure|franchisee_margin_pressure|sssg_missing,sssg|pb_mix|franchisee_margin,false,false,"Convenience-store Stage 3 needs SSSG, PB mix, franchise margin, OPM, and FCF, not defensive-stock language."
K_BEAUTY_BRAND_SECOND_WAVE,CONSUMER_RETAIL_BRAND,K_BEAUTY_BRAND_SECOND_WAVE,WATCH_YELLOW_FIRST,23,20,20,14,9,9,5,kbeauty_viral|amazon_tiktok_growth|brand_second_wave|us_import_growth,us_japan_channel_growth|brand_portfolio|offline_entry|online_sales_growth,offline_sell_through|reorder_signal|overseas_asp_defended|inventory_receivables_stable|opm_fcf_improvement,kbeauty_second_wave_basket_rally|viral_priced_before_sellthrough,tariff_exposure|growth_plateau|inventory_or_receivables_spike|low_price_competition,offline_sell_through|reorder_signal|inventory_receivables_stable|opm_fcf_improvement,sellthrough_missing|inventory_unknown|tariff_risk,sellthrough|reorder|inventory_quality,false,false,K-beauty second wave can become Stage 2~3 only when brand sell-through and reorder evidence is explicit.
K_BEAUTY_TARIFF_IMPORT_REVIEW,CONSUMER_RETAIL_BRAND,K_BEAUTY_TARIFF_IMPORT_REVIEW,REDTEAM_FIRST,cap,cap,cap,cap,cap,cap,+,us_import_growth|kbeauty_boom|tariff_headline,tariff_rate_review|gross_margin_buffer_check|stockpiling_or_purchase_delay,not_green_until_price_hike_tolerance_and_margin_buffer_are_verified,import_growth_priced_before_tariff_margin_check,us_tariff_25pct_risk|stockpiling|purchase_delay|margin_buffer_missing|inventory_shock,price_hike_tolerance|gross_margin_buffer|inventory_stable,tariff_exposure|margin_buffer_missing|stockpiling,tariff|margin_buffer|inventory,false,false,K-beauty tariff review caps import-growth narratives until price and margin buffers are proven.
CHANNEL_STUFFING_INVENTORY_OVERLAY,CONSUMER_RETAIL_BRAND,CHANNEL_STUFFING_INVENTORY_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,online_viral|channel_entry|export_growth_headline,inventory_receivables_check_required|sellthrough_required|reorder_required,not_green_until_inventory_receivables_and_sellthrough_are_stable,viral_or_entry_priced_before_physical_sellthrough,channel_inventory_or_receivables_spike|offline_sellthrough_failure|growth_plateau|discounting,inventory_receivables_stable|physical_sellthrough|reorder_signal,inventory_spike|receivables_spike|sellthrough_failure,channel_stuffing|inventory_quality,true,false,"Channel inventory and receivables spikes are hard quality gates for K-food, K-beauty, and retail."
