target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop10_penalty_axes,hard_gate,production_scoring_changed,normalization_point
MEMORY_HBM_CAPACITY,AI_SEMICONDUCTOR_ELECTRONICS,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,25,22,20,12,6,6,8,hbm3e_hbm4_demand|nvidia_supply_chain|ai_memory_shortage,hbm_revenue_share|hbm_capacity_growth|customer_allocation|price_band_or_prepayment,multi_year_eps_revision|hbm_capacity_constraint|lta_or_prepayment|old_memory_frame_shift,hbm_consensus_crowded|market_cap_rerating_saturated|customer_price_resistance,ai_capex_slowdown|capacity_oversupply|hbm_price_decline|customer_order_cut,hbm_customer_visibility|capacity_constraint|multi_year_eps_revision|price_band_or_prepayment,customer_price_resistance|capex_reversal|capa_normalization|memory_price_decline,4b_crowding|capacity_normalization|customer_price_resistance,false,false,"Loop 10 keeps HBM Green-capable, but valuation credit is reduced because successful HBM cases can already be 4B-watch."
MEMORY_HBM_LTA_PREPAYMENT,AI_SEMICONDUCTOR_ELECTRONICS,MEMORY_HBM_LTA_PREPAYMENT,GREEN_POSSIBLE,25,24,20,12,8,6,8,hbm_supply_security|lta_negotiation|capacity_reservation_keyword|customer_prepayment,hbm_lta_flag|hbm_price_band_flag|prepayment_flag|capacity_reservation_flag|customer_name,lta_revenue_conversion|multi_year_eps_revision|fcf_visibility|capacity_locked_by_customer,lta_prepayment_narrative_crowded|hbm_market_share_fully_priced|contract_visibility_over_extrapolated,weak_binding_contract|customer_order_cut|price_band_down|prepayment_absent|capacity_reservation_cancelled,hbm_lta_flag|hbm_price_band_flag|prepayment_flag|capacity_reservation_flag|multi_year_eps_revision,weak_binding_contract|prepayment_absent|customer_order_cut|price_band_down,contract_binding_quality|prepayment_quality|capacity_reservation|customer_concentration,false,false,"Loop 10 splits HBM LTA/prepayment from general HBM because price bands, prepayment, and reserved capacity are stronger visibility than headlines."
HBM_CATCHUP_EXECUTION,AI_SEMICONDUCTOR_ELECTRONICS,HBM_CATCHUP_EXECUTION,WATCH_YELLOW_FIRST,20,20,17,12,8,3,8,hbm4_sample|hbm4_shipping|hbm4e_sample_plan|amd_or_nvidia_memory_mou,customer_qualification|volume_shipment|hbm4_yield_signal|customer_specific_base_die,yield_stable|hbm_revenue_share_growth|fy1_fy2_eps_revision|customer_adoption_visible,catchup_expectation_crowded|qualification_priced_before_volume,qualification_delay|yield_shortfall|labor_strike|production_disruption|foundry_execution_issue,customer_qualification|volume_shipment|yield_stable|eps_revision,qualification_delay|yield_shortfall|labor_strike|production_disruption|talent_retention_risk,qualification|yield|labor|foundry_execution,false,false,"Samsung/Micron-style HBM catch-up is Watch-to-Green: shipment is not enough without qualification, yield, volume, and execution control."
HBM_CATCHUP_EXECUTION_RISK,AI_SEMICONDUCTOR_ELECTRONICS,HBM_CATCHUP_EXECUTION_RISK,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,labor_strike|bonus_gap|production_disruption|foundry_logic_execution_issue,execution_risk_detected|qualification_delay|yield_shortfall,not_applicable_overlay,catchup_expectation_priced_before_volume|execution_risk_ignored,labor_strike|production_disruption|qualification_delay|yield_shortfall|talent_retention_risk,,labor_strike|production_disruption|qualification_delay|yield_shortfall|foundry_execution_issue,labor|yield|production|qualification,false,false,"HBM catch-up can be Stage 2, but labor, yield, volume, and foundry execution risk must cap or block Stage 3."
MEMORY_SUPPLY_REALLOCATION,AI_SEMICONDUCTOR_ELECTRONICS,MEMORY_SUPPLY_REALLOCATION,WATCH_YELLOW_FIRST,21,19,17,12,8,3,8,consumer_memory_exit|ai_customer_allocation|memory_shortage|capacity_reallocation,consumer_memory_exit_flag|strategic_customer_allocation_flag|capacity_reallocation_flag|dram_nand_mix,ai_customer_mix_improves_opm|supply_reallocation_to_hbm_or_enterprise|multi_quarter_op_eps_revision,supply_reallocation_story_crowded|consumer_exit_read_as_clean_shortage,consumer_demand_destruction|ai_capex_slowdown|hbm_supply_normalization|memory_price_reversal,strategic_customer_allocation_flag|capacity_reallocation_flag|op_eps_revision|mix_improvement,consumer_demand_destruction|ai_capex_slowdown|memory_price_reversal,consumer_demand_destruction|ai_capex_slowdown|supply_normalization,false,false,Loop 10 separates supply reallocation from simple memory price rebound: consumer exit must become AI/HBM/enterprise mix and EPS evidence.
AI_STORAGE_NAND_SHORTAGE,AI_SEMICONDUCTOR_ELECTRONICS,AI_STORAGE_NAND_SHORTAGE,WATCH_YELLOW_FIRST,25,18,19,12,4,4,8,ai_storage_demand|enterprise_ssd_shortage|nand_underinvestment|ssd_asp_increase,nand_profit_growth|enterprise_ssd_revenue|profit_guidance_raise|op_eps_revision,multi_year_nand_shortage|ai_storage_eps_revision|supply_discipline,ai_storage_narrative_crowded|stock_up_10x_20x|nand_shortage_fully_priced,supply_rebound|consumer_demand_destruction|ssd_price_reversal|memory_price_reversal,enterprise_ssd_revenue|nand_profit_growth|op_eps_revision|supply_discipline,cycle_reversal|supply_rebound|consumer_demand_destruction|ssd_price_reversal,nand_cycle_reversal|supply_rebound|4b_crowding,false,false,"AI storage NAND is split from general memory because shortage can be real, but cycle reversal and 4B crowding remain large."
COMMODITY_MEMORY_GENERAL_SEMI,AI_SEMICONDUCTOR_ELECTRONICS,COMMODITY_MEMORY_GENERAL_SEMI,WATCH_YELLOW_FIRST,21,16,16,11,7,3,8,dram_nand_price_rebound|hbm_conversion_supply_squeeze|memory_contract_price_up,contract_price_up|inventory_normalization|op_eps_revision|supply_discipline,multi_quarter_revision|supply_discipline|old_memory_cycle_frame_shift,memory_cycle_crowded|stock_multiple_expansion|spot_price_fully_priced,supply_rebound|contract_price_decline|customer_capex_cut|inventory_build,op_eps_revision|supply_discipline|ai_storage_demand,cycle_reversal|supply_rebound|spot_price_reversal,nand_dram_cycle_reversal|supply_rebound,false,false,"General DRAM/NAND stays Watch-to-Green; AI storage NAND now has its own target, so cycle penalty remains higher here."
SEMI_EQUIPMENT_AI_CAPEX,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_EQUIPMENT_AI_CAPEX,WATCH_YELLOW_FIRST,24,22,19,12,8,6,8,wfe_capex|hbm_fab_capex|advanced_node_capex|packaging_tool_keyword,equipment_order_growth|guidance_raise|backlog_growth|customer_capex_budget,order_to_revenue_conversion|op_eps_revision|customer_diversification|margin_visible,equipment_capex_crowded|customer_capex_peak|order_growth_slowdown,order_pushout|export_control|customer_capex_cut|inventory_build,orders|revenue_conversion|op_eps_revision|customer_capex,order_pushout|export_control|customer_capex_cut,customer_capex_peak|order_delay|export_control,false,false,"AI equipment CAPEX is Watch-to-Green because orders can convert into EPS, but customer CAPEX peak and order push-out can break the path quickly."
SEMI_MATERIALS_PROCESS,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_MATERIALS_PROCESS,WATCH_YELLOW_FIRST,20,18,14,13,11,0,5,process_material_keyword|customer_qualification|fab_ramp,qualification_passed|volume_ramp|margin_visibility,repeat_volume|customer_diversification|op_eps_revision,qualification_crowded|material_theme_fully_priced,qualification_delay|customer_capex_cut|price_pressure,qualification|volume_ramp|margin_visibility,qualification_delay|single_customer|price_pressure,qualification_delay|customer_concentration|price_pressure,false,false,"Materials need qualification, repeat volume, and customer diversification before Green."
CUSTOM_AI_ASIC_HYPERSCALER,AI_SEMICONDUCTOR_ELECTRONICS,CUSTOM_AI_ASIC_HYPERSCALER,GREEN_POSSIBLE,24,22,19,12,8,4,8,custom_ai_asic|hyperscaler_custom_chip|google_tpu|meta_mtia|openai_custom_accelerator,custom_ai_asic_revenue|hyperscaler_customer_name|tsmc_capacity_secured_flag|ai_chip_revenue,repeat_custom_asic_revenue|margin_visible|customer_diversification|fcf_conversion,custom_asic_narrative_crowded|single_customer_growth_extrapolated|tsmc_capacity_fully_priced,customer_project_delay|custom_chip_margin_pressure|startup_customer_credit_risk|tsmc_capacity_miss,named_hyperscaler_customer|custom_ai_asic_revenue|capacity_secured|margin_visible,customer_concentration|custom_chip_margin_pressure|startup_customer_risk_flag|tsmc_capacity_miss,customer_concentration|margin|startup_credit|capacity,false,false,"Loop 10 splits hyperscaler custom ASICs from generic AI chips because named customer, capacity, margin, and repeat revenue matter."
