target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,green_conditions,red_flags,stage4c_conditions,production_scoring_changed,normalization_point
SEMI_EQUIPMENT_CAPEX,AI_SEMICONDUCTOR_ELECTRONICS,SEMI_EQUIPMENT_CAPEX,WATCH_YELLOW_FIRST,22,20,18,14,12,0,5,hbm_capex|advanced_packaging|pcb_or_substrate_keyword|equipment_order,customer_capex_confirmed|order_backlog_growth|delivery_schedule|op_eps_revision,hbm_or_advanced_packaging_direct_exposure|customer_diversification|revenue_conversion,customer_capex_confirmed|order_backlog_growth|delivery_schedule|op_eps_revision|customer_concentration_risk_low,customer_capex|customer_concentration|inventory|order_delay|adoption_delay,customer_capex_cut|order_delay|inventory_build|single_customer_shock,false,Semi equipment is Watch-to-Green because it depends on customer CAPEX and delivery conversion.
AUTO_COMPLETED_VEHICLE,MOBILITY_TRANSPORT_LEISURE,AUTO_MOBILITY_COMPLETED_VEHICLE,GREEN_POSSIBLE,20,18,10,15,17,10,5,hybrid_strategy|sales_target|shareholder_return|export_mix,op_fcf_stability|high_margin_mix|buyback_or_dividend|roe_pbr_rerating,global_share_gain|fcf_supports_return|old_auto_discount_removed,op_fcf_stability|hybrid_or_mix_improvement|shareholder_return|roe_pbr_rerating|tariff_risk_low,tariff|demand_slowdown|recall|peak_margin|policy_risk,tariff_hit|demand_slowdown|recall_cost|margin_peak_reversal,false,"Completed vehicles can be Green when FCF, mix, hybrid response, and capital return are source-backed."
AUTO_COMPONENTS_TIRE,MOBILITY_TRANSPORT_LEISURE,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,20,17,10,14,14,3,5,auto_parts_order|ev_or_adas_component|tire_spread|customer_program,customer_diversification|cost_pass_through|op_eps_revision|raw_material_stable,repeat_program_visibility|margin_stable|quality_cost_low,customer_diversification|cost_pass_through|op_eps_revision|raw_material_stable|quality_cost_low,raw_material|customer_concentration|ev_cycle|quality_cost|oem_pressure,raw_material_margin_squeeze|customer_program_cut|quality_recall|ev_cycle_slowdown,false,Auto parts and tires are Watch-to-Green; customer mix and cost pass-through are gates.
AIRLINE_TRAVEL_CYCLE,MOBILITY_TRANSPORT_LEISURE,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,18,14,5,12,10,2,5,passenger_recovery|airline_integration|cargo_mix|travel_reopening,op_recovery|integration_synergy|cost_stability|fcf_improvement,sustained_load_factor|fuel_fx_controlled|integration_cost_controlled,op_recovery|integration_synergy|cost_stability|fcf_improvement|fuel_fx_risk_low,oil_price|fx|demand_cycle|integration_cost|tariff,oil_price_spike|fx_hit|demand_slowdown|integration_cost_overrun,false,Airlines are cycle-heavy; Stage 3-Green should be rare without durable FCF and cost control.
CASINO_DUTYFREE_TOURISM,MOBILITY_TRANSPORT_LEISURE,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,18,13,5,12,10,2,5,tourism_policy|china_group_tourism|casino_drop|dutyfree_sales,visitor_growth_converts_to_op|drop_amount_growth|dutyfree_ticket_recovery|cost_leverage,tourist_mix_diversified|op_leverage_confirmed|capex_burden_low,visitor_growth_converts_to_op|drop_amount_growth|dutyfree_ticket_recovery|tourist_mix_diversified|capex_burden_low,tourism_policy|china_dependency|capex|operating_leverage|weak_demand,tourism_demand_miss|capex_covenant_failure|china_dependency_hit|op_leverage_failure,false,Tourism policy is Stage 1 until visitor mix and OP leverage are verified.
RETAIL_CONVENIENCE_OFFLINE,CONSUMER_RETAIL_BRAND,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,18,16,5,13,14,3,5,store_network|pb_mix|same_store_sales|overseas_store,same_store_sales_growth|pb_high_margin_mix|opm_improvement|fcf_stable,store_productivity|overseas_profitability|rent_wage_pressure_low,same_store_sales_growth|pb_high_margin_mix|opm_improvement|fcf_stable|rent_wage_pressure_low,rent|wage|competition|same_store_sales_slowdown|store_count_only,same_store_sales_slowdown|rent_wage_pressure|overcrowding|pb_mix_deterioration,false,Convenience retail is defensive Watch-to-Green; store count alone is not evidence.
AGRI_LIVESTOCK_FOOD_COMMODITY,EDUCATION_LIFE_AGRI_MISC,COMMODITY_SPREAD,REDTEAM_FIRST,18,10,14,8,8,0,5,grain_price|feed_cost|livestock_price|tuna_price|smart_farm_order,cost_pass_through|raw_material_stable|repeat_demand|export_order,sustained_margin|weather_or_disease_risk_low|order_or_channel_visibility,cost_pass_through|sustained_margin|repeat_demand|weather_or_disease_risk_low,commodity_cycle|disease_event|feed_cost|weather|price_event_only,disease_event_reversal|feed_cost_spike|weather_shock|price_reversal,false,"Agri/livestock is mostly Red/Watch because cost, disease, weather, and commodity cycles dominate."
SPACE_SUPPLYCHAIN,POLICY_GEOPOLITICAL_EVENT,THEME_VALUATION_OVERHEAT,WATCH_YELLOW_FIRST,16,14,8,12,10,0,5,space_keyword|spacex_supplier|drone_policy|urban_air_mobility,actual_delivery_contract|government_or_defense_customer|certification_complete|repeat_component_revenue,contracted_supply_chain|revenue_recognition|regulatory_risk_low,actual_delivery_contract|government_or_defense_customer|repeat_component_revenue|certification_complete,no_contract|certification_delay|theme_overheat|poc_only|no_revenue,certification_delay|contract_absence|program_delay|theme_liquidity_reversal,false,Space and drone themes are Watch/Red unless actual delivery contracts and repeat revenue are visible.
AI_DATA_CENTER_COOLING,AI_SEMICONDUCTOR_ELECTRONICS,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,21,22,22,13,12,0,5,ai_datacenter_capex|cooling_or_power_bottleneck|server_order|korea_ai_capex,orders_or_leases|power_cooling_constraint|delivery_schedule|op_eps_revision,bottleneck_asset_confirmed|multi_customer_demand|capex_delay_risk_low,orders_or_leases|power_cooling_constraint|delivery_schedule|op_eps_revision|capex_delay_risk_low,capex_delay|project_delay|overbuild|no_revenue_exposure,ai_capex_cut|project_delay|overbuild|revenue_exposure_failure,false,"AI data-center cooling/power can be Green, but only with order, bottleneck, delivery, and revenue exposure."
MEMORY_HBM,AI_SEMICONDUCTOR_ELECTRONICS,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,24,21,19,15,12,0,5,hbm_demand|memory_price_increase|advanced_dram_capex|customer_supply_shortage,fy1_fy2_op_eps_revision|supply_discipline|capacity_allocation|long_term_customer_signal,multi_year_revision_path|capacity_bottleneck|old_cyclical_discount_removed,hbm_demand|memory_price_increase|fy1_fy2_op_eps_revision|supply_discipline|capacity_bottleneck,crowding|capex_reversal|memory_price_drop|customer_capex_cut,memory_price_drop|supply_glut|customer_capex_cut|revision_down,false,"HBM remains Green-possible, but crowding, CAPEX reversal, and price downcycle need 4B/4C monitoring."
