target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop10_penalty_axes,gate_only,production_scoring_changed
FINANCIAL_SPREAD_BALANCE_SHEET,korea_discount_policy|commercial_act_revision|bank_low_pbr|financial_valueup_news,roe_improvement|cet1_stable|credit_cost_down|dividend_or_buyback_execution,pbr_roe_frame_change|recurring_return_policy|roe_stable|credit_risk_stable,financial_valueup_crowded|pbr_band_above_history|roe_before_price_gap_closed,credit_cost_spike|pf_loss|cet1_deterioration|return_policy_retreat|tax_policy_shock,credit_cost|pf_exposure|cet1_deterioration|return_policy_retreat|tax_policy_shock,credit_cost|pf_exposure|cet1|tax_policy,false,false
BANK_HOLDING_VALUEUP_CAPITAL_RETURN,bank_low_pbr|financial_holding_valueup_news|dividend_or_buyback_plan|commercial_act_revision,cet1_stable|shareholder_return_execution|credit_cost_stable|pbr_roe_band_watch,roe_stable_or_improving|pbr_roe_frame_change|repeat_return_policy|pf_exposure_controlled,bank_valueup_crowded|pbr_band_above_history|return_policy_fully_priced,credit_cost_spike|pf_loss|cet1_deterioration|nim_pressure|return_policy_retreat,credit_cost|pf_exposure|cet1_deterioration|nim_pressure|return_policy_failure|low_pbr_only,credit_cost|cet1|nim|pf_exposure|return_execution,false,false
BANK_CREDIT_COST_PF_OVERLAY,pf_exposure|real_estate_pf_headline|bridge_loan|credit_cost_watch,pf_delinquency_rise|reserve_build|syndicated_loan_support|capital_buffer_check,not_applicable_gate_only,valueup_rally_ignores_pf_credit_cost,pf_delinquency_spike|credit_cost_spike|reserve_build_large|cet1_pressure|dividend_buyback_cut_risk,pf_exposure|pf_delinquency_spike|credit_cost_spike|reserve_build|cet1_pressure|dividend_buyback_cut_risk,pf_exposure|credit_cost|reserve_build|cet1|return_cut,true,false
INSURANCE_UNDERWRITING_CYCLE,loss_ratio_improvement|csm_growth|insurance_valueup_news,roe_improvement|k_ics_stable|dividend_or_buyback_execution|csm_quality,pbr_roe_rerating|repeat_underwriting_quality|capital_ratio_stable|return_policy_repeatable,insurance_valueup_crowded|pbr_normalized|dividend_yield_chasing,loss_ratio_worse|k_ics_deterioration|alternative_investment_loss|csm_quality_damage,loss_ratio|k_ics_deterioration|investment_loss|csm_quality_damage,loss_ratio|k_ics|investment_loss|csm_quality,false,false
INSURANCE_CAPITAL_RELEASE_VALUEUP,insurance_valueup_news|capital_release_expectation|dividend_or_buyback_plan|csm_growth,k_ics_stable|csm_quality|capital_release_execution|dividend_or_buyback_execution,repeat_return_policy|loss_ratio_stable|capital_ratio_stable|pbr_roe_rerating,insurance_capital_release_crowded|dividend_yield_chasing|pbr_normalized,k_ics_deterioration|csm_quality_damage|loss_ratio_worse|return_policy_retreat,k_ics_deterioration|csm_quality_damage|loss_ratio_worse|return_policy_retreat,k_ics|csm_quality|loss_ratio|return_policy,false,false
SECURITIES_BROKERAGE_CYCLE,trading_value_growth|market_rally|ipo_ib_recovery_expectation,brokerage_revenue_growth|ib_fee_growth|op_eps_revision,pf_risk_low|roe_structure_improved|ib_pipeline_durable,brokerage_cycle_peak|securities_group_overheated|trading_value_peak,transaction_tax_change|capital_gains_tax_change|trading_value_drop|pf_loss|proprietary_trading_loss,tax_policy_shock|trading_value_drop|pf_loss|proprietary_loss,trading_value|tax_policy|pf_loss|proprietary_loss,false,false
VALUE_UP_SHAREHOLDER_RETURN,commercial_act_revision|dividend_tax_reform|valueup_index|buyback_policy_news,treasury_share_cancellation|dividend_growth|roe_improvement|shareholder_return_execution,pbr_nav_discount_narrows|repeat_return_policy|capital_allocation_execution|pbr_roe_band_shift,valueup_crowded_trade|pbr_band_rerated_before_execution|policy_premium_fully_priced,no_cancellation|activist_rejection|capital_allocation_retreat|controlling_shareholder_risk,no_cancellation|execution_failure|low_roe|controlling_shareholder_risk|buyback_only,execution_failure|buyback_only|low_roe|policy_only,false,false
TREASURY_SHARE_CANCEL_EXECUTION,treasury_share_buyback_plan|treasury_share_cancellation_plan|commercial_act_alignment,treasury_share_cancellation_completed|treasury_share_cancel_amount|cancel_ratio_verified,roe_pbr_band_change|business_eps_fcf_path|repeat_return_policy|shareholder_return_execution,cancellation_announcement_overpriced|one_off_cancellation_crowded|policy_premium_fully_priced,cancellation_not_completed|business_execution_failure|one_off_return_then_stop|roe_not_improving,buyback_only|cancellation_not_completed|business_execution_failure|roe_not_improving,buyback_only|business_eps_missing|one_off_cancellation|roe_not_improving,false,false
TREASURY_CANCEL_MANDATE_POLICY,commercial_act_revision|treasury_cancel_mandate|minority_shareholder_protection|korea_discount_policy,individual_treasury_cancel_execution|existing_treasury_grace_period_resolution|dividend_or_buyback_execution,roe_pbr_band_change|repeat_return_policy|business_eps_fcf_path|minority_protection_execution,policy_premium_fully_priced|valueup_policy_crowded|execution_lag_ignored,policy_only_no_execution|buyback_without_cancellation|roe_not_improving|governance_execution_failure,policy_only_no_execution|buyback_without_cancellation|existing_treasury_grace_period_unresolved|roe_not_improving,policy_only|execution_missing|buyback_only|low_roe,false,false
BUYBACK_CANCEL_BUT_BUSINESS_RISK,treasury_share_cancellation_completed|buyback_cancelled_flag|shareholder_return_headline,business_risk_detected_after_cancel|price_down_on_event|eps_fcf_path_unverified,not_applicable_gate_only,cancellation_announcement_overpriced,business_execution_failure|roe_not_improving|price_down_on_event|eps_fcf_path_break|competitive_position_weak,business_execution_failure|roe_not_improving|price_down_on_event|eps_fcf_path_break|buyback_only,business_eps_missing|roe_not_improving|price_path_failed|one_off_cancellation,true,false
