field,required_for_round76_backfill
case_id,true
symbol,true
company_name,true
primary_archetype,true
secondary_archetypes,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_price,true
stage2_price,true
stage3_price,true
stage4b_price,true
stage4c_price,true
peak_price,true
peak_date,true
MFE_30D,true
MFE_90D,true
MFE_180D,true
MFE_1Y,true
MFE_2Y,true
MAE_30D,true
MAE_90D,true
MAE_180D,true
MAE_1Y,true
drawdown_after_peak,true
below_stage2_price_flag,true
below_stage3_price_flag,true
pf_exposure,true
pf_guarantee_amount,true
pf_delinquency_rate,true
bridge_loan_exposure,true
refinancing_success_flag,true
debt_workout_flag,true
unsold_inventory_units,true
cash_conversion_cycle,true
construction_cost_ratio,true
gross_margin,true
op_margin_change,true
profitable_project_flag,true
unprofitable_project_restructuring_flag,true
revenue_backlog,true
contract_value,true
contract_duration_months,true
contract_margin_signal,true
project_financing_secured_flag,true
construction_started_flag,true
revenue_recognized_flag,true
reit_type,true
occupancy_rate,true
noi_growth,true
affo_growth,true
ffo_growth,true
affo_per_share_growth,true
dividend_per_share,true
dividend_cut_flag,true
dividend_coverage_ratio,true
ltv_ratio,true
funding_cost,true
refinancing_maturity,true
office_exposure,true
watchlisted_or_impaired_asset_ratio,true
credit_loss_reserve,true
non_accrual_asset_ratio,true
maintenance_capex,true
expansion_capex,true
affo_integrity_risk_flag,true
short_report_flag,true
data_center_asset_acquired_flag,true
hyperscale_tenant_flag,true
tenant_concentration,true
binding_lease_flag,true
non_binding_loi_flag,true
investment_grade_tenant_flag,true
power_secured_flag,true
water_permitting_flag,true
cooling_secured_flag,true
grid_interconnection_flag,true
capex_amount,true
asset_pipeline_value,true
ai_infra_theme_flag,true
no_revenue_flag,true
single_site_concentration_flag,true
power_delivery_date,true
local_opposition_flag,true
referendum_or_moratorium_flag,true
project_withdrawal_flag,true
noise_pollution_flag,true
cold_storage_warehouse_count,true
cold_storage_capacity,true
energy_cost_ratio,true
customer_count,true
net_loss_flag,true
cold_chain_occupancy_rate,true
post_ipo_drawdown_flag,true
customer_inventory_normalization_flag,true
building_material_volume,true
cement_price_change,true
steel_rebar_price_change,true
energy_cost_change,true
raw_material_cost_change,true
price_hike_flag,true
cost_saving_amount,true
ebitda_change,true
volume_decline_flag,true
infrastructure_demand_flag,true
policy_support_amount,true
government_support_flag,true
reconstruction_contract_flag,true
budget_allocated_flag,true
project_delay_flag,true
financing_failure_flag,true
score_price_alignment,true
price_validation_status,true
review_notes,true
