target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop5_penalty_axes,gate_only,production_scoring_changed
PLATFORM_SOFTWARE_INTERNET,portal_growth|messenger_ecosystem|commerce_platform_growth|ad_platform_recovery|user_growth,arpu_growth|recurring_revenue|opm_improvement|governance_clean|ad_quality_clean,platform_monetization|fcf_conversion|regulatory_risk_low|privacy_risk_low,platform_multiple_crowded|user_count_story_overpriced|legal_risk_ignored,privacy_lawsuit|founder_legal_case|regulatory_investigation|trust_damage|scam_ad_lawsuit,governance|privacy|legal_overhang|youth_safety|ad_quality,governance|privacy|ad_quality|youth_safety,false,false
B2B_SAAS_ERP_WORKFLOW,cloud_erp_transition|b2b_saas_growth|sme_cloud_conversion|pe_operational_improvement,arr_growth|recurring_revenue_ratio|low_churn|customer_lock_in|opm_improvement,fcf_conversion|net_retention_rate|workflow_lock_in|valuation_frame_shift,b2b_saas_premium_crowded|pe_event_premium_overread,churn_spike|si_revenue_reversion|opm_decline|regulatory_approval_failure,churn|si_revenue_mix|regulatory_approval|event_premium,churn|si_revenue|regulatory|pe_event_premium,false,false
ENTERPRISE_AI_ONTOLOGY_WORKFLOW,enterprise_ai_platform|ontology_workflow|private_data_integration|ai_action_layer,paid_ai_contract|total_contract_value|government_revenue_growth|commercial_revenue_growth|auditable_workflow,repeat_contract|workflow_lock_in|opm_improvement|fcf_conversion|rule_of_40,ai_software_narrative_crowded|valuation_saturation|strong_results_stock_stalls,ai_compute_cost_surge|government_contract_risk|auditability_failure|model_dependency|political_risk,valuation_crowding|government_customer|ai_cost|model_dependency|auditability_failure,valuation|government_customer|ai_cost|auditability|workflow_lock_in,false,false
CLOUD_AI_SOFTWARE_INFRA,enterprise_ai_platform|ai_workflow_automation|agentic_ai_platform|private_data_integration,paid_ai_contract|total_contract_value|government_revenue_growth|commercial_revenue_growth|revenue_per_employee,auditable_workflow|repeat_contract|fcf_conversion|opm_improvement|rule_of_40,ai_software_narrative_crowded|valuation_saturation|strong_results_stock_stalls,ai_compute_cost_surge|government_contract_risk|auditability_failure|model_dependency,valuation_crowding|government_customer|ai_cost|model_dependency,valuation|government_customer|ai_cost|auditability,false,false
EDGE_AI_CLOUD_INFRASTRUCTURE,edge_ai_cloud_contract|distributed_inference|frontier_model_provider|cdn_to_cloud_transition,long_term_ai_cloud_contract|cloud_infrastructure_services_revenue|frontier_model_customer|revenue_contribution,repeat_ai_cloud_revenue|margin_confirmed|capex_controlled|fcf_conversion|customer_concentration_low,edge_ai_cloud_contract_premium_crowded|legacy_cdn_reframe_overheated,capex_burden|ai_customer_concentration|margin_miss|legacy_cdn_decline|customer_undisclosed,capex|customer_concentration|legacy_cdn_decline|margin_miss|undisclosed_customer,capex|customer_concentration|legacy_decline|margin,false,false
AI_SOFTWARE_APPLICATION,ai_application_launch|enterprise_ai_adoption|api_usage_growth,paid_customer_growth|api_revenue|workflow_integration|total_contract_value,repeat_paid_usage|fcf_conversion|compute_cost_controlled|auditable_workflow,ai_app_narrative_crowded|valuation_before_margin_proof|rule_of_40_fully_priced,compute_cost_spike|model_dependency|copyright_lawsuit|data_privacy_lawsuit,compute_cost|model_dependency|copyright|data_privacy|free_user_growth_only,compute_cost|model_dependency|4b_crowding,false,false
LEGACY_SAAS_AI_DISRUPTION_OVERLAY,ai_agent_launch|copilot_launch|workflow_ai_feature|agentforce_like_arr,ai_arr|ai_attach_rate|customer_adoption|productivity_roi|seat_churn_measured,ai_reinforces_workflow_lock_in|seat_churn_low|gross_margin_stable|fcf_conversion,legacy_saas_ai_narrative_overheated|agent_revenue_too_small_for_multiple,ai_substitutes_existing_seat_model|license_downsell|gross_margin_pressure|agent_cost_overrun|workflow_lockin_failure,seat_churn|license_downsell|gross_margin_pressure|agent_cost_overrun|workflow_lockin_failure,seat_churn|license_downsell|gross_margin|ai_cost|workflow_lock_in,true,false
OBSERVABILITY_AI_OPERATIONS,ai_workload_monitoring|aiops|sre_agent|security_analyst_agent,arr_growth|ai_monitoring_customer_growth|guidance_raise|observability_revenue_growth,net_retention_rate|fcf_conversion|ai_workload_attach|usage_resilience,observability_ai_premium_crowded|ai_operations_multiple_saturated,cloud_optimization|net_retention_slowdown|usage_slowdown|guidance_cut,cloud_optimization|net_retention|usage_slowdown|4b,cloud_optimization|net_retention|usage,false,false
OBSERVABILITY_GUIDANCE_RISK,arr_guidance_miss|net_new_arr_slowdown|conservative_guidance|price_failed_after_beat,risk_event_detected,not_applicable_gate_only,observability_growth_priced_before_arr,arr_miss|net_new_arr_slowdown|guidance_miss|growth_target_uncertainty|valuation_compression,arr_miss|guidance_miss|net_new_arr_slowdown|valuation_compression,arr|guidance|net_new_arr|valuation,true,false
CONTACT_CENTER_AI_AUTOMATION,ccaas_ai_agent_assist|contact_center_automation|seat_expansion,enterprise_contract|seat_expansion|retention_rate|opm_improvement|aht_reduction,workflow_embedded|low_churn|enterprise_retention|fcf_conversion|roi_verified,contact_center_ai_crowded,churn_spike|it_budget_cut|privacy_event|automation_roi_failure,churn|it_budget_cut|privacy|roi_failure,churn|it_budget|privacy|roi,false,false
