case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
lg_energy_tesla_lfp_ess_contract_case,ESS_LFP_GRID_STORAGE,373220_TESLA_ESS,LGES-Tesla LFP ESS supply contract,KR,success_candidate,ESS_LFP_GRID_STORAGE,GREEN_POSSIBLE,,2025-07-30,,,,ess_contract_value_4_3b|ess_contract_duration_2027_08_2030_07|tesla_customer_reported|lfp_ess_us_production|extension_option_7y,customer_name_officially_confidential|ess_margin_unverified|lfp_competition|ira_tariff_feoc_risk,ess_contract_aligned,needs_price_backfill,false,"Contract value, duration, customer indication, and ESS use case make this the cleanest R3 Loop-3 Stage 2 ESS reference."
sk_on_flatiron_ess_7_2gwh_case,ESS_LFP_GRID_STORAGE,SKON_FLATIRON_REF,SK On-Flatiron ESS 7.2GWh supply,KR,success_candidate,ESS_LFP_GRID_STORAGE,GREEN_POSSIBLE,,2025-09-03,,,,ess_contract_volume_7_2gwh|ess_contract_duration_2026_2030|lfp_ess_mass_production|ev_line_to_ess_conversion,contract_value_missing|ess_margin_unverified|customer_demand_unverified|ev_line_conversion_cost,ess_contract_stage2_value_missing,needs_price_backfill,false,"GWh and duration support Stage 2, but missing contract value caps EPS/FCF and Green credit."
gm_lg_ultium_ohio_idle_case,BATTERY_MATERIALS_CAPEX_OVERHEAT,GM_LG_ULTIUM_REF,GM-LG Ultium Ohio plant idle,US,4c_thesis_break,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,,,,,2026-05-12,ev_battery_capa|tennessee_ess_shift_candidate,ev_demand_slowdown|plant_idle|layoff_furlough|capacity_underutilization|restart_uncertain,ev_capa_false_green_plus_ess_shift_watch,needs_price_backfill,false,EV CAPA can become hard 4C while a separate ESS conversion remains only a Watch candidate.
ford_lges_ev_contract_cancel_case,BATTERY_MATERIALS_CAPEX_OVERHEAT,FORD_LGES_CANCEL_REF,Ford-LGES EV battery contract cancellation,US,4c_thesis_break,BATTERY_MATERIALS_CAPEX_OVERHEAT,REDTEAM_FIRST,,,,,2025-12-17,ev_battery_contract_6_5b|ford_ev_program,contract_cancelled|ev_model_discontinued|write_down_19_5b|policy_shift|ev_demand_slowdown,ev_battery_contract_cancellation_hard_4c,needs_price_backfill,false,Long-term EV battery supply contracts are not automatically Green if customer EV strategy changes.
redwood_recycling_energy_storage_case,BATTERY_RECYCLING_ESS_SHIFT,REDWOOD_REF,Redwood recycling and energy storage,US,success_candidate,BATTERY_RECYCLING_ESS_SHIFT,WATCH_YELLOW_FIRST,,2025-10-23,,2025-10-23,,battery_recycling|metal_recovery_lithium_cobalt_nickel_copper|grid_services|datacenter_ess|strategic_customers,private_company_reference|recycling_margin_unverified|soh_validation_needed|public_price_unavailable,recycling_plus_storage_structural_reference,missing_public_price_data,false,"Recycling gets stronger when recovered metals, ESS/grid services, data-center demand, and customers connect."
eqt_kj_environment_waste_platform_case,WASTE_RECYCLING_ENVIRONMENT,KJ_ENV_REF,EQT-KJ Environment 폐기물 플랫폼,KR,structural_success,WASTE_RECYCLING_ENVIRONMENT,GREEN_POSSIBLE,,2024-08-16,,,,waste_treatment_platform|permit_asset|plastic_recycling|waste_to_energy|mna_value_1tn_krw|metro_area_coverage,utilization_drop|capex_burden|regulatory_cost,waste_platform_structural_reference,missing_public_price_data,false,"Waste treatment is R3's clearest Green-capable infrastructure reference when permits, volume, and recurring FCF are visible."
hyundai_hydrogen_fuel_cell_plant_case,HYDROGEN_FUEL_CELL_INFRA,005380,현대차 수소연료전지 울산 공장,KR,success_candidate,HYDROGEN_FUEL_CELL_INFRA,WATCH_YELLOW_FIRST,,2025-10-30,,2025-10-30,,hydrogen_capex_930bn_krw|plant_completion_2027|fuel_cell_capacity|electrolyzer_plan|commercial_vehicle_ship_construction_equipment,customer_absent|subsidy_dependency|low_utilization|hydrogen_infra_gap,hydrogen_capex_stage1_to_stage2_candidate,needs_price_backfill,false,"Actual CAPEX is stronger than policy talk, but customers, utilization, and OP conversion are still required."
qcells_customs_detention_furlough_case,SOLAR_TARIFF_SUPPLYCHAIN,QCELLS_REF,Qcells customs detention and furlough,US,4c_thesis_break,SOLAR_TARIFF_SUPPLYCHAIN,REDTEAM_FIRST,,,,,2025-11-08,solar_us_factory|subsidy_policy,customs_detention|uflpa_flag|component_delay|furlough_layoff|production_disruption,solar_policy_supplychain_4c,missing_public_price_data,false,Solar subsidy and US manufacturing narrative can break when customs and component supply stop production.
orsted_sunrise_wind_impairment_case,RENEWABLE_ENERGY_POLICY,ORSTED.CO,Ørsted Sunrise Wind impairment,EU,4c_thesis_break,RENEWABLE_ENERGY_POLICY,WATCH_YELLOW_FIRST,,,,,2025-01-20,offshore_wind_project|renewable_policy|ppa,impairment_1_7b|project_delay|cost_overrun|financing_cost_increase|foundation_cost,wind_project_impairment_4c,needs_price_backfill,false,"Renewable policy and PPAs cannot overcome project economics when rates, foundations, and delay create impairment."
lithium_price_86pct_crash_case,LITHIUM_CYCLE_OVERLAY,LITHIUM_CYCLE_REF,리튬 가격 86% 급락,GLOBAL,4c_thesis_break,LITHIUM_CYCLE_OVERLAY,WATCH_YELLOW_FIRST,,,,,2025-01-13,lithium_price_cycle|mine_shutdown,lithium_price_crash|raw_material_price_drop|mine_restart_supply_rebound|ev_demand_slowdown,lithium_cycle_hard_counterexample,missing_price_data,false,"Lithium rebound is not structural Green without cost curve, offtake, FCF, and CAPEX discipline."
lithium_ess_demand_recovery_case,LITHIUM_CYCLE_OVERLAY,LITHIUM_ESS_REF,리튬 ESS demand recovery,GLOBAL,cyclical_success,LITHIUM_CYCLE_OVERLAY,WATCH_YELLOW_FIRST,,2026-01-05,,,,ess_lithium_demand_growth|datacenter_storage_demand|china_power_market_reform,mine_restart_supply_rebound|sodium_ion_competition|ev_subsidy_expiry,lithium_ess_demand_recovery_but_cycle_watch,missing_price_data,false,"ESS can improve lithium demand, but lithium miners remain cycle/Watch until FCF and supply response are controlled."
korea_ev_battery_certification_fire_case,EV_FIRE_RISK_OVERLAY,EV_FIRE_RISK_REF,Korea EV battery certification and fire risk,KR,4c_thesis_break,EV_FIRE_RISK_OVERLAY,REDTEAM_FIRST,,,,,2024-08-25,ev_growth_narrative,battery_fire|battery_certification|battery_supplier_disclosure|parking_charging_regulation|insurance_cost,ev_fire_regulatory_overlay,missing_price_data,false,"EV fire and battery disclosure should become a separate RedTeam overlay for battery, charging, and ESS candidates."
battery_soh_transparency_case,BATTERY_HEALTH_TRANSPARENCY_OVERLAY,BATTERY_SOH_REF,Battery SOH transparency and second-life risk,GLOBAL,failed_rerating,BATTERY_HEALTH_TRANSPARENCY_OVERLAY,REDTEAM_FIRST,,,,,,soh_unreliable|residual_capacity_uncertainty|second_life_battery|battery_passport,soh_validation_failure|second_life_grading_cost|warranty_enforcement_risk|battery_passport_compliance,battery_health_transparency_redteam,needs_exact_stage_date_backfill,false,Second-life and recycling economics can be overstated when SOH and residual capacity are not independently validated.
