target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,green_conditions,red_flags,stage4b_conditions,stage4c_conditions,production_scoring_changed,normalization_point
AI_DATA_CENTER_COOLING,AI_SEMICONDUCTOR_ELECTRONICS,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,21,22,22,13,12,0,5,liquid_cooling_keyword|hvac_acquisition|high_density_server_heat|ai_datacenter_capex,customer_datacenter_capex_link|confirmed_order_or_delivery|cooling_bottleneck|op_eps_revision,direct_capex_link|delivery_or_service_revenue|cooling_bottleneck_position|repeat_service_revenue,customer_datacenter_capex_link|confirmed_order_or_delivery|cooling_bottleneck|repeat_service_revenue|op_eps_revision,liquid_cooling_theme_only|no_customer_order|ai_capex_delay|low_margin_project|customer_concentration,ai_cooling_narrative_crowded|orders_fully_priced|capex_pull_forward,ai_capex_delay|project_margin_damage|customer_order_delay|service_attach_failure,false,"AI cooling is Green-possible only when cooling bottleneck evidence turns into orders, delivery, service revenue, and OP revision."
MEMORY_HBM_CAPACITY,AI_SEMICONDUCTOR_ELECTRONICS,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,24,21,19,15,12,0,5,hbm_demand|memory_price_increase|earnings_turnaround,fy1_fy2_fy3_revision|dram_nand_hbm_pricing|supply_discipline|customer_supply_preorder,long_term_contract_or_prepayment|price_band|capacity_constraint|multi_year_revision|cyclical_discount_removed,hbm_demand|supply_discipline|medium_term_revision|capacity_constraint|long_term_contract_or_prepayment,capex_reversal|cycle_peak|crowding|price_only_memory_rally|customer_ai_capex_slowdown,one_to_two_year_price_surge|market_cap_multiple_saturation|customer_price_resistance|capex_expansion|global_crowding,memory_price_down|supply_glut|customer_ai_capex_slowdown|consensus_revision_down,false,"HBM remains Green-possible, but successful rerating must automatically turn on 4B-watch diagnostics."
K_BEAUTY_EXPORT_DISTRIBUTION,CONSUMER_RETAIL_BRAND,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,22,23,12,16,13,0,5,kbeauty_export_growth|us_japan_channel|offline_retail_entry|viral_demand,repeat_orders|customer_diversification|opm_roe_improvement|china_dependency_down,global_channel_expansion|repeat_sell_through|inventory_discipline|new_export_frame,export_growth|channel_diversification|repeat_orders|opm_roe_improvement|inventory_receivables_clean,inventory|receivables|china_dependency|tariff|channel_stuffing|viral_only,kbeauty_crowding|offline_channel_success_priced,channel_stuffing|inventory_build|receivables_spike|tariff_damage|sell_through_slowdown,false,K-beauty can be Green when export channels repeat and inventory/receivables remain clean; viral shipment alone is not enough.
DIGITAL_ASSET_TOKENIZATION,FINANCIAL_CAPITAL_DIGITAL,FINANCIAL_SPREAD_BALANCE_SHEET,WATCH_YELLOW_FIRST,16,18,8,16,12,3,5,stablecoin_bill|sto_law_expectation|fintech_partnership|tokenization_theme,license_or_approval|actual_issuance|transaction_volume|fee_model,payment_or_custody_infrastructure_sticky|regulated_revenue|liquidity_risk_low|fcf_visible,license_or_approval|actual_issuance|transaction_volume|fee_or_spread_revenue|regulatory_risk_low,regulation|security|adoption|liquidity|no_revenue|theme_only,tokenization_event_priced|crypto_theme_crowded,regulatory_delay|security_incident|volume_failure|liquidity_break|revenue_model_failure,false,"Digital assets remain Watch-first until regulation, issuance, volume, and fee economics are proven."
HYDROGEN_RENEWABLE,BATTERY_EV_GREEN,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,18,18,12,12,10,0,5,hydrogen_capex|solar_policy|fuel_cell_plant|renewable_subsidy,production_capacity|utilization_up|customer_or_government_demand|op_eps_conversion,capex_to_revenue_conversion|stable_subsidy_or_tariff|supply_chain_stable|margin_visible,actual_capex|utilization_up|customer_or_government_demand|op_eps_conversion|policy_risk_low,policy|subsidy|tariff|customs|supply_chain|utilization,renewable_policy_theme_priced|hydrogen_theme_crowded,customs_detention|component_delay|subsidy_cut|project_delay|utilization_failure,false,"Hydrogen/solar is Watch-first: policy themes need capex, utilization, customers, and OP conversion."
CLOUD_AI_SOFTWARE_INFRA,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,20,23,8,16,14,0,5,cloud_transition|erp_saas_demand|ai_feature_launch|b2b_customer_growth,recurring_revenue_growth|arpu_up|opm_improvement|retention_confirmed,customer_lock_in|fcf_conversion|pricing_power|old_si_or_legacy_software_frame,recurring_revenue|arpu|retention|opm_or_fcf_improvement|ai_cost_control,ai_feature_only|ai_cost_overrun|churn|si_revenue_only|opm_decline,saas_ai_narrative_overheated|multiple_saturation,churn|ai_cost_overrun|opm_decline|competition_intensifies,false,"Cloud/SaaS can be Green, but AI wording is only Stage 1 unless recurring revenue, OPM, and FCF improve."
SECURITY_IDENTITY_DEEPFAKE,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,GREEN_POSSIBLE,20,20,10,14,13,0,5,security_threat_growth|deepfake_regulation|identity_or_cctv_demand|government_security_budget,recurring_subscription|customer_retention|opm_improvement|enterprise_or_government_contract,mission_critical_lock_in|low_churn|customer_diversification|fcf_conversion|operational_trust_intact,recurring_subscription|low_churn|customer_diversification|opm_improvement|no_major_outage,operational_trust|outage|legal|customer_retention|contract_absence,security_theme_crowded|deepfake_regulation_priced,major_outage|legal_claim|customer_churn|contract_loss|trust_break,false,"Security can be structural, but operational trust is a hard gate because one outage can become 4C."
CRO_CLINICAL_SERVICE,BIOTECH_HEALTHCARE_DEVICE,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,18,20,8,12,12,0,5,clinical_trial_count_growth|pharma_rd_growth|order_backlog_growth,sales_op_growth|customer_diversification|repeat_service_revenue,multi_year_backlog|customer_portfolio_diversified|funding_cycle_stable|high_margin_service_mix,service_backlog|customer_diversification|repeat_clinical_service_revenue|opm_improvement|funding_cycle_stable,biotech_funding_cycle_down|customer_concentration|trial_delay|low_margin_backlog|customer_budget_cut,biotech_rd_expectation_overheated|service_multiple_saturation,clinical_trial_cut|customer_budget_cut|order_cancellation|forecast_cut,false,"CRO is Watch-to-Green: stronger than pre-revenue biotech, weaker than CDMO due funding-cycle exposure."
CONSTRUCTION_BUILDING_MATERIALS,CONSTRUCTION_REAL_ESTATE_MATERIALS,CONSTRUCTION_REAL_ESTATE_CREDIT,WATCH_YELLOW_FIRST,17,12,12,12,12,5,5,price_hike|housing_start_recovery|rate_down|relief_rally,shipment_recovery|cost_stability|pf_risk_low|fcf_or_dividend_stable,supply_rationalization|pricing_power|credit_risk_contained|cash_flow_recovery,cost_stability|price_pass_through|shipment_recovery|pf_risk_low|fcf_improvement,credit|rates|vacancy|pf|unsold_inventory|relief_only,rate_cut_reit_theme_priced|construction_relief_priced,pf_delinquency|unsold_inventory|liquidity_stress|dividend_cut|cost_up,false,"Construction/materials stay Watch-first because PF, unsold inventory, rates, and liquidity can dominate order headlines."
INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_CAPITAL_DIGITAL,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,15,21,4,15,25,10,5,low_pbr|value_up_disclosure|loss_ratio_improvement|dividend_or_buyback_expectation,roe_improvement|csm_growth|capital_ratio_stable|shareholder_return_execution,pbr_roe_frame_change|repeat_shareholder_return|underwriting_profit_stable|credit_risk_low,roe_improvement|csm_or_loss_ratio_stability|capital_ratio_stable|shareholder_return_execution|credit_risk_low,underwriting|capital_ratio|cyber_operational|credit_cost|low_pbr_only,pbr_normalized|insurance_value_up_crowded|return_expectation_priced,loss_ratio_worsens|capital_ratio_down|cyber_operational_risk|credit_cost_up|shareholder_return_retreat,false,"Insurance is PBR-ROE-return rerating, not EPS explosion; underwriting, capital, and cyber resilience are gates."
SECURITIES_BROKERAGE_CYCLE,FINANCIAL_CAPITAL_DIGITAL,FINANCIAL_SPREAD_BALANCE_SHEET,WATCH_YELLOW_FIRST,18,14,5,15,18,8,5,trading_value_growth|equity_market_rally|ipo_ib_recovery_expectation|vc_exit_expectation,brokerage_revenue_growth|ib_fee_growth|capital_ratio_stable|op_eps_revision,repeat_turnover_or_ib_recovery|pf_risk_low|roe_structure_improves|shareholder_return_capacity,brokerage_revenue_growth|ib_pipeline|capital_ratio_stable|pf_risk_low|roe_improvement,market_turnover|pf|proprietary_loss|ipo_cycle|vc_exit_market_weakness,market_turnover_peak|brokerage_group_overheated|ipo_expectation_priced,trading_value_collapse|pf_loss|proprietary_loss|capital_ratio_down|ipo_pipeline_delay,false,Brokerage remains Watch-first because turnover and IPO recovery can reverse faster than banks or insurers.
