field,required_for_round45_backfill
case_id,true
symbol,true
company_name,true
primary_archetype,true
secondary_archetypes,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_price,true
stage2_price,true
stage3_price,true
stage4b_price,true
stage4c_price,true
peak_price,true
MFE_30D,true
MFE_90D,true
MFE_180D,true
MFE_1Y,true
MFE_2Y,true
MAE_30D,true
MAE_90D,true
MAE_180D,true
MAE_1Y,true
drawdown_after_peak,true
below_stage3_price_flag,true
export_sales_growth,true
overseas_sales_ratio,true
asp_change,true
same_store_sales_growth,true
pb_mix_ratio,true
op_margin_change,true
eps_revision_1q,true
eps_revision_1y,true
fcf_margin,true
inventory_growth,true
receivables_growth,true
channel_sell_through_signal,true
recall_flag,true
food_safety_flag,true
tariff_flag,true
customer_count,true
rental_accounts,true
churn_rate,true
subscription_revenue_ratio,true
data_breach_flag,true
supplier_regulation_flag,true
ip_litigation_flag,true
product_safety_flag,true
score_price_alignment,true
price_validation_status,true
