loop_id,domain,not_enough,required_focus,green_blocker
R1,industrial_infra,order_headline|power_grid_theme,contract_quality|margin|eps_fcf_revision|price_path,contract_cancelled|margin_unknown|capacity_relief
R2,ai_semiconductor,ai_name|server_theme,hbm_lta|prepayment|capacity_constraint|consensus_revision|rerating_room,capex_cut|supply_glut|circular_financing
R3,battery_ev_green,ev_theme|ess_theme|capa_announcement,contract_amount|gwh_volume|opm|fcf|customer_quality,overcapacity|mineral_price_down|negative_fcf
R4,materials_spread_strategic,commodity_price_up,price_floor|offtake|cost_curve|fcf|supply_discipline,spread_reversal|china_oversupply|inventory_build
R5,consumer_retail_brand,viral_product|brand_heat,repeat_demand|asp|channel_sell_through|opm|inventory_quality,fad_normalization|channel_stuffing|recall_or_regulation
R6,financial_capital_digital,low_pbr|policy_valueup,roe|cet1|buyback_cancellation|shareholder_return|credit_cost,pf_credit_cost|capital_ratio_weak|event_premium_only
R7,biotech_healthcare_device,approval_news|clinical_headline,prescription_volume|reimbursement|commercial_revenue|cash_runway|royalty,commercialization_failure|dilution|approval_delay
R8,platform_content_sw_security,ai_feature|mau_growth,arr|churn|arpu|fcf|operational_trust,outage|privacy_breach|regulatory_take_rate_damage
R9,mobility_transport_leisure,robotaxi_name|autonomous_truck_story|travel_reopening,unit_economics|safety|fleet_utilization|margin|repeat_revenue,safety_failure|utilization_weak|cycle_normalization
R10,construction_real_estate_materials,ai_data_center_theme|asset_headline,tenant|noi_affo|power_water|funding_cost|capex_per_share,tenant_absent|affo_integrity_risk|capex_dilution
R11,policy_geopolitical_event,policy_news|mou|geopolitical_headline,contract|budget|financing|actual_order|revenue_conversion,policy_reversal|unfunded_budget|event_fade
R12,agri_life_misc,defensive_theme|education_policy|agri_cycle,recurring_revenue|unit_economics|regulatory_pass|cash_conversion,policy_cap|commodity_reversal|one_off_disease_event
R13,cross_archetype_redteam,high_score|past_winner_similarity,structural_vs_cycle_vs_event|4b|4c|accounting_trust|price_validation,hard_redteam|saturated_4b|false_positive_score
