target_id,large_sector,canonical_archetype,posture,commercialization_eps_fcf_conversion,prescription_royalty_reimbursement_repeat_revenue_visibility,partner_approval_contract_visibility,safety_regulatory_cmc_patent_disclosure_confidence,early_price_path_validation,cash_runway_capital_discipline,valuation_room_4b_runway,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop11_penalty_axes,gate_only,production_scoring_changed,normalization_point
SC_FORMULATION_ROYALTY_PLATFORM,BIOTECH_HEALTHCARE_DEVICE,SC_FORMULATION_ROYALTY_PLATFORM,GREEN_POSSIBLE,24,24,18,12,10,6,6,sc_formulation_platform|alt_b4_enzyme|blockbuster_patent_cliff,fda_approval|big_pharma_partner|adoption_target|enzyme_use_confirmed,royalty_revenue|enzyme_supply_revenue|commercial_sales|op_eps_revision|actual_adoption,stock_rerating_before_royalty|approval_name_driven_rally|valuation_expands_before_revenue,patent_challenge|launch_delay|royalty_rate_dispute|adoption_shortfall,royalty_revenue|actual_adoption|commercial_sales|op_eps_revision|stage2_60d_mfe_20pct,patent_challenge|royalty_rate_missing|adoption_missing|approval_already_priced,patent|royalty_missing|adoption_missing|valuation_4b,false,false,Alteogen-style SC formulation can be Green-capable only after royalty/adoption/commercial evidence follows approval and partner confirmation.
BLOCKBUSTER_LIFE_EXTENSION_ROYALTY,BIOTECH_HEALTHCARE_DEVICE,BLOCKBUSTER_LIFE_EXTENSION_ROYALTY,GREEN_POSSIBLE,24,24,18,12,10,6,6,blockbuster_patent_cliff|life_extension_formulation|patient_convenience,partner_launch_plan|adoption_target|territory_confirmed|royalty_structure,blockbuster_conversion_rate|royalty_revenue_recognition|eps_revision|repeat_dosing_adoption,blockbuster_story_overcrowded|conversion_priced_before_royalty,originator_strategy_changes|patent_loss|adoption_rate_low|payer_resistance,royalty_revenue_recognition|actual_adoption|eps_revision|commercial_launch,royalty_revenue_not_backfilled|adoption_missing|patent_overhang|payer_resistance,adoption|payer|patent|valuation_4b,false,false,"Blockbuster life-extension royalty needs actual conversion and royalty visibility, not only a patent-cliff story."
KOREA_ONCOLOGY_DRUG_COMMERCIALIZATION,BIOTECH_HEALTHCARE_DEVICE,KOREA_ONCOLOGY_DRUG_COMMERCIALIZATION,GREEN_POSSIBLE,24,23,18,12,10,7,6,oncology_trial_success|partner_name|first_line_expectation,fda_approval|partner_launch_plan|peak_sales_expectation|commercial_launch,scripts|royalty_revenue|pbm_access|market_share|op_eps_revision,peak_sales_story_priced_before_scripts|partner_name_2x,scripts_weak|reimbursement_failure|safety_warning|competing_standard_of_care,scripts|royalty_revenue|pbm_access|market_share|op_eps_revision,scripts_missing|pbm_access_missing|royalty_missing|competition,scripts|pbm|competition|safety,false,false,"Yuhan-style oncology commercialization needs scripts and royalty, not only FDA approval or a global partner."
BIOSIMILAR_TARIFF_HEDGE_MANUFACTURING,BIOTECH_HEALTHCARE_DEVICE,BIOSIMILAR_TARIFF_HEDGE_MANUFACTURING,WATCH_YELLOW_FIRST,20,18,20,14,10,8,6,us_factory_acquisition|tariff_hedge_story|biosimilar_launch_plan,facility_acquisition|technology_transfer_plan|us_manufacturing|capex_plan,facility_utilization|us_sales|pbm_formulary|opm_fcf_improvement,factory_optional_value_priced_before_utilization,facility_underutilization|tech_transfer_delay|tariff_policy_changes|pbm_access_failure,facility_utilization|us_sales|pbm_formulary|opm_fcf_improvement,utilization_missing|pbm_formulary_missing|tech_transfer_risk|capex_integration_risk,utilization|pbm|tech_transfer|capex,false,false,"Celltrion US manufacturing is Stage 2 until utilization, PBM/formulary, US sales, and OPM/FCF confirm."
BIOSIMILAR_COMMERCIALIZATION_KOREA,BIOTECH_HEALTHCARE_DEVICE,BIOSIMILAR_COMMERCIALIZATION_KOREA,GREEN_POSSIBLE,23,22,17,14,10,8,6,approval_expectation|partner_agreement|biosimilar_label,approval|partner|launch_schedule|territory,prescription_volume|pbm_formulary|commercial_sales|margin|op_eps_revision,approval_priced_before_switching,patent_litigation|launch_delay|pbm_rebate_pressure|margin_compression,prescription_volume|pbm_formulary|commercial_sales|margin|op_eps_revision,commercial_sales_missing|pbm_missing|patent_overhang|margin_compression,patent|launch|pbm|margin,false,false,"Biosimilar commercialization needs prescription, PBM/formulary, margin, and sales evidence after approval."
BOTULINUM_US_MARKET_ENTRY,BIOTECH_HEALTHCARE_DEVICE,BOTULINUM_US_MARKET_ENTRY,GREEN_POSSIBLE,23,22,17,14,10,8,6,us_launch_news|fda_approval_expectation|botulinum_aesthetic_theme,fda_approval|us_launch|licensed_channel|selling_country_count,us_sales|market_share|repeat_aesthetic_procedure|op_eps_revision|safety_clean,us_entry_story_priced_before_penetration,safety_warning|counterfeit_or_off_label|licensed_channel_failure|competition_discount,us_sales|market_share|repeat_aesthetic_procedure|op_eps_revision|licensed_channel,us_sales_missing|market_share_missing|safety_warning|licensed_channel_safety_risk,safety|channel|competition|penetration_missing,false,false,Hugel-style botulinum US entry needs actual penetration and safe licensed channels before Green.
AESTHETIC_DEVICE_EXPORT_KOREA,BIOTECH_HEALTHCARE_DEVICE,AESTHETIC_DEVICE_EXPORT_KOREA,GREEN_POSSIBLE,24,23,16,12,10,9,6,aesthetic_device_export|global_channel|installed_base_story,selling_country_count|device_sales_growth|installed_base|regulatory_approval,consumable_revenue|procedure_volume|export_sales|opm_fcf|channel_repeat_order,device_multiple_expands_before_consumables,safety_issue|channel_inventory|bain_overhang|consumable_attach_rate_weak,consumable_revenue|procedure_volume|export_sales|opm_fcf|channel_repeat_order,consumable_data_missing|safety_issue|channel_inventory|valuation_overheat,consumable_missing|safety|inventory|valuation,false,false,"Classys-style aesthetic devices are Green-capable only when export, procedure, consumable, OPM, and FCF repeat."
BIOTECH_LICENSE_MILESTONE_PLATFORM,BIOTECH_HEALTHCARE_DEVICE,BIOTECH_LICENSE_MILESTONE_PLATFORM,WATCH_YELLOW_FIRST,18,18,22,14,10,10,8,license_expectation|platform_biology|big_pharma_interest,big_pharma_partner|upfront_or_milestone|research_deal|clinical_transition,milestone_receipt|royalty_visibility|clinical_progress|cash_runway_extended,partner_name_rerating_before_milestone,trial_failure|milestone_delay|cash_runway_short|dilution,milestone_receipt|royalty_visibility|clinical_progress|cash_runway_extended,milestone_detail_needed|clinical_progress_missing|royalty_not_visible|cash_runway_short,milestone_missing|clinical|cash|dilution,false,false,"ABL Bio-style license platforms are capped before milestone, clinical progress, royalty, and cash runway visibility."
GLP1_GENERIC_THEME_KOREA,BIOTECH_HEALTHCARE_DEVICE,GLP1_GENERIC_THEME_KOREA,REDTEAM_FIRST,12,12,14,24,10,14,8,glp1_generic_theme|oral_semaglutide_story|bioequivalence,partner_agreement|approval|territory|launch_claim,commercial_sales|prescription_volume|patent_clearance|margin,glp1_theme_crowded|launch_claim_priced_before_patent_clearance,patent_overhang|regulatory_delay|commercial_sales_missing|margin_compression,commercial_sales|prescription_volume|patent_clearance|margin,patent_overhang|launch_claim_overstated_risk|commercial_sales_missing|hype_communication_risk,patent|regulatory|commercial_sales_missing|theme_crowding,true,false,GLP-1 generic is Stage 1/2 until patent/regulatory clearance and commercial sales confirm.
MEDICAL_AI_REIMBURSEMENT_KOREA,BIOTECH_HEALTHCARE_DEVICE,MEDICAL_AI_REIMBURSEMENT_KOREA,WATCH_YELLOW_FIRST,14,20,14,18,10,12,6,medical_ai_keyword|fda_clearance|auc_external_validation|hospital_pilot,hospital_adoption|reimbursement_code|paid_deployment|workflow_integration,reimbursement_revenue|recurring_saas_revenue|repeat_hospital_usage|op_eps_revision,medical_ai_theme_crowded|auc_paper_priced_before_revenue,reimbursement_absent|revenue_absent|subgroup_performance_issue|liability_or_privacy_issue|cash_burn,reimbursement_revenue|recurring_saas_revenue|repeat_hospital_usage|op_eps_revision,reimbursement_missing|paid_deployment_missing|revenue_missing|cash_burn,reimbursement|paid_deployment|revenue|cash_burn,false,false,"Lunit/JLK/Deepnoid-style medical AI needs paid deployment, reimbursement, and recurring revenue after validation."
