field,required_for_round190_backfill
ticker,true
company_name,true
canonical_archetype,true
case_type,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_trigger,true
stage2_trigger,true
stage3_trigger,true
stage4b_trigger,true
stage4c_trigger,true
price_at_stage1,true
price_at_stage2,true
price_at_stage3,true
price_at_stage4b,true
price_at_stage4c,true
return_1d_after_event,true
return_5d_after_event,true
return_20d_after_stage2,true
return_60d_after_stage2,true
return_120d_after_stage2,true
return_252d_after_stage2,true
mfe_20d_after_stage2,true
mae_20d_after_stage2,true
mfe_60d_after_stage2,true
mae_60d_after_stage2,true
mfe_120d_after_stage2,true
mae_120d_after_stage2,true
mfe_252d_after_stage2,true
mae_252d_after_stage2,true
relative_strength_vs_kospi,true
relative_strength_vs_financial_basket,true
relative_strength_vs_bank_basket,true
relative_strength_vs_insurance_basket,true
relative_strength_vs_fintech_basket,true
roe,true
roe_change_yoy,true
net_profit,true
net_profit_growth_yoy,true
cet1_ratio,true
k_ics_ratio,true
csm,true
credit_cost,true
pf_exposure,true
reserve_build,true
dividend_per_share,true
dividend_payout_ratio,true
buyback_amount,true
cancelled_share_amount,true
total_shareholder_return_ratio,true
eps_accretion_from_buyback,true
pbr_at_stage2,true
pbr_at_stage3,true
pbr_at_stage4b,true
pbr_band_percentile,true
nav_discount,true
major_equity_stake_value,true
digital_asset_stake_value,true
equity_method_income,true
stablecoin_regulatory_status,true
stablecoin_issuance_volume,true
reserve_income,true
take_rate,true
merchant_count,true
user_count,true
transaction_volume,true
privacy_fine_flag,true
biometric_data_risk_flag,true
exchange_security_incident_flag,true
regulatory_approval_pending,true
tax_policy_shock_flag,true
disclosure_confidence,true
valuation_at_stage3,true
valuation_at_stage4b,true
