target_id,large_sector,canonical_archetype,posture,eps_fcf_opm,export_channel_visibility,sell_through_reorder,inventory_receivables_margin_quality,early_price_validation,safety_tariff_disclosure,valuation_4b_room,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop11_penalty_axes,hard_gate,production_scoring_changed,normalization_point
K_BEAUTY_EXPORT_DISTRIBUTION_KOREA,CONSUMER_RETAIL_BRAND,K_BEAUTY_EXPORT_DISTRIBUTION_KOREA,GREEN_POSSIBLE,23,22,19,12,10,8,8,kbeauty_viral|amazon_tiktok_ecommerce_growth|us_kbeauty_import_growth,portfolio_distributor_role|us_ecommerce_growth|brand_portfolio|offline_channel_expansion,op_eps_revision|portfolio_diversification|sell_through|reorder|inventory_receivables_stable|fcf_improvement,kbeauty_platform_narrative_crowded|stock_multibagger|eps_revision_lags_price,sell_through_slowdown|inventory_days_up|receivables_days_up|discount_rate_up,op_eps_revision|sell_through|reorder|inventory_receivables_stable|opm_fcf,sell_through_missing|inventory_receivables_unknown|price_multibagger|channel_stuffing_risk,sell_through|inventory_receivables|valuation_4b,false,false,"Silicon2-style K-beauty distribution can be Stage 2/3, but sell-through, reorder, inventory, receivables, and OPM decide Green."
K_BEAUTY_BRAND_US_CHANNEL,CONSUMER_RETAIL_BRAND,K_BEAUTY_BRAND_US_CHANNEL,WATCH_YELLOW_FIRST,21,22,17,11,10,8,7,brand_viral|us_retail_expansion_expectation|tiktok_amazon,costco_ulta_target_talks|sephora_ulta_channel|listed_price_path|us_channel_visibility,actual_listing|sell_through|reorder|opm_fcf|tariff_absorption,ipo_price_doubles|single_brand_valuation_priced|viral_narrative_crowded,offline_sell_through_failure|tariff_margin_hit|single_brand_fade|inventory_up,actual_listing|sell_through|reorder|opm_fcf|tariff_absorption,sell_through_missing|ipo_valuation_risk|single_brand_dependency|tariff_risk,ipo_4b|sell_through|single_brand|tariff,false,false,"D'Alba/VT/Clio-style brands can be Stage 2/3, but IPO doubles and single-brand rerating need 4B-watch."
K_BEAUTY_RETAIL_PLATFORM_OPTION,CONSUMER_RETAIL_BRAND,K_BEAUTY_RETAIL_PLATFORM_OPTION,WATCH_YELLOW_FIRST,18,22,16,10,8,8,8,olive_young_us_expansion|kbeauty_platform|sephora_ulta_competition,us_first_store|global_mall|1300_korea_stores|platform_curation|ipo_option,cj_consolidated_earnings_link|oliveyoung_opm_growth|us_store_sell_through|ipo_or_cash_realization|nav_discount_narrows,oliveyoung_expectation_priced_before_cash_link|ipo_premium_crowded,us_store_sell_through_failure|ipo_delay|holdco_discount_persists,cj_cashflow_link|opm_growth|sell_through|ipo_or_cash_realization|nav_discount_narrows,holdco_link_missing|cashflow_link_missing|ipo_event_only|sell_through_missing,holdco_link|ipo_event|sell_through,false,false,CJ/Olive Young is Stage 2 platform optionality; CJ Stage 3 requires cash-flow or NAV discount transmission.
K_BEAUTY_OEM_ODM_SUPPLYCHAIN_KOREA,CONSUMER_RETAIL_BRAND,K_BEAUTY_OEM_ODM_SUPPLYCHAIN_KOREA,GREEN_POSSIBLE,23,20,20,13,10,7,7,indie_brand_boom|fast_beauty_supply_chain|kbeauty_us_japan_eu_channels,multi_brand_orders|customer_diversification|repeat_order_visibility|us_japan_eu_mix,repeat_orders|customer_diversification|opm_fcf_improvement|inventory_receivables_stable|op_eps_revision,oem_odm_basket_catches_up_late|multiple_before_eps,brand_sell_through_failure|channel_inventory_up|receivables_worse|indie_brand_churn,repeat_orders|customer_diversification|opm_fcf|inventory_receivables_stable|op_eps_revision,inventory_receivables_unknown|brand_sell_through_dependency|customer_churn|opm_missing,inventory_receivables|customer_churn|brand_sell_through,false,false,Cosmax/Kolmar/C&C-style OEM/ODM can be early Stage 3 candidates when multi-brand repeat orders convert into OPM/FCF.
K_FOOD_GLOBAL_STAPLE_BRAND,CONSUMER_RETAIL_BRAND,K_FOOD_GLOBAL_STAPLE_BRAND,GREEN_POSSIBLE,23,21,18,12,10,8,8,kfood_globalization|ramen_global_demand|k_culture,record_sales|overseas_revenue_mix|walmart_mainstream_shelf|us_sales_target|us_plant_expansion_review,us_europe_sales_growth|asp_defended|op_eps_revision|inventory_stable|reorder_repeat_consumption|china_slowdown_offset,ramen_export_narrative_crowded|single_sku_or_premium_sku_valuation_rally,china_slowdown_not_offset|cost_inflation|inventory_up|single_sku_fade,overseas_sales_growth|asp|op_eps_revision|reorder|inventory_stable,op_eps_missing|china_slowdown|single_sku_risk|cost_inflation,single_sku|china|op_eps,false,false,Nongshim-style global staple brand is Stage 2/3 when overseas sales and mainstream shelf gains convert into OP/EPS.
K_FOOD_SINGLE_SKU_RISK,CONSUMER_RETAIL_BRAND,K_FOOD_SINGLE_SKU_RISK,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,viral_sku|premium_sku|tiktok_food_trend,single_sku_sales_growth|retail_listing,not_green_without_portfolio_repeat_demand,single_sku_viral_price_doubles|food_theme_crowded,viral_sku_demand_drop|recall_or_food_safety|retailer_reorder_decline,,single_sku_dependency|portfolio_missing|reorder_missing|food_safety_risk,single_sku|reorder|safety,true,false,Single-SKU K-food can route research but is hard-capped before portfolio repeat demand and OP/EPS evidence.
APPAREL_LICENSE_BRAND_CHINA_RISK,CONSUMER_RETAIL_BRAND,APPAREL_LICENSE_BRAND_CHINA_RISK,REDTEAM_FIRST,16,14,10,12,8,8,7,licensed_logo_brand_growth|china_asia_expansion|taylormade_option,brand_revenue_growth|mna_option|license_platform,inventory_markdown_stable|china_sell_through|opm_fcf|mna_discipline,license_brand_saturation_ignored|mna_option_priced,licensed_logo_fatigue|china_consumption_slowdown|inventory_markdown_up|mna_governance_overpay,sell_through|inventory_markdown_stable|opm_fcf|mna_discipline,brand_saturation|china_exposure|inventory_markdown|mna_governance_risk,china|inventory|mna_governance|brand_saturation,false,false,"F&F-style licensed brands are Watch/Red when China exposure, logo fatigue, and M&A governance risk dominate."
CHINA_CONSUMER_EXPOSURE_4C,CONSUMER_RETAIL_BRAND,CHINA_CONSUMER_EXPOSURE_4C,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,china_consumption_recovery_expectation|premium_beauty|turnaround_story,north_america_emea_growth|brand_portfolio|acquisition,not_green_while_china_premium_demand_breaks,recovery_story_priced_before_china_turnaround,china_demand_weakness|domestic_brand_preference|earnings_miss|worst_day_price_drop,,china_exposure|earnings_miss|premium_beauty_derating|domestic_brand_preference,china|earnings_miss|derating,true,false,Amorepacific/LG H&H-style China premium exposure is a hard 4C watch inside K-beauty.
TARIFF_IMPORT_MARGIN_OVERLAY,CONSUMER_RETAIL_BRAND,TARIFF_IMPORT_MARGIN_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,us_tariff_uncertainty|kbeauty_us_export_growth|kfood_export_growth,gross_margin_buffer|price_hike_tolerance|retailer_reorder,tariff_absorption_without_demand_loss|margin_buffer_proven|sell_through_stable,tariff_ignored_by_brand_rally,price_competitiveness_hit|consumer_purchase_delay|retailer_inventory_adjustment|gross_margin_hit,,tariff_uncertainty|margin_buffer_missing|price_hike_risk|retailer_reorder_risk,tariff|margin_buffer|price_hike,true,false,Tariff can cap K-beauty/K-food Stage 3 unless margin buffer and price pass-through are proven.
CHANNEL_STUFFING_INVENTORY_OVERLAY,CONSUMER_RETAIL_BRAND,CHANNEL_STUFFING_INVENTORY_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,shipment_growth|listing_growth|export_growth,channel_expansion|order_growth,sell_through|reorder|inventory_days_stable|receivables_days_stable|gross_margin_stable,shipment_growth_priced_before_sell_through,shipment_only_growth|sell_through_slowdown|inventory_days_up|receivables_days_up|discount_rate_up,,inventory_days_up|receivables_days_up|sell_through_slowdown|discount_rate_up,inventory|receivables|sell_through|discount,true,false,"Shipment growth is capped before sell-through, reorder, inventory days, receivables days, and margin quality are verified."
