symbol,date,open,high,low,close,adj_close,volume,trading_value,market_cap,source,as_of_date
267260,2022-10-03,24000,25000,24000,24500,24500,100000,2450000000,883000000000,reference_fixture,2022-10-03
267260,2023-07-27,69000,72000,68000,69600,69600,250000,17400000000,2510000000000,reference_fixture,2023-07-27
298040,2022-10-03,49050,51000,49050,50000,50000,80000,4000000000,580000000000,reference_fixture,2022-10-03
298040,2023-07-10,121000,126000,119000,121900,121900,120000,14628000000,1410000000000,reference_fixture,2023-07-10
103590,2023-01-02,5767,6100,5767,5900,5900,180000,1062000000,220000000000,reference_fixture,2023-01-02
103590,2023-11-27,16000,18100,15800,17600,17600,400000,7040000000,650000000000,reference_fixture,2023-11-27
062040,2024-07-29,50000,52000,49000,50200,50200,200000,10040000000,900000000000,reference_fixture,2024-07-29
062040,2025-02-06,70000,73500,69000,71600,71600,230000,16468000000,1300000000000,reference_fixture,2025-02-06
003230,2023-08-01,103800,108000,103800,106000,106000,60000,6360000000,790000000000,reference_fixture,2023-08-01
003230,2024-05-17,337000,355000,333000,343500,343500,180000,61830000000,2580000000000,reference_fixture,2024-05-17
NVDA,2022-10-14,11.00,11.40,10.81,11.20,11.20,50000000,560000000,280000000000,reference_fixture,2022-10-14
NVDA,2023-05-25,36.60,39.00,36.60,37.95,37.95,154000000,5844300000,940000000000,reference_fixture,2023-05-25
ZM,2020-01-02,76.30,78.00,76.30,77.00,77.00,8000000,616000000,22000000000,reference_fixture,2020-01-02
ZM,2020-09-01,455.00,478.00,445.00,470.11,470.11,32000000,15043520000,132000000000,reference_fixture,2020-09-01
096530,2020-01-02,20000,21000,19700,20500,20500,400000,8200000000,540000000000,reference_fixture,2020-01-02
096530,2020-08-24,236000,255000,230000,242700,242700,1000000,242700000000,6400000000000,reference_fixture,2020-08-24
SMCI,2023-10-31,24.10,25.00,23.95,24.50,24.50,9000000,220500000,13000000000,reference_fixture,2023-10-31
SMCI,2024-01-19,50.50,55.00,49.00,52.96,52.96,40000000,2118400000,30000000000,reference_fixture,2024-01-19
