target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop2_penalty_axes,production_scoring_changed,normalization_point
GRID_TRANSFORMER_SHORTAGE,INDUSTRIAL_ORDERS_INFRA,GRID_TRANSFORMER_SHORTAGE,GREEN_POSSIBLE,23,25,23,12,12,1,5,ai_data_center_power_demand|ev_grid_demand|grid_modernization|lead_time_extended,supply_contract|contract_value_to_sales|backlog_growth|op_eps_revision,fy1_fy2_fy3_revision|long_lead_time|price_increase|old_industrial_frame_rerating,sector_wide_ai_grid_consensus|valuation_band_expansion|capacity_addition_news,data_center_project_delay|new_order_slowdown|capa_normalization|low_margin_contract,contract_quality|lead_time_extended|pricing_power|backlog_growth|op_eps_revision,capa_normalization|data_center_delay|low_margin_contract|new_order_growth_slowdown,data_center_delay|project_delay|capa_normalization|low_margin_contract,false,"Loop 2 raises transformer EPS/FCF weight because demand, price, lead time, and Korean contract references are all visible."
AI_DATA_CENTER_POWER_EQUIPMENT,INDUSTRIAL_ORDERS_INFRA,AI_DATA_CENTER_POWER_EQUIPMENT,GREEN_POSSIBLE,21,22,18,13,12,0,5,ups_pdu_switchgear_keyword|modular_power|data_center_internal_power_demand,confirmed_booking|delivery_schedule|op_eps_revision|bookings_growth,backlog_growth|revenue_conversion|op_margin_improvement|customer_visible,ai_power_equipment_theme_crowded|ytd_return_extreme|capacity_addition_news,bookings_slowdown|project_delay|low_margin_project|data_center_capex_delay,bookings_growth|delivery_schedule|backlog_growth|op_margin_improvement,bookings_slowdown|low_margin_project|data_center_delay,bookings_slowdown|project_delay|low_margin_project,false,"Data-center power equipment is Green-capable only when bookings convert to revenue and OP, not from AI tags alone."
CONTRACT_BACKLOG_INDUSTRIAL,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,20,24,18,13,12,1,5,supply_contract_news|trading_value_breakout|backlog_keyword,contract_amount_to_sales|contract_duration|delivery_schedule|op_eps_revision,multi_year_backlog|margin_visible|capacity_constraint|fy1_fy2_revision,crowded_order_story|target_price_cluster|new_order_growth_slowdown,contract_cancelled|delivery_delay|margin_miss|customer_credit_issue,contract_value|contract_duration|delivery_schedule|margin_visible|op_eps_revision,contract_quality_unclear|delivery_delay|margin_uncertainty,contract_quality_unclear|delivery_delay|margin_uncertainty,false,"Generic backlog needs contract size, duration, delivery, margin, and EPS evidence together."
DEFENSE_GOVERNMENT_BACKLOG,INDUSTRIAL_ORDERS_INFRA,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,20,24,17,14,14,3,5,nato_rearmament|defense_export_news|government_customer,official_contract|multi_year_delivery|order_backlog_growth|op_eps_revision,government_backlog_to_sales|delivery_visibility|opm_improvement|export_mix_growth,defense_rerating_crowded|capital_raise_after_runup|valuation_band_full,delivery_delay|cost_overrun|export_permit_issue|dilution_shock|contract_cancelled,government_customer|multi_year_contract|delivery_schedule|backlog_growth|opm_improvement,delivery_delay|cost_overrun|export_permit_issue|dilution,capital_allocation_shock|dilution|delivery_delay|export_permit_issue,false,Loop 2 keeps defense Green-capable but makes dilution and unclear overseas expansion funding first-class guardrails.
DEFENSE_TECH_AUTONOMOUS_SYSTEMS,INDUSTRIAL_ORDERS_INFRA,DEFENSE_TECH_AUTONOMOUS_SYSTEMS,WATCH_YELLOW_FIRST,20,22,15,15,14,2,5,autonomous_weapon_keyword|low_cost_munition_framework|prototype_program,framework_agreement|evaluation_schedule|procurement_quantity_hint,program_of_record|mass_procurement|production_capacity|eps_conversion,prototype_theme_crowded|defense_ai_valuation_jump,procurement_delay|program_cancelled|valuation_overheat|export_control,framework_to_order_conversion|production_capacity|customer_budget|eps_conversion,procurement_delay|valuation_overheat|prototype_only|program_cancelled,prototype_only|procurement_delay|valuation_overheat,false,Framework and prototypes are Watch until they become funded procurement and revenue.
DEFENSE_DRONE_COUNTER_UAS,INDUSTRIAL_ORDERS_INFRA,DEFENSE_DRONE_COUNTER_UAS,WATCH_YELLOW_FIRST,20,22,14,14,13,3,5,drone_or_counter_uas_keyword|loitering_munition|directed_energy_keyword,military_order|delivery_schedule|production_capacity,repeat_procurement|export_customer|margin_visible,drone_theme_crowding|mna_dilution,export_control|procurement_delay|production_failure|dilution,actual_order|delivery_schedule|production_capacity|repeat_procurement,mna_dilution|export_control|prototype_only,prototype_only|mna_dilution|export_control,false,Drone and counter-UAS stories need production capacity and repeat procurement.
DEFENSE_AI_SOFTWARE_INTELLIGENCE,INDUSTRIAL_ORDERS_INFRA,DEFENSE_AI_SOFTWARE_INTELLIGENCE,WATCH_YELLOW_FIRST,19,21,10,15,14,0,5,military_ai_software|command_control_software|prototype_contract,prototype_contract|government_customer|deployment_schedule,program_of_record|recurring_license|gross_margin_visible,defense_ai_software_crowded|multiple_expansion_without_arr,prototype_not_renewed|political_ethics_risk|budget_cycle_cut,government_customer|deployment_schedule|recurring_license|gross_margin_visible,prototype_stage|political_ethics_risk|budget_cycle,prototype_stage|budget_cycle|political_ethics_risk,false,Defense AI software must separate prototype revenue from repeat software economics.
SHIPBUILDING_OFFSHORE_BACKLOG,INDUSTRIAL_ORDERS_INFRA,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,20,22,18,13,13,1,5,newbuilding_price_up|ship_order_recovery|lng_or_offshore_order|naval_mro_option,large_order|low_margin_backlog_rolloff|high_margin_delivery_start|op_eps_revision,backlog_quality_improves|fy2_fy3_margin_recognition|cost_pressure_controlled,shipbuilder_group_rally|newbuilding_price_narrative_crowded|mro_option_crowded|block_sale_overhang,steel_plate_cost_spike|labor_cost_spike|order_slowdown|contract_cancelled|delivery_delay,newbuilding_price_up|low_margin_backlog_rolloff|high_margin_delivery_start|op_eps_revision,low_margin_backlog|steel_plate_cost|labor_cost|block_sale_overhang,low_margin_backlog|steel_plate_cost|labor_cost|block_sale_overhang,false,"Shipbuilding needs order quality, newbuilding prices, margin recognition, and overhang checks."
RAIL_INFRASTRUCTURE,INDUSTRIAL_ORDERS_INFRA,RAIL_INFRASTRUCTURE,WATCH_YELLOW_FIRST,20,23,12,14,12,1,5,rail_order_news|foreign_rail_investment|urban_or_high_speed_rail_policy,official_contract|contract_amount_to_sales|delivery_schedule,delivery_visibility|margin_visible|op_eps_revision|financing_risk_low,rail_order_expectation_fully_priced,project_delay|financing_failure|margin_miss|contract_cancelled,official_contract|contract_amount_to_sales|delivery_schedule|margin_visible|financing_secured,project_delay|margin_uncertainty|financing,project_delay|margin_uncertainty|financing,false,"Rail contracts can reach Stage 2, but Green needs margin, delivery, and financing evidence."
NUCLEAR_SMR_GRID_POLICY,INDUSTRIAL_ORDERS_INFRA,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,18,22,10,14,12,2,5,nuclear_policy|ai_power_demand|ppa_or_preferred_bidder_news|smr_news,ppa_or_signed_contract|permitting_visible|supplier_revenue_path,legal_risk_low|financing_visible|fy2_fy3_revenue_visibility|ppa_price_visible,nuclear_theme_rally|policy_premium_crowded|smr_story_crowded,legal_injunction|project_cancelled|cost_overrun|financing_failed|customer_subscription_failed,ppa_or_signed_contract|permitting|financing|supplier_revenue_path|ppa_price_visible,legal_delay|cost_overrun|financing_failed|policy_headline_only|customer_subscription_failed,cost_overrun|financing_failed|legal_delay|customer_subscription_failed,false,"Existing nuclear PPA is stronger evidence than SMR policy narrative; SMR needs cost, customer, permit, and financing proof."
