case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
samsung_biologics_gsk_us_facility_case,CDMO_US_TARIFF_HEDGE_CAPACITY,207940,Samsung Biologics GSK US facility acquisition,KR,success_candidate,CDMO_US_TARIFF_HEDGE_CAPACITY,WATCH_YELLOW_FIRST,,2025-12-21,,,,us_manufacturing_site_flag|facility_location_rockville|capacity_liters_60000|tariff_hedge_flag|technology_transfer_flag,utilization_unverified|capex_burden|customer_contract_unverified|us_operating_cost,us_capacity_tariff_hedge_but_delayed_price,needs_price_backfill,false,"US capacity is strategic, but utilization, customer contracts, technology transfer, OPM, and FCF must be verified."
samsung_biologics_cdmo_capacity_reference,CDMO_HEALTHCARE_CONTRACT,207940,Samsung Biologics CDMO capacity reference,KR,structural_success,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,,,,,,major_pharma_contracts|customer_diversification|capacity_liters|capacity_utilization|high_value_modality_mix,customer_concentration|contract_delay|quality_issue|underutilization,cdmo_structural_reference,needs_source_date_and_price_backfill,false,"CDMO references are Green-eligible only after contract, utilization, margin, and FCF conversion are matched to stage dates."
intuitive_surgical_q1_2026_procedure_growth_case,SURGICAL_ROBOT_INSTALLED_BASE,ISRG,Intuitive Surgical Q1 2026 procedure growth and recurring consumables,US,structural_success,SURGICAL_ROBOT_INSTALLED_BASE,GREEN_POSSIBLE,,2026-04-22,,,,surgical_robot_installed_base|procedure_growth_17pct|system_placements|instruments_accessories_revenue|revenue_growth_23pct|guidance_raise,hospital_capex_cycle|procedure_mix_risk|glp1_bariatric_slowdown|medtech_valuation_compression,surgical_robot_recurring_consumable_success,needs_exact_stage_date_and_price_backfill,false,"Installed base, procedure growth, and instruments/accessories revenue make surgical robots a separate recurring-revenue archetype."
straumann_dental_implant_vbp_case,MEDICAL_DEVICE_DENTAL_IMPLANT,STMN.SW,Straumann dental implant growth with VBP risk,CH,success_candidate,MEDICAL_DEVICE_DENTAL_IMPLANT,GREEN_POSSIBLE,,2026-02-18,,,,sales_growth|procedure_growth|regional_growth|guidance_growth,vbp_price_control|asp_pressure|china_procurement_uncertainty,medical_device_aligned_candidate,needs_price_backfill,false,"Dental implant growth is aligned when procedure and sales growth persist, but VBP price control is a hard gate."
lilly_foundayo_fda_approval_case,ORAL_GLP1_APPROVAL_COMMERCIALIZATION,LLY,Lilly oral GLP-1 Foundayo FDA approval,US,success_candidate,ORAL_GLP1_APPROVAL_COMMERCIALIZATION,WATCH_YELLOW_FIRST,,2026-04-01,,,,fda_approval|oral_glp1_flag|trial_weight_loss|self_pay_price|maintenance_therapy_flag,coverage_unverified|weekly_scripts_unverified|competition|price_pressure|boxed_warning_unverified,approval_stage2_not_green,needs_price_backfill,false,"Approval and TAM support Stage 1/2; scripts, coverage, supply, price, and OP/EPS decide higher stages."
lilly_foundayo_switch_maintenance_case,ORAL_GLP1_MAINTENANCE_THERAPY,LLY,Lilly Foundayo switch-maintenance therapy data,US,success_candidate,ORAL_GLP1_MAINTENANCE_THERAPY,WATCH_YELLOW_FIRST,,2026-05-12,,,,maintenance_therapy_data|weight_maintenance|oral_glp1_flag|injection_to_pill_switch_flag|real_world_adherence_signal|long_term_use_case,coverage_unverified|price_pressure|competition|scripts_needed,glp1_maintenance_structural_candidate,needs_price_backfill,false,"Maintenance evidence can support a more durable GLP-1 path, but insurance, price, and scripts still gate Green."
boehringer_goodrx_humira_biosimilar_case,BIOSIMILAR_ACCESS_CASH_PAY,BIOSIMILAR_ACCESS_REF,Boehringer / GoodRx Humira biosimilar access but uptake watch,US,success_candidate,BIOSIMILAR_ACCESS_CASH_PAY,WATCH_YELLOW_FIRST,,2024-07-18,,,,biosimilar_discount_pct|access_program|prescription_volume,slow_switching|pbm_incentive_gap|margin_pressure|humira_prescription_dominance,biosimilar_access_candidate_but_slow_uptake,missing_direct_symbol_mapping,false,"A 92% discount improves access, but slow prescription switching and margin defense remain core gates."
cigna_accredo_humira_biosimilar_zero_copay_case,BIOSIMILAR_PBM_FORMULARY_SWITCH,BIOSIMILAR_ACCESS_REF,Cigna / Accredo Humira biosimilar $0 copay formulary switch,US,success_candidate,BIOSIMILAR_PBM_FORMULARY_SWITCH,WATCH_YELLOW_FIRST,,2024-04-25,,,,pbm_listing|zero_copay_program|biosimilar_discount_pct|insurance_coverage|prescription_conversion_watch,slow_switching|originator_rebate_defense|pbm_incentive_gap|margin_pressure,pbm_formulary_stage2_without_uptake,missing_direct_symbol_mapping,false,"PBM/formulary and $0 copay are stronger than approval, but prescription conversion and margin defense still gate Stage 3."
novo_glp1_price_pressure_case,GLP1_PRICE_WAR_OVERLAY,NVO,Novo Nordisk GLP-1 price pressure and competition,DK,4c_thesis_break,GLP1_PRICE_WAR_OVERLAY,REDTEAM_FIRST,,,,,2026-02-03,glp1_market_growth|wegovy_sales_base,price_pressure|competition|compounded_alternative|outlook_cut|sales_profit_decline|gross_to_net_pressure,glp1_4b_to_4c,needs_price_backfill,false,"GLP-1 TAM can still break when price, competition, coverage, and scripts hit estimates."
hims_branded_glp1_pivot_loss_case,GLP1_TELEHEALTH_CHANNEL,HIMS,Hims branded GLP-1 pivot and unexpected loss,US,4c_thesis_break,GLP1_TELEHEALTH_CHANNEL,WATCH_YELLOW_FIRST,,,,,2026-05-12,telehealth_glp1_channel|branded_drug_pivot,revenue_miss|unexpected_loss|restructuring_cost|revenue_recognition_timing|margin_pressure,telehealth_channel_volatility,needs_price_backfill,false,"Telehealth GLP-1 channel stories require legal channel, CAC, margin, revenue recognition, and FCF checks."
hims_compounded_glp1_crackdown_case,COMPOUNDED_GLP1_REGULATORY_RISK,HIMS,Hims compounded GLP-1 regulatory crackdown,US,4c_thesis_break,COMPOUNDED_GLP1_REGULATORY_RISK,REDTEAM_FIRST,,,,,2026-02-07,compounded_drug_flag|compounded_glp1_channel|online_pharmacy,fda_crackdown_flag|doj_referral_flag|unapproved_copycat_flag|compounded_quality_issue|channel_shutdown,compounded_glp1_regulatory_4c_watch,needs_price_backfill,false,Large obesity demand does not offset an unproven or illegal drug-channel risk.
