target_id,stage1,stage2,stage3,stage4b,stage4c,loop2_penalty_axes,production_scoring_changed
GRID_TRANSFORMER_SHORTAGE,ai_data_center_power_demand|ev_grid_demand|grid_modernization|lead_time_extended,supply_contract|contract_value_to_sales|backlog_growth|op_eps_revision,fy1_fy2_fy3_revision|long_lead_time|price_increase|old_industrial_frame_rerating,sector_wide_ai_grid_consensus|valuation_band_expansion|capacity_addition_news,data_center_project_delay|new_order_slowdown|capa_normalization|low_margin_contract,data_center_delay|project_delay|capa_normalization|low_margin_contract,false
AI_DATA_CENTER_POWER_EQUIPMENT,ups_pdu_switchgear_keyword|modular_power|data_center_internal_power_demand,confirmed_booking|delivery_schedule|op_eps_revision|bookings_growth,backlog_growth|revenue_conversion|op_margin_improvement|customer_visible,ai_power_equipment_theme_crowded|ytd_return_extreme|capacity_addition_news,bookings_slowdown|project_delay|low_margin_project|data_center_capex_delay,bookings_slowdown|project_delay|low_margin_project,false
CONTRACT_BACKLOG_INDUSTRIAL,supply_contract_news|trading_value_breakout|backlog_keyword,contract_amount_to_sales|contract_duration|delivery_schedule|op_eps_revision,multi_year_backlog|margin_visible|capacity_constraint|fy1_fy2_revision,crowded_order_story|target_price_cluster|new_order_growth_slowdown,contract_cancelled|delivery_delay|margin_miss|customer_credit_issue,contract_quality_unclear|delivery_delay|margin_uncertainty,false
DEFENSE_GOVERNMENT_BACKLOG,nato_rearmament|defense_export_news|government_customer,official_contract|multi_year_delivery|order_backlog_growth|op_eps_revision,government_backlog_to_sales|delivery_visibility|opm_improvement|export_mix_growth,defense_rerating_crowded|capital_raise_after_runup|valuation_band_full,delivery_delay|cost_overrun|export_permit_issue|dilution_shock|contract_cancelled,capital_allocation_shock|dilution|delivery_delay|export_permit_issue,false
DEFENSE_TECH_AUTONOMOUS_SYSTEMS,autonomous_weapon_keyword|low_cost_munition_framework|prototype_program,framework_agreement|evaluation_schedule|procurement_quantity_hint,program_of_record|mass_procurement|production_capacity|eps_conversion,prototype_theme_crowded|defense_ai_valuation_jump,procurement_delay|program_cancelled|valuation_overheat|export_control,prototype_only|procurement_delay|valuation_overheat,false
DEFENSE_DRONE_COUNTER_UAS,drone_or_counter_uas_keyword|loitering_munition|directed_energy_keyword,military_order|delivery_schedule|production_capacity,repeat_procurement|export_customer|margin_visible,drone_theme_crowding|mna_dilution,export_control|procurement_delay|production_failure|dilution,prototype_only|mna_dilution|export_control,false
DEFENSE_AI_SOFTWARE_INTELLIGENCE,military_ai_software|command_control_software|prototype_contract,prototype_contract|government_customer|deployment_schedule,program_of_record|recurring_license|gross_margin_visible,defense_ai_software_crowded|multiple_expansion_without_arr,prototype_not_renewed|political_ethics_risk|budget_cycle_cut,prototype_stage|budget_cycle|political_ethics_risk,false
SHIPBUILDING_OFFSHORE_BACKLOG,newbuilding_price_up|ship_order_recovery|lng_or_offshore_order|naval_mro_option,large_order|low_margin_backlog_rolloff|high_margin_delivery_start|op_eps_revision,backlog_quality_improves|fy2_fy3_margin_recognition|cost_pressure_controlled,shipbuilder_group_rally|newbuilding_price_narrative_crowded|mro_option_crowded|block_sale_overhang,steel_plate_cost_spike|labor_cost_spike|order_slowdown|contract_cancelled|delivery_delay,low_margin_backlog|steel_plate_cost|labor_cost|block_sale_overhang,false
RAIL_INFRASTRUCTURE,rail_order_news|foreign_rail_investment|urban_or_high_speed_rail_policy,official_contract|contract_amount_to_sales|delivery_schedule,delivery_visibility|margin_visible|op_eps_revision|financing_risk_low,rail_order_expectation_fully_priced,project_delay|financing_failure|margin_miss|contract_cancelled,project_delay|margin_uncertainty|financing,false
NUCLEAR_SMR_GRID_POLICY,nuclear_policy|ai_power_demand|ppa_or_preferred_bidder_news|smr_news,ppa_or_signed_contract|permitting_visible|supplier_revenue_path,legal_risk_low|financing_visible|fy2_fy3_revenue_visibility|ppa_price_visible,nuclear_theme_rally|policy_premium_crowded|smr_story_crowded,legal_injunction|project_cancelled|cost_overrun|financing_failed|customer_subscription_failed,cost_overrun|financing_failed|legal_delay|customer_subscription_failed,false
GEOPOLITICAL_RECONSTRUCTION,reconstruction_policy|neom_or_ukraine_theme|mou_or_bid_news,binding_contract|revenue_schedule|financing_visible,actual_delivery_and_margin|eps_conversion,policy_event_crowded|event_premium_fades,no_contract|project_delay|financing_failure|policy_reversal,policy_to_contract_failed|financing_failure|mou_only,false
SMART_FACTORY_AUTOMATION,smart_factory_keyword|automation_order|factory_ai_keyword,actual_order|installed_base|recurring_maintenance_or_software,revenue_conversion|opm_improvement|customer_diversification,automation_theme_crowded,mou_or_poc_only|customer_capex_delay|no_revenue_conversion,mou_only|poc_only|customer_capex_delay,false
