target_id,large_sector,canonical_archetype,posture,eps_fcf_opm_conversion,recurring_order_regulatory_visibility,unit_economics_pass_through_demand_durability,price_path_early_validation,regulation_litigation_public_health_disclosure,capital_discipline_debt_cash_runway,valuation_room_4b_margin,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop11_penalty_axes,gate_only,production_scoring_changed,normalization_point
AGRI_MACHINERY_EXPORT_CYCLE_KOREA,EDUCATION_LIFE_AGRI_MISC,AGRI_MACHINERY_EXPORT_CYCLE_KOREA,WATCH_YELLOW_FIRST,16,18,16,8,10,8,6,agri_machinery_export|north_america_compact_tractor|autonomous_tractor_narrative,export_sales|dealer_network|kioti_or_branson_brand|parts_service_option,export_sales_growth|opm_fcf_improvement|dealer_inventory_stable|parts_service_repeat_revenue|farmer_financing_cost_stable,agri_robot_theme_priced_before_sales|tractor_export_theme_crowding,north_america_tractor_demand_slowdown|dealer_inventory_increase|grain_price_or_farm_income_weakness|financing_cost_delay,opm_fcf_improvement|dealer_inventory_stable|parts_service_repeat_revenue|price_path_confirmed,dealer_inventory_increase|farm_income_weakness|financing_cost_delay,dealer_inventory|farmer_capex_cycle|opm_fcf_backfill,false,false,"Daedong/TYM can be Stage 2 candidates, but North America farm capex cycle caps Green."
AGRI_MACHINERY_AUTONOMOUS_ROBOT_OPTION,EDUCATION_LIFE_AGRI_MISC,AGRI_MACHINERY_AUTONOMOUS_ROBOT_OPTION,WATCH_YELLOW_FIRST,10,12,12,6,10,8,5,autonomous_tractor|agricultural_robot|smart_agri_option,commercial_launch|paid_order|dealer_support|service_attach,recurring_software_or_service_revenue|farmer_roi_verified|op_eps_conversion,robot_option_priced_before_revenue,commercial_sales_missing|farmer_roi_missing|right_to_repair_or_service_backlash,paid_order|recurring_software_or_service_revenue|farmer_roi_verified|op_eps_conversion,commercial_sales_missing|farmer_roi_missing|service_backlash,commercialization|farmer_roi|service_attach,false,false,Autonomous agriculture is an option until commercial sales and farmer ROI are verified.
FERTILIZER_INPUT_PRICE_COST_KOREA,EDUCATION_LIFE_AGRI_MISC,FERTILIZER_INPUT_PRICE_COST_KOREA,REDTEAM_FIRST,14,10,18,7,14,5,4,grain_price|fertilizer_price|food_security_narrative|supply_chain_shock,fertilizer_price_pass_through|government_procurement|product_mix_improvement,price_pass_through|volume_maintained|energy_raw_material_cost_stable|opm_fcf_improvement|farmer_roi_maintained,fertilizer_theme_crowding|food_security_basket_rally,grain_price_decline|farmer_purchase_delay|ammonia_urea_energy_cost_spike|inventory_loss,price_pass_through|volume_maintained|opm_fcf_improvement|farmer_roi_maintained,input_cost_spike|farmer_margin_risk|volume_missing|inventory_loss,input_cost|farmer_margin|volume|inventory,false,false,"Namhae Chemical/KG Chemical need volume, OPM, FCF, and farmer margin, not fertilizer-price headlines only."
LIVESTOCK_DISEASE_PRICE_EVENT_KOREA,EDUCATION_LIFE_AGRI_MISC,LIVESTOCK_DISEASE_PRICE_EVENT_KOREA,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,bird_flu|asf|broiler_price|egg_price|culling|substitution_demand,selling_price_increase|shipment_volume|feed_price_pass_through,normally_green_blocked_unless_recurring_non_disease_fcf,disease_news_1d_20pct|livestock_basket_rally,disease_normalization|livestock_price_decline|feed_cost_rise|consumer_or_antitrust_backlash,,disease_normalization|price_normalization|feed_cost_rise|antitrust_or_price_investigation,one_off_disease|price_normalization|feed_cost|consumer_backlash,true,false,Harim/Maniker/Pamstory-style disease rallies are Stage 1 events and usually Green-blocked.
FEED_GRAIN_COST_PASS_THROUGH,EDUCATION_LIFE_AGRI_MISC,FEED_GRAIN_COST_PASS_THROUGH,WATCH_YELLOW_FIRST,13,10,18,6,10,5,4,grain_price_move|feed_cost_move|livestock_price_link,feed_price_pass_through|volume_stable|customer_contract_or_channel,feed_cost_pass_through|opm_fcf_improvement|receivables_inventory_stable,feed_theme_basket_rally,grain_cost_spike_not_passed_through|livestock_demand_drop|margin_squeeze,feed_cost_pass_through|volume_stable|opm_fcf_improvement,cost_not_passed_through|demand_drop|margin_squeeze,grain_cost|pass_through|volume|receivables,false,false,Feed names need pass-through and volume proof before Stage 3.
TUNA_FISHERY_GLOBAL_BRAND_LEGAL_RISK,EDUCATION_LIFE_AGRI_MISC,TUNA_FISHERY_GLOBAL_BRAND_LEGAL_RISK,WATCH_YELLOW_FIRST,15,15,12,6,18,8,5,tuna_price|fishery_fleet|starkist_brand_cashflow,global_tuna_brand|us_retail_channel|food_staple_recurring,brand_opm|fuel_fx_stable|legal_cost_normalized|fcf_improvement,brand_asset_priced_before_legal_risk,price_fixing_settlement|legal_reserve|fuel_cost_spike|fishery_quota_risk,brand_opm|legal_cost_normalized|fcf_improvement,legal_settlement|price_fixing|fuel_cost|quota,legal|fuel|quota|fx,false,false,"Dongwon has global brand value, but StarKist legal settlement is a 4C-watch gate."
CONSUMER_REGULATED_PRODUCT_KOREA,EDUCATION_LIFE_AGRI_MISC,CONSUMER_REGULATED_PRODUCT_KOREA,GREEN_POSSIBLE,18,18,12,6,18,10,8,tobacco_cash_cow|ginseng_health_option|regulated_consumer_repeat,recurring_consumption|cash_flow_stability|shareholder_return,opm_fcf_maintained|ngp_or_core_revenue_growth|tax_regulatory_risk_contained|public_health_gate_passed,regulated_consumer_defensive_premium,public_health_regulation|tax_increase|youth_safety_controversy|advertising_or_flavor_restriction,opm_fcf_maintained|recurring_consumption|shareholder_return|public_health_gate_passed,public_health_regulation|tax_increase|youth_safety|advertising_restriction,public_health|tax|youth_safety|regulatory_scope,false,false,"KT&G can be Green-eligible only with FCF, returns, and public-health/regulatory stability."
HEATED_TOBACCO_GLOBAL_DISTRIBUTION,EDUCATION_LIFE_AGRI_MISC,HEATED_TOBACCO_GLOBAL_DISTRIBUTION,WATCH_YELLOW_FIRST,16,18,10,6,18,8,6,heated_tobacco_growth|lil_iqos_portfolio|global_distribution_option,pmi_ktng_distribution|overseas_sales|regulated_channel,ngp_overseas_revenue_growth|opm_fcf_maintained|regulatory_stability|youth_safety_limited,smoke_free_product_premium_before_sales,reduced_risk_claim_denied|public_health_warning|youth_safety_controversy|tax_or_display_restriction,ngp_overseas_revenue_growth|opm_fcf_maintained|regulatory_stability,public_health_warning|youth_safety|tax_or_display_restriction,public_health|ngp_sales|regulatory_scope|youth_safety,false,false,"Heated tobacco has repeat-consumption potential, but public-health and marketing-scope gates remain hard."
EDUCATION_POLICY_EVENT_KOREA,EDUCATION_LIFE_AGRI_MISC,EDUCATION_POLICY_EVENT_KOREA,WATCH_YELLOW_FIRST,14,16,12,8,16,5,5,medical_quota_policy|exam_prep_demand|private_education_narrative,policy_confirmed|enrollment_growth|medical_track_revenue|op_eps_revision,repeat_enrollment|paid_conversion|cac_stable|opm_fcf_improvement|policy_uncertainty_lower,medical_quota_theme_rally|education_basket_crowding,policy_freeze_or_reversal|doctor_strike_policy_uncertainty|low_birth_rate|ai_tutor_substitution,repeat_enrollment|paid_conversion|cac_stable|opm_fcf_improvement,policy_reversal|low_birth_rate|ai_substitution|opm_missing,policy_reversal|student_count|ai_tutor|cac,false,false,Medical-quota education trades are Stage 1/2 until repeat enrollment and OPM are verified.
EDTECH_AI_DISRUPTION_KOREA,EDUCATION_LIFE_AGRI_MISC,EDTECH_AI_DISRUPTION_KOREA,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,ai_tutor|ai_problem_solving|personalized_learning,paid_conversion|b2b_or_b2g_contract|repeat_subscription,not_green_without_paid_repeat_opm,ai_education_theme_priced_before_bookings,ai_substitutes_core_service|tuition_price_pressure|cac_rise|content_commoditization,,ai_substitution|price_pressure|cac_rise|content_commoditization,cannibalization|cac|paid_conversion|bookings,true,false,"AI education can help, but it can also replace listed education services; treat it as RedTeam-first."
