case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,validation_group,evidence_fields,red_flag_fields,price_alignment_hint,price_validation_status,production_input,notes
foxconn_ai_server_profit_rack_growth_candidate,AI_SERVER_ODM_EMS_SUPPLY_CHAIN,2354.TW,Foxconn AI server profit rack growth candidate,TW,success_candidate,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,high_growth_ai_hardware,ai_server_revenue_growth|rack_shipment_growth|capacity_expansion,customer_concentration|low_margin_assembly,needs_backfill,needs_price_backfill,false,AI server demand and rack growth are strong but price rerating needs OHLCV validation.
foxconn_ai_server_price_alignment_needs_backfill,AI_SERVER_ODM_EMS_SUPPLY_CHAIN,2354.TW_ALIGN,Foxconn AI server price alignment needs backfill,TW,success_candidate,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,high_growth_ai_hardware,op_eps_revision|ai_server_revenue_growth,market_underperformance|customer_concentration,needs_backfill,needs_price_backfill,false,"Earnings evidence appears stronger than price evidence, so path validation remains open."
supermicro_ai_server_rerating_then_accounting_4c,AI_SERVER_ODM_EMS_SUPPLY_CHAIN,SMCI_4C,Supermicro AI server rerating then accounting 4C,US,4c_thesis_break,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,high_growth_ai_hardware,ai_server_revenue_growth|valuation_frame_shift,auditor_resignation|internal_control_weakness|accounting_trust,thesis_break,needs_price_backfill,false,AI server rerating followed by audit trust break is a core 4C example.
ai_server_low_margin_customer_concentration_counterexample,AI_SERVER_ODM_EMS_SUPPLY_CHAIN,AI_SERVER_MARGIN,AI server low margin customer concentration counterexample,GLOBAL,failed_rerating,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,high_growth_ai_hardware,ai_server_revenue_growth,low_margin_assembly|customer_concentration|inventory,false_positive_score,needs_price_backfill,false,Revenue growth without margin and customer diversification should be capped.
supermicro_ey_resignation_hard_4c,AI_SERVER_ACCOUNTING_GOVERNANCE_RISK,SMCI_EY_4C,Supermicro EY resignation hard 4C,US,4c_thesis_break,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,hard_redteam_gate,auditor_resignation,auditor_resignation|audit_committee_trust_break,thesis_break,needs_price_backfill,false,Auditor resignation is a hard trust break regardless of growth.
supermicro_hindenburg_delay_annual_report_4c,AI_SERVER_ACCOUNTING_GOVERNANCE_RISK,SMCI_DELAY_4C,Supermicro Hindenburg delay annual report 4C,US,4c_thesis_break,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,hard_redteam_gate,annual_report_delay|related_party_transaction,annual_report_delay|financial_restatement_risk,thesis_break,needs_price_backfill,false,Filing delay and short-report accounting flags require hard RedTeam review.
related_party_supplier_risk_counterexample,AI_SERVER_ACCOUNTING_GOVERNANCE_RISK,RELATED_PARTY,Related-party supplier risk counterexample,GLOBAL,failed_rerating,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,hard_redteam_gate,related_party_transaction,supplier_related_party|accounting_trust,false_positive_score,needs_price_backfill,false,Related-party supplier risk can invalidate high growth quality.
auditor_resignation_redteam_overlay,AI_SERVER_ACCOUNTING_GOVERNANCE_RISK,AUDITOR_GATE,Auditor resignation RedTeam overlay,GLOBAL,4c_thesis_break,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,hard_redteam_gate,auditor_resignation|redteam_hard_finding,auditor_resignation|stage_green_block,thesis_break,needs_price_backfill,false,"This is a gate case, not a score-weight case."
coreweave_take_or_pay_contract_candidate,NEOCLOUD_GPU_RENTAL,CRWV_TAKEPAY,CoreWeave take-or-pay contract candidate,US,success_candidate,AI_DATA_CENTER_INFRASTRUCTURE,WATCH_YELLOW_FIRST,high_debt_infra,take_or_pay|contracted_backlog|gpu_deployment,debt|customer_concentration,needs_backfill,needs_price_backfill,false,Take-or-pay creates visibility but debt and concentration keep it watch-first.
coreweave_ipo_below_range_price_path_watch,NEOCLOUD_GPU_RENTAL,CRWV_IPO_WATCH,CoreWeave IPO below range price path watch,US,event_premium,AI_DATA_CENTER_INFRASTRUCTURE,WATCH_YELLOW_FIRST,high_debt_infra,ipo_filing|gpu_cloud_contract,funding_cost|ipo_volatility,price_moved_without_evidence,needs_price_backfill,false,IPO pricing and volatility are not proof of durable rerating.
