case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
sk_hynix_hbm_memory_aligned_4b_watch_case,STRUCTURAL_SUCCESS_ALIGNED,000660,SK하이닉스,KR,structural_success,STRUCTURAL_SUCCESS_ALIGNED,GREEN_POSSIBLE,2025-01-01,2026-05-07,2026-05-14,2026-05-14,,hbm_demand|memory_bottleneck|eps_fcf_revision|price_rerating|valuation_frame_change,crowded_4b|capex_expansion|customer_price_resistance,structural_success_aligned_but_4b_watch,needs_price_backfill,false,"HBM/memory rerating is a structural-aligned case, but Round53 flags crowded 4B watch."
hyundai_motor_valueup_strategy_aligned_case,STRUCTURAL_SUCCESS_ALIGNED,005380,현대차,KR,success_candidate,STRUCTURAL_SUCCESS_ALIGNED,GREEN_POSSIBLE,2024-08-28,2024-08-28,,,,hybrid_mix|sales_target_2030|buyback|dividend|fcf_sustainability,tariff_risk|peak_margin|execution_risk,strategy_valueup_aligned_requires_fcf_validation,needs_price_backfill,false,"Value-up plus hybrid strategy can align, but Green still needs FCF and execution evidence."
event_to_contract_escalation_case,EVENT_PREMIUM,EVENT_TO_CONTRACT,event-to-contract reference case,GLOBAL,event_premium,EVENT_PREMIUM,WATCH_YELLOW_FIRST,,,,,,event_news|stockpile_contract|guide_up,one_off_event|repeat_contract_unproven,event_premium_converts_to_stage2_only_after_contract,needs_price_backfill,false,"Disease or disaster news can route attention, but only a contract/order upgrades it."
supermicro_accounting_trust_4c_case,REDTEAM_ACCOUNTING_TRUST_OVERLAY,SMCI,Super Micro Computer,US,4c_thesis_break,REDTEAM_ACCOUNTING_TRUST_OVERLAY,REDTEAM_FIRST,2024-01-01,,,,2024-10-30,ai_server_rerating|prior_price_rally,auditor_resignation|filing_delay|internal_control_issue|related_party_risk|regulatory_probe,early_rerating_success_then_hard_4c,needs_price_backfill,false,Accounting trust failure is a hard RedTeam gate even after a strong AI rerating.
crowdstrike_operational_trust_break_case,OPERATIONAL_TRUST_BREAK,CRWD,CrowdStrike,US,4c_thesis_break,OPERATIONAL_TRUST_BREAK,REDTEAM_FIRST,2024-07-19,,,,2024-07-31,security_platform_growth|large_customer_base,global_outage|customer_damage|customer_lawsuit|trust_damage|renewal_risk,operational_trust_break_4c,needs_price_backfill,false,A security outage can turn a growth story into operational trust RedTeam.
terrausd_luna_algorithmic_stablecoin_break_case,THESIS_BREAK_4C,LUNA,TerraUSD/Luna,CRYPTO,4c_thesis_break,THESIS_BREAK_4C,REDTEAM_FIRST,2022-05-07,,,,2022-05-12,algorithmic_stablecoin_growth|crypto_liquidity,depeg_event|reserve_failure|convertibility_failure|run_risk|fraud_risk,algorithmic_stablecoin_thesis_break,needs_price_backfill,false,Depeg/reserve/convertibility failure is a hard thesis break.
bluebird_bio_approval_commercialization_failure_case,LEVERAGE_FCF_BREAKDOWN,BLUE,bluebird bio,US,4c_thesis_break,LEVERAGE_FCF_BREAKDOWN,REDTEAM_FIRST,,,,,2025-02-21,gene_therapy_approval|rare_disease_treatment,cash_crunch|slow_uptake|reimbursement_uncertainty|take_private_discount,approval_without_commercialization_or_cash_runway,needs_price_backfill,false,Approval alone is not EPS/FCF; commercialization and cash runway must support the case.
novo_nordisk_glp1_4b_to_4c_case,CROWDED_RERATING_4B_WATCH,NOVO,Novo Nordisk,GLOBAL,4c_thesis_break,CROWDED_RERATING_4B_WATCH,WATCH_YELLOW_FIRST,2024-01-01,,,2025-07-29,2026-02-04,glp1_tam|growth_stock_rerating|pricing_power,sales_guide_down|op_guide_down|price_pressure|competition|copycat_risk,crowded_4b_then_4c_when_growth_revision_breaks,needs_price_backfill,false,A crowded growth winner can move from 4B watch to 4C when revisions break.
price_only_theme_rally_case,PRICE_ONLY_RALLY,PRICE_ONLY,price-only theme reference case,GLOBAL,overheat,PRICE_ONLY_RALLY,REDTEAM_FIRST,,,,,,price_spike|theme_news|sns_attention,no_eps_fcf|no_contract|no_revenue|theme_only,price_moved_without_evidence,needs_price_backfill,false,A price-only rally is useful for detection but cannot create Stage 3-Green.
cyclical_success_peak_normalization_case,CYCLICAL_SUCCESS,CYCLE_PEAK,cycle peak reference case,GLOBAL,cyclical_success,CYCLICAL_SUCCESS,WATCH_YELLOW_FIRST,,,,,,freight_or_commodity_peak|eps_spike|margin_peak,normalization_risk|capacity_addition|demand_slowdown,cyclical_success_not_structural_green,needs_price_backfill,false,Cycle wins can be valid but should not be mislabeled as structural Green.
evidence_good_but_price_failed_case,EVIDENCE_GOOD_BUT_PRICE_FAILED,EVIDENCE_PRICE_FAIL,evidence-price mismatch reference case,GLOBAL,failed_rerating,EVIDENCE_GOOD_BUT_PRICE_FAILED,WATCH_YELLOW_FIRST,,,,,,actual_order|eps_revision|solid_report,price_failed|valuation_frame_stuck|liquidity_low,evidence_good_but_price_failed,needs_price_backfill,false,"Good evidence without price-frame validation should recalibrate mispricing, not force Green."
unknown_insufficient_evidence_case,UNKNOWN_INSUFFICIENT_EVIDENCE,UNKNOWN_EVIDENCE,insufficient evidence reference case,GLOBAL,failed_rerating,UNKNOWN_INSUFFICIENT_EVIDENCE,REDTEAM_FIRST,,,,,,single_source_claim,date_unverified|missing_official_confirmation|missing_price_data,unknown_insufficient_evidence,needs_price_backfill,false,Unknown evidence must remain unknown; missing fields are not filled.
financial_reporting_integrity_delay_case,FINANCIAL_REPORTING_INTEGRITY_RISK,REPORT_DELAY,financial reporting delay reference case,GLOBAL,4c_thesis_break,FINANCIAL_REPORTING_INTEGRITY_RISK,REDTEAM_FIRST,,,,,,prior_growth_story,late_filing|material_weakness|qualified_opinion,financial_reporting_integrity_hard_gate,needs_price_backfill,false,Financial-reporting delay and control weakness block evidence confidence.
legal_regulatory_redteam_denial_case,LEGAL_REGULATORY_REDTEAM,REG_DENIAL,legal/regulatory denial reference case,GLOBAL,4c_thesis_break,LEGAL_REGULATORY_REDTEAM,REDTEAM_FIRST,,,,,,approval_or_license_story,regulatory_denial|license_risk|commercialization_blocked,legal_regulatory_redteam_hard_review,needs_price_backfill,false,"Approval, license, and legal scope must be verified before evidence supports Green."
false_positive_score_high_score_failure_case,FALSE_POSITIVE_SCORE,FALSE_SCORE,false positive score reference case,GLOBAL,failed_rerating,FALSE_POSITIVE_SCORE,REDTEAM_FIRST,,,,,,high_keyword_score|thin_proxy_score,no_eps_fcf|price_failed|earnings_failed|redteam_ignored,false_positive_score,needs_price_backfill,false,High score from weak proxies should be treated as calibration failure.
