case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,validation_group,evidence_fields,red_flag_fields,price_validation_status,production_input,notes
us_transformer_shortage_korea_import_success_candidate,GRID_TRANSFORMER_SHORTAGE,GRID_KR_IMPORT,US transformer shortage Korea import success candidate,KR,success_candidate,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,green_possible,transformer_shortage|lead_time_extended|pricing_power,capacity_normalization|project_delay,needs_price_backfill,false,US transformer shortage can support Korean power-equipment suppliers when contracts and revisions appear.
transformer_leadtime_price_increase_success_candidate,GRID_TRANSFORMER_SHORTAGE,TRANS_LEAD,Transformer lead-time and price increase success candidate,GLOBAL,success_candidate,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,green_possible,lead_time_extended|backlog_growth|op_eps_revision,raw_material|low_margin_contract,needs_price_backfill,false,Long lead times and price increases need backlog and margin confirmation.
low_margin_power_equipment_contract_counterexample,GRID_TRANSFORMER_SHORTAGE,GRID_LOWMARGIN,Low-margin power equipment contract counterexample,GLOBAL,failed_rerating,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,green_possible,contract_to_sales,low_margin_contract|margin_compression,needs_price_backfill,false,Large power-equipment contract is weak if margin is low.
datacenter_project_delay_transformer_4c,GRID_TRANSFORMER_SHORTAGE,GRID_DELAY_4C,Datacenter project delay transformer 4C,GLOBAL,4c_thesis_break,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,green_possible,ai_datacenter_power,datacenter_project_delay|order_cancel,needs_price_backfill,false,Data-center project delay can break transformer order visibility.
zoetis_bird_flu_vaccine_conditional_approval_candidate,ANIMAL_HEALTH_BIOSECURITY,ZTS_BIRD,Zoetis bird-flu vaccine conditional approval candidate,US,success_candidate,ONE_OFF_EVENT_DEMAND,WATCH_YELLOW_FIRST,cycle_event,conditional_vaccine_approval|government_stockpile,policy_uncertainty|disease_normalization,needs_price_backfill,false,"Conditional vaccine approval is Stage 1-2, not Green without recurring use."
hpai_poultry_event_oneoff_counterexample,ANIMAL_HEALTH_BIOSECURITY,HPAI_ONEOFF,HPAI poultry event one-off counterexample,GLOBAL,one_off,ONE_OFF_EVENT_DEMAND,WATCH_YELLOW_FIRST,cycle_event,animal_disease_event|bird_flu,disease_event_normalization|disease_control,needs_price_backfill,false,Disease events can normalize quickly and should not be extrapolated.
animal_vaccine_stockpile_candidate,ANIMAL_HEALTH_BIOSECURITY,ANIMAL_STOCK,Animal vaccine stockpile candidate,GLOBAL,success_candidate,ONE_OFF_EVENT_DEMAND,WATCH_YELLOW_FIRST,cycle_event,government_stockpile|repeat_vaccination,policy_nonuse|stockpile_cancellation,needs_price_backfill,false,Government stockpile and repeat vaccination can support Watch-to-Green.
disease_control_normalization_counterexample,ANIMAL_HEALTH_BIOSECURITY,DISEASE_NORM,Disease control normalization counterexample,GLOBAL,failed_rerating,ONE_OFF_EVENT_DEMAND,WATCH_YELLOW_FIRST,cycle_event,asf|bird_flu,disease_normalization|sales_reversal,needs_price_backfill,false,Disease control can erase event-driven demand.
teladoc_betterhelp_cac_impairment_4c,TELEHEALTH_BEHAVIORAL_HEALTH,TDOC_BH_4C,Teladoc BetterHelp CAC impairment 4C,US,4c_thesis_break,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_to_green,behavioral_health_platform|dtc_healthcare,impairment|cac_spike,needs_price_backfill,false,High CAC and impairment can break telehealth growth narratives.
employer_insurance_telehealth_contract_candidate,TELEHEALTH_BEHAVIORAL_HEALTH,TEL_B2B,Employer insurance telehealth contract candidate,US,success_candidate,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_to_green,employer_or_insurance_contract|repeat_usage,reimbursement|churn,needs_price_backfill,false,B2B/B2B2C telehealth contracts are stronger than DTC ads.
