target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop2_penalty_axes,production_scoring_changed
AUTO_MOBILITY_COMPLETED_VEHICLE,hybrid_demand|ev_slowdown_response|shareholder_return_policy|local_production_plan,sales_target|op_margin_target|buyback_or_dividend|fcf_margin|roe_pbr_rerating,durable_fcf|high_margin_mix|shareholder_return_execution|old_auto_discount_removed,valueup_narrative_crowded|hybrid_story_fully_priced|peak_margin_ignored,tariff_hit|op_margin_cut|recall_cost|peak_margin_reversal|demand_slowdown,tariff|op_margin_cut|recall|peak_margin|local_production_capex,tariff|opm_cut|recall|peak_margin,false
AUTO_MOBILITY_COMPONENTS,hybrid_component_demand|electronics_component|lighting_or_adas_demand,customer_delivery|component_bottleneck|customer_diversification|opm_improvement|cost_pass_through,high_value_mix|repeat_program_visibility|fcf_improvement|quality_cost_low,hybrid_component_bottleneck_crowded|component_group_multiple_expansion,customer_concentration|raw_material_cost_spike|bottleneck_normalization|quality_cost,customer_concentration|raw_material|quality_cost|bottleneck_normalization,customer_concentration|raw_material|bottleneck_normalization,false
AUTO_COMPONENTS_EV_ADAS,adas_adoption|sensor_or_camera_order|ev_component_demand,actual_adoption|customer_diversification|development_cost_control,content_per_vehicle_growth|multi_customer_program|op_eps_revision,adas_theme_crowded,actual_adoption_missing|customer_concentration|development_cost|program_delay,actual_adoption_missing|customer_concentration|development_cost,actual_adoption|development_cost|single_customer,false
TIRE_AUTO_COMPONENT_SPREAD,tire_demand_recovery|raw_material_spread|replacement_market,oe_re_mix|north_america_demand_stable|op_eps_revision|fcf_margin,spread_fcf_persistent|replacement_demand_resilient|china_competition_controlled,spread_peak_ignored,north_america_demand_slowdown|replacement_market_weakness|raw_material_spike|tariff_hit|fcf_guidance_cut,north_america_demand|raw_material|tariff|fcf_guidance_cut,north_america_demand|raw_material|tariff|fcf,false
AIRLINE_TRAVEL_CYCLE,passenger_recovery|cargo_rate|airline_merger|reopening_news,revenue_op_improvement|integration_synergy|passenger_cargo_mix|load_factor,fcf_cost_stability|fuel_fx_risk_low|integration_cost_controlled,integration_or_reopening_crowded|cargo_cycle_ignored,fuel_shock|fx_loss|integration_cost|cargo_passenger_slowdown|tariff_trade_uncertainty,fuel|fx|integration_cost|cargo_cycle|regulatory_condition,fuel|fx|integration|cargo_cycle,false
TRAVEL_LEISURE_REOPENING,tourist_recovery|hotel_occupancy|leisure_reopening,revpar_improvement|op_leverage|visitor_spend|average_spend_per_visitor,repeat_travel_spend|occupancy_and_margin_visible|revpar_persistent,reopening_policy_crowded,visitor_mix_weak|occupancy_slowdown|cost_inflation|policy_event_only,tourist_mix|policy_event_only|cost_inflation|occupancy_slowdown,tourist_mix|occupancy|policy_event,false
CASINO_DUTYFREE_TOURISM,visa_policy|china_group_tourism|casino_dutyfree_recovery,tourist_spend|casino_drop_amount|duty_free_sales|hotel_occupancy|vip_mix,visitor_mix_diversified|china_dependence_lower|cashflow_margin_visible,tourism_policy_rally_crowded|spend_unverified_policy_rally,drop_slowdown|duty_free_asp_weak|china_mix_weak|capex_burden,china_dependence|drop_amount|duty_free_asp|policy_event_only,china_dependence|drop_amount|dutyfree_asp,false
SHIPPING_FREIGHT_CYCLE,freight_rate_spike|red_sea_disruption|capacity_adjustment,freight_rate_index|ebitda_improvement|cash_or_dividend,multi_year_supply_discipline|contract_rate_visibility,freight_peak|shipping_stock_crowded|red_sea_premium_overpriced,freight_rate_collapse|spot_rate_below_breakeven|overcapacity|new_ship_delivery|suez_route_normalization,overcapacity|freight_peak|demand_slowdown|route_normalization,overcapacity|freight_peak|suez_normalization,false
LOGISTICS_PARCEL_FREIGHT,parcel_volume|freight_volume|network_efficiency,unit_price_stable|labor_cost_control|opm_improvement|automation_cost_payback,network_density_advantage|recurring_shipper_contract,logistics_efficiency_crowded,unit_price_pressure|labor_cost_spike|volume_slowdown|automation_cost_overrun,unit_price_pressure|labor_cost|volume_slowdown,unit_price|labor_cost|volume,false
RENTAL_USED_CAR_MOBILITY,rental_demand|used_car_price|fleet_strategy|ev_fleet_strategy,fleet_margin|residual_value_stable|repair_cost_control|utilization_rate,asset_turnover_and_fcf|residual_value_resilient|repair_cost_stable,fleet_strategy_crowded,residual_value_drop|repair_cost_spike|insurance_cost|fleet_writedown|low_customer_demand,residual_value|repair_cost|interest_rate|fleet_writedown,residual_value|repair_cost|interest|ev_fleet,false
MOBILITY_RENTAL_MICROMOBILITY,ipo_filing|city_expansion|ridership_growth,revenue_growth|fcf_positive|unit_economics|utilization_rate,recurring_usage|debt_stability|regulatory_risk_controlled|platform_partner_risk_low,ipo_valuation_crowded,debt_maturity|going_concern|regulatory_restriction|seasonality_loss|platform_partner_dependency,unit_economics|debt|regulation|seasonality|uber_dependency,debt|seasonality|uber_dependency|unit_economics,false
URBAN_AIR_DRONE,part135|strategic_investment|evtol_policy|drone_theme,type_certification|production_certification|commercial_operation|customer_contract,commercial_revenue|unit_economics|cash_runway_secure,pre_revenue_valuation_crowded|certification_story_overpriced,certification_delay|cash_burn|discounted_offering|production_delay|pre_revenue_valuation,certification|cash_burn|dilution|pre_revenue|discounted_offering,certification|cash_burn|dilution|pre_revenue,false
