target_id,stage1,stage2,stage3,stage4b,stage4c,hard_gate,production_scoring_changed
STRUCTURAL_SUCCESS_ALIGNED,industry_structure_change|official_disclosure_or_report|price_attention,contract_order_revenue_or_revision|eps_fcf_bodyweight_change|cross_evidence,medium_term_eps_fcf_revision|valuation_frame_change|price_path_aligned|no_hard_redteam,crowded_new_frame|valuation_saturation|revision_slowdown,hard_redteam|eps_fcf_revision_down|thesis_break,false,false
STRUCTURAL_SUCCESS_BUT_4B_WATCH,large_12m_24m_return|universally_bullish_reports|target_multiple_expansion,valuation_band_saturated|new_frame_widely_accepted|revision_still_positive,fundamentals_intact_but_mispricing_reduced,4b_watch|4b_elevated|4b_graduated|crowded_new_frame,revision_down|demand_slowdown|capex_overbuild|margin_peak,false,false
STAGE2_EVIDENCE_NOT_GREEN,customer_or_contract_visible|approval_or_budget_visible|order_or_arr_visible,binding_contract|customer|prescription_volume|arr_billings|government_order|tenant_lease,eps_fcf_conversion|repeatability_confirmed|price_path_aligned|redteam_clean,stage2_story_crowded_before_earnings|valuation_premium_without_conversion,no_eps_fcf_conversion|price_path_failed|detail_missing|stage3_green_evidence_missing|hard_redteam,false,false
SECTOR_SUCCESS_BUT_POLICY_SHOCK_WATCH,sector_success|crowded_theme|policy_comment|market_wide_selloff,company_eps_impact_check|government_clarification|price_path_retest,fundamentals_intact_but_policy_risk_premium_changed,policy_shock_4b_watch|crowded_trade_unwind|valuation_risk_premium_spike,policy_market_shock|tax_or_redistribution_comment|market_wide_selloff|price_path_break,false,false
PRICE_ONLY_RALLY,price_spike|sns_theme|headline_without_numbers,no_eps_revision|no_contract_or_revenue|no_disclosure_support,not_green_without_eps_fcf_and_cross_evidence,price_only_4b_watch|retail_crowding,price_reversal|theme_fade|no_revenue_conversion,false,false
EVENT_PREMIUM,tender_offer|control_battle|policy_announcement|mou|disaster_or_disease_event,binding_contract|funded_budget|actual_order|guide_up,repeat_contract_or_revenue_plus_eps_fcf,event_premium_crowded|expected_deal_priced,event_fade|deal_failure|budget_missing|one_off_demand_normalization,false,false
EVENT_TO_CONTRACT_ESCALATION,event_news|policy_or_disease_or_rebuild_trigger|mou_or_expectation,government_order|stockpile|funded_budget|financing|binding_contract|guide_up,repeat_contract|revenue_guidance_or_eps_revision|cross_evidence,event_crowded_before_contract,budget_missing|contract_cancelled|one_off_normalization,false,false
CYCLICAL_SUCCESS,freight_rate_spike|commodity_spread|refining_margin|livestock_price,op_eps_spike|cost_spread_confirmed|cash_generation,cycle_durability_and_supply_discipline_required,cycle_peak_crowded|spot_price_peak,spread_reversal|freight_rate_crash|inventory_build|capacity_addition,false,false
FALSE_POSITIVE_SCORE,high_score_without_actual_evidence|proxy_score_overfit,earnings_miss|no_price_validation|redteam_ignored,not_applicable_until_score_axis_fixed,false_positive_crowding,price_failed|earnings_failed|audit_or_redteam_ignored,false,false
EVIDENCE_GOOD_BUT_PRICE_FAILED,strong_disclosure|solid_report|eps_revision,no_rerating|price_underperforms_peer|liquidity_or_frame_stuck,requires_mispricing_diagnosis_not_green_promotion,market_frame_not_changed,evidence_not_monetized|valuation_frame_stuck|price_below_stage3,false,false
REDTEAM_ACCOUNTING_TRUST_OVERLAY,auditor_resignation|filing_delay|internal_control_issue,financial_restatement|related_party_risk|regulatory_probe,not_applicable_until_trust_restored,accounting_risk_ignored_during_rerating,auditor_resignation|filing_delay|internal_control_weakness|restatement|probe,true,false
OPERATIONAL_TRUST_BREAK,security_outage|privacy_breach|customer_damage|platform_safety_incident,customer_lawsuit|renewal_risk|service_level_break,trust_restoration_and_retention_required,trust_break_ignored_by_growth_story,customer_churn|lawsuit_damage|renewal_decline|brand_trust_loss,true,false
LEGAL_REGULATORY_REDTEAM,lawsuit|regulatory_probe|license_risk|approval_denial,fine_or_restriction|commercialization_blocked|export_approval_issue,not_green_until_legal_scope_resolved,legal_risk_ignored_by_rally,approval_denial|license_revocation|injunction|regulatory_sanction,true,false
LEVERAGE_FCF_BREAKDOWN,negative_fcf|cash_runway_short|refinancing_need|high_debt_to_ebitda,dividend_cut|buyback_cancelled|distressed_financing|take_private_discount,not_green_without_fcf_and_balance_sheet_repair,growth_story_ignores_funding_need,cash_runway_collapse|going_concern|refinancing_failure|dilution,true,false
