case_id,detected_stage,price_path_status,verdict,normalization_adjustment,production_scoring_changed
samsung_life_insurance_nav_valueup_stage23_case,Stage 2 -> Stage 3 candidate,"NAV discount is visible, but K-ICS, CSM, return execution, ROE, and 60D MFE need backfill",stage2_to_stage3_if_capital_return_and_pbr_align,credit NAV; cap before insurance capital and return execution,false
meritz_financial_shareholder_return_stage23_case,Stage 2 -> Stage 3 candidate,"Return policy is visible, but repeated cancellation, ROE, capital ratio, and credit cost need backfill",stage2_to_stage3_if_repeat_return_and_capital_align,credit return execution; require capital/credit stability,false
hana_financial_dunamu_equity_option_stage2_case,Stage 2,"Dunamu stake value is real optionality, but equity-method income and security/regulation gate Stage 3",digital_asset_stake_stage2_not_green,credit stake value; cap before income and security proof,false
toss_facepay_payment_biometric_stage2_case,Stage 2 option,"Users and merchants are visible, but take-rate, transaction volume, listed-stock link, and privacy controls need backfill",facepay_stage2_until_economics,credit infrastructure scale; require economics and privacy,false
nice_credit_information_recurring_data_stage23_case,Stage 2 -> Stage 3 candidate,"Recurring data is plausible, but revenue growth, OPM/EPS, and security need backfill",stage2_to_stage3_if_recurring_revenue_aligns,credit recurring data; require growth and trust,false
krw_stablecoin_policy_theme_4b_watch_case,Stage 2 -> 4B-watch,"Theme stocks moved before issuance, reserve income, or take-rate proof",stablecoin_theme_requires_4b_watch,cool price-only stablecoin rallies,false
kakaopay_privacy_regulatory_4c_watch_case,4C-watch,Privacy fine and consent issues can break payment-platform trust,privacy_regulatory_hard_gate,block Green until regulator and trust issues clear,false
samsung_electronics_buyback_execution_price_failed_case,Failed rerating,"Buyback cancellation happened, but same-day price failure shows operating concern dominated",buyback_execution_price_failed,cap buyback signal until EPS/ROE/FCF and price path confirm,false
policy_tax_reversal_market_shock_4c_watch_case,4C-watch,Tax reversal can shock the value-up basket,policy_tax_hard_gate,block basket Green until policy and company execution are clear,false
securities_brokerage_market_beta_cycle_case,Cyclical Stage 2,"Brokerage beta can work with trading value, but it is cyclical without fee/IB/capital quality",market_beta_cycle_not_structural_green,cap brokerage beta before durable earnings proof,false
stablecoin_related_stock_price_only_rally_case,4B-watch,price-only move on stablecoin policy before direct revenue model,price_only_theme_4b_watch,cool until issuance/reserve/take-rate fields exist,false
digital_asset_exchange_security_incident_4c_reference_case,4C-watch,Exchange security incidents can invalidate digital-asset equity optionality,security_incident_hard_gate,block until customer and regulator resolution,false
r6_loop12_disclosure_confidence_reference_case,Confidence cap,"List/media financial keywords lack return, capital, revenue, security, and price detail",detail_confidence_cap,require verified financial and digital-finance details,false
