target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop11_penalty_axes,gate_only,production_scoring_changed
SC_FORMULATION_ROYALTY_PLATFORM,sc_formulation_platform|alt_b4_enzyme|blockbuster_patent_cliff,fda_approval|big_pharma_partner|adoption_target|enzyme_use_confirmed,royalty_revenue|enzyme_supply_revenue|commercial_sales|op_eps_revision|actual_adoption,stock_rerating_before_royalty|approval_name_driven_rally|valuation_expands_before_revenue,patent_challenge|launch_delay|royalty_rate_dispute|adoption_shortfall,patent_challenge|royalty_rate_missing|adoption_missing|approval_already_priced,patent|royalty_missing|adoption_missing|valuation_4b,false,false
BLOCKBUSTER_LIFE_EXTENSION_ROYALTY,blockbuster_patent_cliff|life_extension_formulation|patient_convenience,partner_launch_plan|adoption_target|territory_confirmed|royalty_structure,blockbuster_conversion_rate|royalty_revenue_recognition|eps_revision|repeat_dosing_adoption,blockbuster_story_overcrowded|conversion_priced_before_royalty,originator_strategy_changes|patent_loss|adoption_rate_low|payer_resistance,royalty_revenue_not_backfilled|adoption_missing|patent_overhang|payer_resistance,adoption|payer|patent|valuation_4b,false,false
KOREA_ONCOLOGY_DRUG_COMMERCIALIZATION,oncology_trial_success|partner_name|first_line_expectation,fda_approval|partner_launch_plan|peak_sales_expectation|commercial_launch,scripts|royalty_revenue|pbm_access|market_share|op_eps_revision,peak_sales_story_priced_before_scripts|partner_name_2x,scripts_weak|reimbursement_failure|safety_warning|competing_standard_of_care,scripts_missing|pbm_access_missing|royalty_missing|competition,scripts|pbm|competition|safety,false,false
BIOSIMILAR_TARIFF_HEDGE_MANUFACTURING,us_factory_acquisition|tariff_hedge_story|biosimilar_launch_plan,facility_acquisition|technology_transfer_plan|us_manufacturing|capex_plan,facility_utilization|us_sales|pbm_formulary|opm_fcf_improvement,factory_optional_value_priced_before_utilization,facility_underutilization|tech_transfer_delay|tariff_policy_changes|pbm_access_failure,utilization_missing|pbm_formulary_missing|tech_transfer_risk|capex_integration_risk,utilization|pbm|tech_transfer|capex,false,false
BIOSIMILAR_COMMERCIALIZATION_KOREA,approval_expectation|partner_agreement|biosimilar_label,approval|partner|launch_schedule|territory,prescription_volume|pbm_formulary|commercial_sales|margin|op_eps_revision,approval_priced_before_switching,patent_litigation|launch_delay|pbm_rebate_pressure|margin_compression,commercial_sales_missing|pbm_missing|patent_overhang|margin_compression,patent|launch|pbm|margin,false,false
BOTULINUM_US_MARKET_ENTRY,us_launch_news|fda_approval_expectation|botulinum_aesthetic_theme,fda_approval|us_launch|licensed_channel|selling_country_count,us_sales|market_share|repeat_aesthetic_procedure|op_eps_revision|safety_clean,us_entry_story_priced_before_penetration,safety_warning|counterfeit_or_off_label|licensed_channel_failure|competition_discount,us_sales_missing|market_share_missing|safety_warning|licensed_channel_safety_risk,safety|channel|competition|penetration_missing,false,false
AESTHETIC_DEVICE_EXPORT_KOREA,aesthetic_device_export|global_channel|installed_base_story,selling_country_count|device_sales_growth|installed_base|regulatory_approval,consumable_revenue|procedure_volume|export_sales|opm_fcf|channel_repeat_order,device_multiple_expands_before_consumables,safety_issue|channel_inventory|bain_overhang|consumable_attach_rate_weak,consumable_data_missing|safety_issue|channel_inventory|valuation_overheat,consumable_missing|safety|inventory|valuation,false,false
BIOTECH_LICENSE_MILESTONE_PLATFORM,license_expectation|platform_biology|big_pharma_interest,big_pharma_partner|upfront_or_milestone|research_deal|clinical_transition,milestone_receipt|royalty_visibility|clinical_progress|cash_runway_extended,partner_name_rerating_before_milestone,trial_failure|milestone_delay|cash_runway_short|dilution,milestone_detail_needed|clinical_progress_missing|royalty_not_visible|cash_runway_short,milestone_missing|clinical|cash|dilution,false,false
GLP1_GENERIC_THEME_KOREA,glp1_generic_theme|oral_semaglutide_story|bioequivalence,partner_agreement|approval|territory|launch_claim,commercial_sales|prescription_volume|patent_clearance|margin,glp1_theme_crowded|launch_claim_priced_before_patent_clearance,patent_overhang|regulatory_delay|commercial_sales_missing|margin_compression,patent_overhang|launch_claim_overstated_risk|commercial_sales_missing|hype_communication_risk,patent|regulatory|commercial_sales_missing|theme_crowding,true,false
MEDICAL_AI_REIMBURSEMENT_KOREA,medical_ai_keyword|fda_clearance|auc_external_validation|hospital_pilot,hospital_adoption|reimbursement_code|paid_deployment|workflow_integration,reimbursement_revenue|recurring_saas_revenue|repeat_hospital_usage|op_eps_revision,medical_ai_theme_crowded|auc_paper_priced_before_revenue,reimbursement_absent|revenue_absent|subgroup_performance_issue|liability_or_privacy_issue|cash_burn,reimbursement_missing|paid_deployment_missing|revenue_missing|cash_burn,reimbursement|paid_deployment|revenue|cash_burn,false,false
