sub_archetype,large_sector,canonical_archetype,posture,theme_tags,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,must_have_evidence,red_flags,success_candidates,counterexamples,theme_is_score_input,production_scoring_changed,normalization_point
RETAIL_CONVENIENCE_OFFLINE,CONSUMER_RETAIL_BRAND,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,편의점|홈쇼핑|음식료-유통|콜드체인|키즈/유아용품,18,16,5,14,14,3,5,same_store_sales_recovery|store_expansion|pb_high_margin_mix|listing_or_stake_event,opm_improvement|inventory_normalization|cost_leverage|fy1_fy2_op_revision,store_efficiency_change|repeat_logistics_revenue|fcf_improvement|old_domestic_retail_frame,consumption_recovery_fully_priced|store_growth_limit|rent_wage_pressure,inventory_increase|online_competition|consumer_slowdown|logistics_cost_up,opm_improvement|fcf_improvement|unit_economics|inventory_turnover,traffic_only|listing_event_only|delivery_cost_pressure|online_margin_pressure,convenience_store_efficiency_success_candidate|cold_chain_repeat_logistics_candidate,home_shopping_margin_decline_counterexample|fresh_ecommerce_loss_counterexample,false,false,"Retail can be Green-eligible only when sales translate into OPM and FCF, not traffic alone."
INSURANCE_UNDERWRITING_CYCLE,FINANCIAL_CAPITAL_DIGITAL,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,손해보험|생명보험|화재|고배당주|밸류업 지수,15,20,5,15,25,10,5,valueup_disclosure|buyback_or_dividend|low_pbr|loss_ratio_improvement_news,roe_improvement|csm_growth|capital_ratio_stable|return_policy_execution,pbr_roe_frame_change|repeat_return_policy|stable_loss_ratio|value_trap_frame_still_used,pbr_roe_gap_normalized|valueup_success_consensus_crowded,loss_ratio_worsens|credit_cost_up|capital_ratio_down|return_policy_retreat,loss_ratio_improvement|csm_growth|capital_ratio|shareholder_return_execution,low_pbr_only|weak_capital_ratio|credit_cost|return_policy_headline_only,nonlife_insurance_loss_ratio_success_candidate|life_insurance_csm_candidate,low_pbr_no_roe_value_trap|pf_credit_cost_financial,false,false,Insurance weights must emphasize ROE-PBR-capital-return alignment over headline dividend yield.
PAYMENT_FINTECH_INFRA,FINANCIAL_CAPITAL_DIGITAL,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,결제서비스|토스 관련주|지역화폐|신용정보|STO,16,18,8,16,12,3,5,regulation_news|business_launch|bank_or_fintech_partnership,license_or_issuance|transaction_volume|fee_model|institutional_adoption,payment_custody_settlement_infra|low_regulatory_risk|fcf_opm_improvement|theme_frame_remains,regulation_expectation_overheated|related_stock_rally_without_revenue,regulation_denied_or_delayed|security_issue|volume_absent|no_revenue_model,regulation_approval|transaction_volume|take_rate|fee_model|recurring_revenue,law_delay|security_issue|no_revenue|adoption_absent,stablecoin_payment_infra_candidate|sto_platform_candidate,sto_law_expectation_only_counterexample|payment_theme_no_fee_model,false,false,"Digital finance requires regulation, real volume, and fee economics before Stage 2-plus conviction."
DIGITAL_ASSET_TOKENIZATION,FINANCIAL_CAPITAL_DIGITAL,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,스테이블코인|디지털자산|블록체인|NFT|코인 테마,10,8,5,8,5,0,5,law_headline|token_business_announcement|crypto_theme_search_spike,regulated_issuance|custody_or_brokerage_fee|institutional_adoption,regulated_revenue|issued_volume|cash_flow|low_security_regulatory_risk,law_expectation_crowding|crypto_theme_price_run,regulation_crackdown|security_issue|volume_absent|relatedness_unclear,regulated_revenue|issued_volume|institutional_adoption|cash_flow,theme_only_tokenization|law_delay|no_regulated_revenue|security_issue,crypto_theme_no_revenue_counterexample|regulation_crackdown_4c,nft_theme_overheat_counterexample|pure_coin_theme_no_cashflow,false,false,"Tokenization is RedTeam-first; legal headlines are search signals, not EPS/FCF evidence."
BEAUTY_OEM_ODM_SUPPLYCHAIN,CONSUMER_RETAIL_BRAND,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,화장품 OEM|화장품 ODM|화장품 원재료|화장품 부자재|K뷰티,22,23,12,16,13,0,5,us_japan_export_growth|kbeauty_viral|odm_order_increase,fy1_fy2_op_eps_revision|opm_roe_improvement|customer_diversification|channel_expansion,repeat_orders|offline_major_retail_entry|clean_working_capital|china_frame_removed,kbeauty_overcrowding|target_multiple_saturated|competitive_brand_proliferation,sell_through_slowdown|inventory_increase|receivables_spike|tariff_regulation_hit,export_growth|customer_diversification|opm_roe_improvement|working_capital_clean,china_dependency|viral_only_brand|channel_stuffing|receivables_spike,kbeauty_oem_odm_success_candidate|silicontwo_distribution_candidate|apr_device_channel_candidate,channel_stuffing_receivables_4c|china_dependency_cosmetics_counterexample,false,false,K-beauty supply chain can earn Green only with repeat orders and clean inventory/receivables.
BATTERY_RECYCLING_ESS_SHIFT,BATTERY_EV_GREEN,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,2차전지 소재|폐배터리|전고체 배터리|리튬|ESS|전기차 화재,20,16,14,10,10,0,5,long_term_contract|capex_expansion|ev_or_ess_demand_news,margin_and_price_improve|customer_contract_quality|capex_without_fcf_damage|ess_revenue_conversion,long_contract|price_pass_through|sustained_demand|valuation_room,price_runup|crowding|per_pbr_overheat|revision_slowdown,ev_demand_slows|mineral_price_down|utilization_down|capex_overbuild,ess_demand|recycling_volume|utilization_improvement|fcf_after_capex,ev_headline_only|mineral_price_dependency|recycling_volume_absent|margin_unclear,ess_shift_battery_candidate|battery_recycling_volume_candidate,ecopro_bm_overheat_counterexample|battery_capa_overbuild|solid_state_theme_no_revenue,false,false,Battery remains Green-restricted; ESS/recycling are watch paths until utilization and FCF are proven.
HYDROGEN_FUEL_CELL_INFRA,BATTERY_EV_GREEN,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,수소차 연료전지|수소차 인프라|수소차 기타부품|LNG 발전유통,18,18,12,12,10,0,5,policy_subsidy|factory_groundbreaking|hydrogen_capex|order_news,actual_contract|utilization|op_eps_revision|subsidy_and_profitability_confirmed,multi_year_demand|fixed_customer_or_government_demand|low_policy_risk|cost_competitiveness,policy_expectation_overheated|subsidy_benefit_fully_priced|capex_burden_visible,subsidy_cut|utilization_down|project_delay|cost_curve_failure,actual_capex|production_capacity|customer_demand|op_eps_conversion,policy_only|no_customer|no_revenue|utilization_down,hydrogen_fuel_cell_plant_candidate|fuel_cell_service_revenue_candidate,hydrogen_theme_no_revenue_counterexample|subsidy_cut_4c,false,false,"Hydrogen needs customers, utilization, and OP/EPS conversion; policy enthusiasm is not enough."
RENEWABLE_ENERGY_POLICY,BATTERY_EV_GREEN,UTILITIES_REGULATED_TARIFF,WATCH_YELLOW_FIRST,태양광|풍력|탄소배출권|스마트그리드|ESS/BESS,18,18,12,12,10,0,5,policy_subsidy|renewable_capex|project_start|order_news,actual_contract_or_utilization|op_eps_revision|margin_support,multi_year_project_backlog|low_policy_risk|cost_competitiveness|customer_or_government_demand,policy_premium_crowded|subsidy_benefit_fully_priced|capex_burden_visible,subsidy_cut|tariff_or_customs_issue|supply_chain_disruption|project_delay,project_backlog|policy_support|utilization|margin_visibility,policy_dependency|module_oversupply|tariff_risk|subsidy_cut,renewable_project_economics_candidate|ai_dc_bess_stability_candidate,solar_tariff_supplychain_4c|wind_project_delay_counterexample,false,false,"Renewables are Watch/Yellow until project economics, utilization, and margins are visible."
TIRE_AUTO_COMPONENT_SPREAD,MOBILITY_TRANSPORT_LEISURE,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,타이어|현대·기아차 부품주|자동차 경량화|자율주행|카메라,20,18,10,14,14,3,5,completed_vehicle_sales|asp_increase|customer_order,opm_improvement|raw_material_stable|customer_diversification|fy1_fy2_op_revision,high_margin_mix_shift|adas_ev_exposure|repeat_supply_visibility|valuation_discount_removed,peak_margin|auto_cycle_peak|valuation_normalized,raw_material_spike|factory_disruption|customer_demand_slowdown|recall_quality_cost,customer_diversification|opm_improvement|raw_material_spread|repeat_supply_visibility,single_customer_dependency|ev_demand_slowdown|factory_fire|recall_quality_cost,tire_spread_success_candidate|adas_component_customer_diversification_candidate,factory_fire_4c_counterexample|ev_demand_slowdown_component,false,false,"Auto parts need customer diversification and raw-material spread, not auto theme exposure alone."
CDMO_HEALTHCARE_CONTRACT,BIOTECH_HEALTHCARE_DEVICE,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,CMO|원료의약품|바이오시밀러|CRO|임상시험수탁,20,24,12,12,12,0,5,large_production_contract|capacity_expansion|global_manufacturing_site,utilization_up|sales_op_revision|long_term_contract|customer_diversification,multi_year_production_visibility|high_fcf_conversion|contract_utilization_margin_improve|bio_fixed_cost_discount_frame,capacity_expectation_overheated|valuation_saturated|new_plant_fully_priced,utilization_down|contract_delay|patent_litigation|price_competition,multi_year_production_visibility|capacity_utilization|customer_diversification|fcf_conversion,capacity_overbuild|customer_concentration|litigation|price_competition,samsung_biologics_cdmo_capacity_candidate|celltrion_biosimilar_revenue_candidate,cdmo_capacity_underutilization|patent_litigation_delay_counterexample,false,false,"CDMO is contract/capacity/utilization scoring, not pre-revenue biotech scoring."
