target_id,large_sector,canonical_archetype,posture,roe_eps_fcf,capital_return_execution,capital_ratio_credit_cost,regulatory_revenue_visibility,early_price_validation,governance_disclosure,valuation_4b_room,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop11_penalty_axes,hard_gate,production_scoring_changed,normalization_point
BANK_HOLDING_VALUEUP_CAPITAL_RETURN_KOREA,FINANCIAL_CAPITAL_DIGITAL,BANK_HOLDING_VALUEUP_CAPITAL_RETURN_KOREA,GREEN_POSSIBLE,23,20,20,8,10,11,8,bank_low_pbr|korea_discount|valueup_policy|buyback_or_dividend_expectation,net_profit_growth|shareholder_return_execution|cet1_stable|credit_cost_stable|pbr_roe_band_watch,roe_stable_or_improving|repeat_return_policy|cet1_after_return_stable|credit_cost_pf_controlled|pbr_roe_band_change,bank_valueup_crowded|pbr_band_above_history|return_policy_fully_priced,credit_cost_spike|pf_loss|cet1_deterioration|return_policy_retreat,roe|net_profit_growth|cet1_ratio|credit_cost|shareholder_return_execution|pbr_roe_band_change,low_pbr_only|credit_cost|pf_exposure|cet1_deterioration|return_policy_failure,credit_cost|cet1|pf_exposure|return_execution|valueup_crowding,false,false,KB/Shinhan/Hana/Woori-style financial holdings can be Green-capable only when return execution and capital quality confirm the rerating.
BANK_ROE_PBR_RERATING_KOREA,FINANCIAL_CAPITAL_DIGITAL,BANK_ROE_PBR_RERATING_KOREA,GREEN_POSSIBLE,24,18,18,8,10,10,12,low_pbr_bank_leader|financial_valueup_rally|foreign_inflow,roe_improves|record_net_profit|actual_cancel_or_dividend|pbr_band_starts_up,roe_pbr_frame_change|credit_cost_stable|repeat_capital_return|financial_basket_relative_strength,pbr_band_upper_break|leader_stock_everyone_knows|return_execution_fully_priced,roe_down|pbr_rerating_reverses|credit_cost_spike|capital_ratio_hit,roe|pbr_band_change|credit_cost|repeat_capital_return|relative_strength,pbr_rerating_without_roe|credit_cost|capital_ratio_hit|crowded_valueup,roe_quality|credit_cost|pbr_crowding,false,false,"KB/Shinhan-style Stage 3 candidate path focuses on ROE/PBR band change and repeat return, not low PBR alone."
BANK_CREDIT_COST_PF_OVERLAY,FINANCIAL_CAPITAL_DIGITAL,BANK_CREDIT_COST_PF_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,pf_exposure_watch|real_estate_credit_risk|reserve_build,credit_cost_stable|pf_reserve_adequate,not_green_if_credit_cost_spikes,financial_rally_ignores_pf,pf_credit_cost_spike|reserve_shortfall|capital_raise_pressure|return_policy_cut,,pf_exposure|credit_cost_spike|reserve_shortfall|capital_raise_pressure|return_policy_cut,pf_exposure|credit_cost|reserve|capital_ratio,true,false,PF and credit-cost issues are hard RedTeam gates across bank and securities candidates.
REGIONAL_BANK_HIGH_ROE_VALUEUP,FINANCIAL_CAPITAL_DIGITAL,REGIONAL_BANK_HIGH_ROE_VALUEUP,GREEN_POSSIBLE,22,18,20,6,10,10,8,regional_bank_low_pbr|high_dividend|activist_pressure,high_roe|dividend_policy|regional_credit_quality|southeast_asia_subsidiary,credit_cost_stable|repeat_dividend_or_cancel|pbr_band_up|liquidity_discount_eases,small_financial_valueup_basket_spike|trading_value_thin,regional_credit_quality_worse|liquidity_gap|dividend_cut,high_roe|credit_cost_stable|dividend_policy|pbr_band_change|liquidity_discount_eases,regional_credit_risk|liquidity_discount|dividend_sustainability_unknown,credit_quality|liquidity|dividend_sustainability,false,false,JB/BNK/DGB-style regional banks can reach Stage 2/3 but liquidity and regional credit risk cap the score.
INSURANCE_CAPITAL_RELEASE_VALUEUP_KOREA,FINANCIAL_CAPITAL_DIGITAL,INSURANCE_CAPITAL_RELEASE_VALUEUP_KOREA,GREEN_POSSIBLE,22,18,20,6,10,10,8,insurance_valueup|dividend_expectation|capital_release,k_ics_stable|csm_quality|loss_ratio_stable|dividend_or_buyback_execution,capital_release_repeatable|roe_improves|k_ics_after_return_stable|csm_margin_quality,insurance_dividend_yield_chasing|kics_csm_not_confirmed_but_price_up,k_ics_drop|csm_quality_damage|loss_ratio_worse|investment_loss,k_ics_ratio|csm_quality|loss_ratio|roe|shareholder_return_execution,k_ics_unknown|csm_quality_unknown|loss_ratio_worse|ifrs17_volatility,k_ics|csm|loss_ratio|ifrs17,false,false,"DB Insurance/Samsung Fire-style candidates need K-ICS, CSM, loss ratio, and return execution before Stage 3."
INSURANCE_KICS_CSM_GATE,FINANCIAL_CAPITAL_DIGITAL,INSURANCE_KICS_CSM_GATE,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,insurance_yield_rally|csm_headline|k_ics_headline,k_ics_detail_required|csm_quality_required|loss_ratio_required,not_green_without_kics_csm_loss_ratio,dividend_expectation_before_capital_quality,k_ics_drop|csm_quality_damage|loss_ratio_spike|ifrs17_volatility,,k_ics_missing|csm_quality_missing|loss_ratio_missing|capital_release_unverified,k_ics|csm|loss_ratio,true,false,"Insurance headlines are capped before K-ICS, CSM quality, and loss-ratio detail."
SECURITIES_BROKERAGE_MARKET_BETA,FINANCIAL_CAPITAL_DIGITAL,SECURITIES_BROKERAGE_MARKET_BETA,WATCH_YELLOW_FIRST,20,8,12,8,10,10,7,kospi_rally|trading_value_growth|brokerage_beta,brokerage_revenue_growth|margin_lending_growth|ib_pipeline|op_eps_revision,roe_structure_improved|ib_pipeline_durable|pf_risk_low|market_beta_not_only_driver,trading_value_cycle_peak|securities_basket_overheated,trading_value_drop|pf_loss|ib_loss|tax_policy_shock,brokerage_revenue|ib_fee|pf_risk_low|roe_improvement,market_beta_only|trading_value_drop|pf_loss|tax_policy_shock,market_beta|pf_loss|tax_policy|trading_value_cycle,false,false,"Brokerage can reach Stage 2 on market beta, but Stage 3 is capped unless IB, PF, and ROE durability confirm."
SECURITIES_IB_PF_RISK_OVERLAY,FINANCIAL_CAPITAL_DIGITAL,SECURITIES_IB_PF_RISK_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,ib_pf_watch|real_estate_pf_exposure,ib_pipeline|pf_exposure_disclosed,not_green_if_pf_loss_or_ib_impairment,brokerage_rally_ignores_pf,pf_loss|ib_impairment|liquidity_stress|capital_raise,,pf_loss|ib_impairment|liquidity_stress|capital_raise,pf|ib_loss|liquidity,true,false,Securities PF/IB loss is a hard cap for brokerage rerating.
INTERNET_BANK_PROFITABILITY,FINANCIAL_CAPITAL_DIGITAL,INTERNET_BANK_PROFITABILITY,WATCH_YELLOW_FIRST,22,8,18,18,10,10,7,internet_bank_users|mau|platform_bank_premium,record_profit|non_interest_income_growth|overseas_virtual_bank_option|loan_growth_quality,roe_improves|credit_cost_stable|repeat_non_interest_income|valuation_not_overheated,platform_premium_before_profit|users_without_profit_bodyweight,credit_cost_spike|loan_quality_worse|valuation_derating|overseas_option_delay,record_profit|roe|credit_cost|non_interest_income_repeatability|valuation_room,user_count_only|credit_cost_unknown|platform_valuation_risk|loan_quality_risk,valuation|credit_cost|loan_quality|user_count_only,false,false,"KakaoBank needs record profit, non-interest income, credit quality, and valuation discipline; users alone are Stage 1."
DIGITAL_ASSET_EXCHANGE_EQUITY_OPTION,FINANCIAL_CAPITAL_DIGITAL,DIGITAL_ASSET_EXCHANGE_EQUITY_OPTION,WATCH_YELLOW_FIRST,14,6,8,24,10,14,8,dunamu_upbit_stake|digital_asset_option|stablecoin_growth,all_stock_deal_value|exchange_market_share|stock_swap_terms|initial_price_reaction,regulatory_approval|exchange_security_stable|equity_value_transmission|fee_or_stablecoin_revenue,crypto_equity_option_priced_before_approval,abnormal_withdrawal|exchange_hack|regulatory_approval_fail|crypto_volume_decline,regulatory_approval|security_stability|equity_method_income|revenue_model|shareholder_value_transmission,abnormal_withdrawal|security_incident|regulatory_pending|crypto_volume_decline,security|regulatory|equity_transmission|crypto_volume,false,false,"Naver-Dunamu-style equity option can be Stage 2, but security and approval block Stage 3."
FINTECH_SUPERAPP_IPO_OPTION_KOREA,FINANCIAL_CAPITAL_DIGITAL,FINTECH_SUPERAPP_IPO_OPTION_KOREA,WATCH_YELLOW_FIRST,12,5,8,25,10,12,8,toss_ipo_expectation|superapp_users|won_stablecoin_theme,30m_users|global_launch|ipo_valuation_expectation|stablecoin_bill_expectation,ipo_filing|profitability_fcf|regulated_stablecoin_approval|direct_equity_link,related_stocks_spike_without_equity_link|ipo_narrative_crowded,ipo_delay|valuation_cut|stablecoin_rule_restrictive|credit_loss_or_cac_worse,ipo_filing|profitability|fcf|direct_equity_link|regulated_revenue_model,related_stock_without_link|valuation_cut|ipo_delay|stablecoin_unapproved,ipo_delay|direct_link|stablecoin_approval|valuation,false,false,Toss direct exposure can be Stage 2; listed related stocks are capped before direct ownership and revenue model proof.
KRW_STABLECOIN_POLICY_OPTION,FINANCIAL_CAPITAL_DIGITAL,KRW_STABLECOIN_POLICY_OPTION,WATCH_YELLOW_FIRST,8,4,6,28,10,14,8,won_stablecoin_policy|payment_theme|fintech_theme,regulatory_bill|issuer_candidate|reserve_model_discussion|payment_volume_option,regulatory_approval|issued_volume|reserve_economics|issuer_margin|redemption_transparency,stablecoin_related_stock_rally_before_revenue,issuer_margin_hurt_by_rule|redemption_or_reserve_issue|regulatory_delay,,regulatory_approval_missing|issued_volume_missing|reserve_economics_missing|issuer_margin_unknown,regulatory|reserve|issuer_margin|volume,false,false,"KRW stablecoin is Stage 1/2 optionality until approval, volume, reserve, redemption, and issuer economics are visible."
GUARANTEE_INSURANCE_IPO_SECURITY_RISK,FINANCIAL_CAPITAL_DIGITAL,GUARANTEE_INSURANCE_IPO_SECURITY_RISK,REDTEAM_FIRST,18,12,18,8,8,20,6,guarantee_insurance_ipo|public_fund_recovery|dividend_expectation,kospi_listing|guarantee_balance_scale|kdic_stake_sale_option,cyber_resilience_confirmed|dividend_policy|capital_quality|service_stability,stable_financial_ipo_premium_priced,ransomware_attack|service_disruption|core_system_recovery_delay|financial_security_trust_break,cyber_resilience|service_stability|capital_quality|dividend_policy,ransomware|service_disruption|security_remediation_missing|trust_break,security|service_disruption|trust,true,false,Seoul Guarantee IPO optionality is capped by ransomware and financial-service operational trust risk.
