case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
samsung_sds_ai_cloud_kkr_cb_stage2_4b_watch_case,ENTERPRISE_AI_CLOUD_INFRA_KOREA,018260,Samsung SDS AI cloud and KKR CB capital allocation,KR,4b_watch,ENTERPRISE_AI_CLOUD_INFRA_KOREA,WATCH_YELLOW_FIRST,,2026-04-15,,2026-04-15,,kkr_820m_usd_cb|share_price_20_8pct_jump|ai_offering_expansion|physical_ai_option|6_4tn_krw_cash|mna_capital_allocation_strategy,cb_dilution_risk|actual_ai_arr_missing|mna_execution_unknown|ai_cloud_revenue_missing,stage2_strong_with_4b_watch,needs_ai_arr_cloud_revenue_cb_dilution_price_backfill,false,"Samsung SDS has strong Stage 2 AI-cloud/capital-allocation evidence, but Green waits for AI revenue, ARR, OPM/FCF, and dilution absorption."
douzone_bizon_eqt_erp_workflow_stage2_3_case,B2B_SAAS_ERP_WORKFLOW_KOREA,012510,Douzone Bizon EQT ERP workflow rerating candidate,KR,success_candidate,B2B_SAAS_ERP_WORKFLOW_KOREA,GREEN_POSSIBLE,,2025-11-07,,,,eqt_37_6pct_stake|930m_usd_transaction|erp_accounting_tax_compliance_workflow|cloud_based_enterprise_software|operational_improvement_plan,arr_churn_missing|opm_improvement_unconfirmed|regulatory_approval_pending,stage2_3_workflow_candidate,needs_arr_churn_opm_price_backfill,false,"Douzone is a Stage 2/3 candidate only if PE validation converts into ARR, churn stability, ARPU, OPM, and FCF."
naver_hyperclova_x_sovereign_ai_stage1_2_case,SOVEREIGN_KOREAN_AI_MODEL,035420,NAVER HyperCLOVA X sovereign Korean AI model,KR,event_premium,SOVEREIGN_KOREAN_AI_MODEL,WATCH_YELLOW_FIRST,,,,,,hyperclova_x_think_technical_report|korean_english_bilingual_llm|korea_benchmark|sovereign_ai_option,b2b_monetization_missing|inference_cost_unknown|ai_search_arpu_missing|technical_report_only,stage1_2_ai_option_monetization_gate,needs_b2b_api_cloud_revenue_arpu_price_backfill,false,"NAVER sovereign AI is Stage 1/2 before paid API, cloud usage, enterprise contracts, inference margin, and AI search ARPU."
shiftup_game_ip_repeat_monetization_4b_watch_case,GAME_CONTENT_IP_REPEAT_MONETIZATION,462870,Shift Up Nikke and Stellar Blade repeat monetization,KR,4b_watch,GAME_CONTENT_IP_REPEAT_MONETIZATION,GREEN_POSSIBLE,,2025-06-01,,,,nikke_live_service_ip|stellar_blade_pc_3d_1m_sales|stellar_blade_total_3m_sales|2025_op_181bn_krw|unbound_acquisition_pipeline,single_ip_concentration|ipo_valuation_premium|future_pipeline_uncertainty|tencent_stake_risk,stage2_3_game_ip_candidate_with_4b_watch,needs_bookings_retention_opm_price_backfill,false,"Shift Up can be Stage 2/3 candidate, but IPO and hit-title premiums require 4B cooling until repeat bookings and retention confirm."
krafton_pubg_bgmi_india_inzoi_stage2_3_4c_watch_case,GAME_CONTENT_IP_REPEAT_MONETIZATION,259960,Krafton PUBG/BGMI India and inZOI with Subnautica legal risk,KR,success_candidate,GAME_CONTENT_IP_REPEAT_MONETIZATION,GREEN_POSSIBLE,,2025-12-19,,,,bgmi_240m_downloads|india_666m_usd_tech_fund|india_game_sector_200m_usd_investment|inzoi_first_week_1m_sales|pubg_cash_cow,subnautica2_release_delay|developer_lawsuit|earnout_dispute|new_ip_hit_dependency|ai_first_hr_uncertainty,stage2_3_candidate_with_4c_watch_overlay,needs_bookings_opm_legal_price_backfill,false,Krafton needs PUBG/BGMI bookings and inZOI monetization separated from Subnautica delay and developer legal risk.
sm_tencent_music_china_reopening_kpop_stage2_case,KPOP_PLATFORM_CONTENT_IP,041510,SM Entertainment Tencent Music stake and China reopening option,KR,success_candidate,KPOP_PLATFORM_CONTENT_IP,WATCH_YELLOW_FIRST,,2025-05-27,,,,tencent_music_9_7pct_stake|243bn_krw_stake_purchase|china_performance_reopening_option|kpop_ip|fan_platform_option,china_reopening_delay|kakao_governance_overhang|artist_pipeline_risk,stage2_kpop_ip_china_option,needs_touring_fan_arpu_opm_price_backfill,false,"SM is Stage 2 on strategic stake and China reopening option; Green needs real touring, fan platform ARPU, OPM, and governance quality."
hybe_founder_legal_risk_kpop_cap_case,ENTERTAINMENT_GOVERNANCE_LEGAL_OVERLAY,352820,HYBE founder legal risk K-pop valuation cap,KR,4c_thesis_break,ENTERTAINMENT_GOVERNANCE_LEGAL_OVERLAY,REDTEAM_FIRST,,,,,2026-04-21,global_ip_platform|weverse_fan_platform_option|touring_fandom,founder_detention_warrant_news|stock_reaction_minus_2_4pct|capital_market_act_risk|governance_cap,legal_governance_4c_watch,needs_legal_resolution_price_backfill,false,HYBE IP and platform strength are capped while founder legal risk and governance overhang remain active.
webtoon_ipo_guidance_miss_4c_watch_case,WEBTOON_PLATFORM_IP_MONETIZATION,WBTN_REFERENCE,Webtoon Entertainment IPO then guidance miss,US,4c_thesis_break,WEBTOON_PLATFORM_IP_MONETIZATION,WATCH_YELLOW_FIRST,,2024-06-27,,,2026-05-01,nasdaq_ipo|ipo_price_21_usd|debut_9_5pct_up|global_creator_platform|naver_platform_value,q2_revenue_guidance_miss|after_hours_minus_15pct|ip_adaptation_revenue_decline_23pct|net_loss|revenue_yoy_down_1_5pct,ipo_stage2_guidance_miss_4c_watch,needs_webtoon_price_guidance_backfill,false,Webtoon IPO is Stage 2 visibility; guidance miss and IP adaptation decline become 4C-watch.
naver_line_privacy_security_governance_4c_watch_case,PLATFORM_PRIVACY_SECURITY_OVERLAY,035420/4689_REFERENCE,NAVER-LY/LINE privacy security and Japan regulatory pressure,KR/JP,4c_thesis_break,PLATFORM_PRIVACY_SECURITY_OVERLAY,REDTEAM_FIRST,,2024-08-02,,,2024-08-02,line_ly_platform_asset|buyback_asset_monetization|softbank_naver_voting_rights_change,data_leak|japan_regulatory_pressure|naver_dependency_reduction_demand|capital_relationship_review|300k_plus_user_records_exposure,platform_asset_security_governance_gate,needs_platform_event_price_backfill,false,"Platform overseas asset value is capped when privacy, data leak, and regulator pressure appear."
kakao_founder_legal_overhang_relief_case,ENTERTAINMENT_GOVERNANCE_LEGAL_OVERLAY,035720,Kakao founder legal overhang then partial relief,KR,4b_watch,ENTERTAINMENT_GOVERNANCE_LEGAL_OVERLAY,REDTEAM_FIRST,,2025-10-21,,2025-10-21,,kakaotalk_platform_asset|sm_entertainment_content_option|acquittal_partial_legal_relief,founder_legal_risk|stock_manipulation_case|15_year_sentence_request|governance_discount,legal_overhang_partial_relief_not_green,needs_legal_event_price_backfill,false,"Kakao legal relief can reduce risk, but platform Green remains capped until governance discount is resolved."
krafton_subnautica2_delay_lawsuit_4c_watch_case,GAME_IP_LAUNCH_DELAY_LEGAL_RISK,259960,Krafton Subnautica 2 delay and lawsuit,KR,4c_thesis_break,GAME_IP_LAUNCH_DELAY_LEGAL_RISK,REDTEAM_FIRST,,,,,2026-07-01,subnautica_ip_sequel|publisher_portfolio_expansion,release_delay|earnout_dispute|developer_lawsuit|community_backlash,game_release_legal_4c_watch,needs_release_legal_price_backfill,false,A strong game IP can still be 4C-watch when release timing and developer/community trust break.
r8_disclosure_confidence_cap_case,DISCLOSURE_CONFIDENCE_CAP,KR_R8_DISCLOSURE_BASKET,Korea R8 disclosure confidence cap basket,KR,failed_rerating,DISCLOSURE_CONFIDENCE_CAP,REDTEAM_FIRST,,,,,,ai_feature_headline|game_ip_headline|webtoon_ipo_headline|kpop_reopening_headline|platform_mau_headline,arr_missing|bookings_missing|contract_amount_missing|opm_missing|legal_security_detail_missing,disclosure_detail_missing_cap,needs_arr_bookings_opm_legal_detail_backfill,false,"R8 headlines are capped when ARR, bookings, contract amount, OPM/FCF, security, or legal details are missing."
