target_id,stage1,stage2,stage3,stage4b,stage4c,production_scoring_changed
SMART_FARM_AGRI_TECH,smart_farm_policy|autonomous_agri_equipment|vertical_farming|agri_ai,actual_order|operation_contract|maintenance_saas_revenue|capacity_utilization,unit_economics_positive|fcf_conversion|repeat_contracts|energy_cost_control,smart_farm_theme_crowded|vertical_farming_story_priced_before_unit_economics,chapter11|shutdown|energy_cost_failure|premium_pricing_failure|capex_burden,false
VERTICAL_FARMING_UNIT_ECONOMICS,vertical_farming|indoor_farm|hydroponics|leafy_greens|ai_farming_narrative,capacity_utilization|customer_contract|yield_stability|premium_pricing_success|energy_cost_control,unit_economics_positive|repeat_customer_demand|fcf_conversion|low_energy_cost_burden,vertical_farming_unicorn_narrative|premium_pricing_assumed|capex_risk_ignored,shutdown|chapter11|energy_cost_failure|premium_pricing_failure|yield_loss|capex_burden,false
AGRI_MACHINERY_PRECISION_CYCLE,autonomous_tractor|precision_agriculture|agri_drone|ces_technology_demo,equipment_sales_growth|farmer_roi|software_attach_rate|service_revenue,recurring_software_or_service|farm_income_support|low_financing_stress,autonomous_agri_theme_crowded|technology_priced_before_adoption,farm_income_weakness|high_borrowing_cost|equipment_sales_decline|right_to_repair_lawsuit,false
AGRI_MACHINERY_DEMAND_CYCLE,equipment_replacement_cycle|farm_productivity|precision_agriculture_narrative,equipment_sales_growth|dealer_inventory_normalization|farm_income_improvement,recurring_software_or_service|equipment_cycle_buffered|fcf_conversion,autonomous_precision_agri_expectation_crowded,crop_price_decline|financing_cost_increase|rental_instead_of_purchase|dealer_inventory_increase,false
AGRI_MACHINERY_SOFTWARE_LOCKIN,software_enabled_equipment|precision_agriculture_platform|dealer_network_lockin|repair_software,software_attach_rate|service_revenue|farmer_roi|authorized_service_revenue,recurring_software_or_service|low_regulatory_risk|customer_retention|fcf_conversion,software_lockin_multiple_expansion|right_to_repair_risk_ignored,right_to_repair_lawsuit|repair_monopoly_allegation|settlement_cost|ftc_lawsuit|customer_backlash,false
RIGHT_TO_REPAIR_REGULATORY_OVERLAY,right_to_repair_lawsuit|repair_monopoly_allegation|ftc_scrutiny,settlement_terms|digital_tool_access|customer_repair_rights,low_regulatory_risk,software_lockin_priced_without_regulatory_risk,settlement_cost|ftc_lawsuit|repair_monopoly_allegation|customer_backlash,false
RIGHT_TO_REPAIR_CONSTRUCTION_EXPANSION,construction_equipment_repair_lawsuit|independent_repair_access_restriction|dealer_network_dependency,settlement_terms|digital_tool_access|independent_repair_access,low_regulatory_risk,repair_lockin_priced_without_construction_equipment_litigation,construction_equipment_litigation|class_action_expansion_risk|repair_monopoly_allegation|customer_backlash,false
AGRI_INPUT_SEED_CROP_PROTECTION,seed_licensing|crop_protection_patent|food_security|new_product,licensing_revenue|price_pass_through|farmer_roi|ebitda_improvement,repeat_seed_revenue|crop_protection_margin|litigation_control|fcf_conversion,food_security_seed_ip_theme_crowded,crop_protection_litigation|patent_expiry|regulatory_restriction|farmer_margin_pressure,false
FERTILIZER_INPUT_COST_CYCLE,potash_price|phosphate_price|nitrogen_price|supply_disruption|crop_nutrient_depletion,fertilizer_volume|fertilizer_price|margin_improvement|application_rate,low_cost_supply|structural_demand|fcf_conversion,fertilizer_price_spike_theme_crowded,crop_price_decline|farmer_margin_pressure|demand_deferral|input_cost_spike|guidance_cut,false
FERTILIZER_STRATEGIC_PHOSPHATE_OPTION,phosphate_strategic_mineral|phosphate_asset_review|phosphate_price|potash_price,phosphate_volume|phosphate_revenue|fertilizer_volume|fcf_conversion,low_cost_supply|asset_option_value_backed_by_cash_flow|farmer_roi|fcf_conversion,phosphate_option_priced_without_farmer_margin_check,crop_price_decline|farmer_margin_pressure|input_cost_spike|asset_sale_uncertainty|demand_deferral,false
FERTILIZER_INPUT_COST_SULFURIC_ACID,phosphate_price_strength|fertilizer_supply_tightness|sulfuric_acid_cost|sulfur_cost,input_cost_risk_detected|production_guidance_at_risk,normally_blocked_if_input_cost_overwhelms_phosphate_price,fertilizer_price_rally_before_input_cost_audit,sulfuric_acid_spike|sulfur_cost_spike|ammonia_cost_spike|urea_cost_spike|production_curtailment|guidance_withdrawal|loss_reported,false
AGRI_LIVESTOCK_FOOD_COMMODITY,avian_flu|asf|egg_price_spike|feed_cost_change|soybean_or_tuna_price,price_pass_through|op_profit_increase|cost_stabilization,structural_green_restricted|multi_period_margin_stability,food_price_cycle_crowded|disease_price_spike_extrapolated,price_normalization|feed_cost_spike|government_inquiry|price_fixing_investigation|disease_normalization,false
LIVESTOCK_DISEASE_PRICE_REGULATORY,avian_flu_price_spike|egg_price_spike|price_fixing_investigation|doj_investigation,multi_period_margin_stability|disease_normalization_checked|cost_stabilization,normally_blocked_if_disease_or_price_investigation_drives_profit,food_price_spike_priced_as_structural,price_fixing_investigation|doj_investigation|price_normalization|consumer_backlash|disease_normalization,false
ANIMAL_HEALTH_BIOSECURITY,outbreak|vaccine_conditional_approval|government_stockpile,government_purchase_contract|government_stockpile|repeat_vaccination|guidance_up|distribution_channel,recurring_animal_health_revenue|customer_diversification|fcf_conversion,animal_vaccine_event_crowded|stockpile_story_priced,government_purchase_end|disease_normalization|vaccine_unused|trade_restriction,false
AGRI_DISEASE_AI_MONITORING,disease_ai_monitoring|farm_sensor|biosecurity_app|livestock_surveillance,farm_adoption_contract|data_quality|privacy_compliance|repeat_subscription,recurring_monitoring_revenue|low_privacy_risk|fcf_conversion,agri_ai_monitoring_theme_crowded,data_quality_failure|farm_privacy_backlash|no_adoption_contract|subsidy_dependency,false
EDUCATION_SPECIALTY_SERVICES,ai_training|adult_education|job_training|b2b_education_contract,repeat_enrollment|enterprise_contract|completion_rate|paid_conversion|opm_improvement,b2b_b2g_recurring_revenue|student_roi|low_cac|fcf_conversion|ai_disruption_defense,ai_education_narrative_crowded|valuation_before_profitability,ai_substitutes_core_service|bookings_miss|subscriber_decline|cac_spike|bankruptcy,false
EDTECH_AI_MONETIZATION_TRADEOFF,ai_speaking|ai_tutor|ai_learning_feature,engagement_growth|bookings_growth|paid_conversion|ai_cost_control,bookings_and_margin_together|fcf_conversion|paid_conversion_stable,ai_education_app_narrative_crowded,ai_feature_cost_increase|bookings_miss|monetization_retreat|paid_conversion_slowdown,false
EDTECH_AI_DISRUPTION,ai_tutor|ai_answer_engine|homework_help_ai|traffic_risk,ai_defense_contract_or_productivity_needed,normally_blocked_if_core_service_substituted,ai_education_theme_crowded|user_growth_before_monetization,ai_substitutes_core_service|traffic_decline|subscriber_decline|bookings_miss|layoff|strategic_review,false
EDTECH_AI_SEARCH_DISINTERMEDIATION,ai_overviews|search_traffic_decline|homework_help_ai|organic_query_loss,owned_distribution_or_b2b_contract_needed,normally_blocked_if_search_channel_is_disintermediated,traffic_growth_priced_without_search_ai_risk,traffic_decline|subscriber_decline|revenue_decline|paid_conversion_decline|layoff,false
ONLINE_EDUCATION_OPM_DISTRESS,online_degree_platform|bootcamp_growth|opm_revenue_share|edtech_platform,student_roi|completion_rate|partner_retention|fcf_conversion|debt_reduction,repeat_contracts|low_debt_stress|regulatory_compliance|fcf_conversion,online_education_platform_premium|growth_priced_before_roi,chapter11|high_leverage|student_roi_failure|regulatory_scrutiny|partner_concentration_failure,false
HOME_LIVING_APPLIANCE_RENTAL,rental_accounts_growth|new_product|overseas_expansion,rental_churn_stable|filter_service_revenue|care_service_revenue|opm_fcf_improvement,recurring_service_revenue_dominates|hardware_cycle_less_important|fcf_conversion,rental_account_growth_crowded|consumer_service_multiple_rerated,replacement_demand_collapse|dividend_suspension|rental_churn_spike|housing_weakness,false
HOME_APPLIANCE_HARDWARE_CYCLE,replacement_demand|housing_cycle|appliance_export,sales_growth|margin_stability|fcf_guidance,repeat_service_revenue|housing_cycle_buffered|fcf_conversion,hardware_replacement_theme_crowded,replacement_demand_collapse|housing_turnover_weakness|dividend_suspension|guidance_cut|debt_reduction_pressure,false
SERVICE_KIOSK_SELF_CHECKOUT,labor_cost_increase|unmanned_store|self_checkout_rollout|kiosk_installation,installed_base|maintenance_revenue|payment_fee_revenue|loss_prevention_effect,recurring_service_revenue|hardware_mix_declines|customer_friction_low,automation_theme_crowded|installed_base_priced_before_service_revenue,retailer_retreat|theft_shrink|customer_friction|employee_workload|one_off_hardware_sales,false
SELF_CHECKOUT_LOCAL_REGULATION_OVERLAY,local_self_checkout_regulation|item_limit|staffed_lane_requirement,retailer_compliance_cost|store_policy_change,regulatory_risk_resolved,self_checkout_adoption_priced_without_regulation,item_limit|staff_required_per_kiosk|local_ordinance|retailer_retreat,false
CONSUMER_REGULATED_PRODUCT,fda_approval|dea_rescheduling|regulated_product_license,sales_authorization|channel_access|tax_effect|repeat_consumption,regulatory_stability|repeat_revenue|fcf_conversion,regulatory_approval_rally_crowded|policy_reversal_ignored,approval_revoked|sales_ban|legal_conflict|youth_usage_controversy|public_health_backlash,false
NICOTINE_ALTERNATIVE_REGULATED,e_cigarette|nicotine_pouch|fda_enforcement_easing|reduced_risk_product,sales_authorization|license_scope|authorized_channel|repeat_consumption,regulatory_stability|repeat_revenue|public_health_risk_contained|fcf_conversion,nicotine_policy_relief_rally|approval_scope_ignored,youth_usage_risk|flavored_product_restriction|public_health_warning|unauthorized_product_status|enforcement_reversal,false
NICOTINE_POUCH_YOUTH_SAFETY_OVERLAY,nicotine_pouch_growth|youth_usage_warning|flavor_marketing,age_verification|nicotine_limit|advertising_compliance,public_health_risk_contained,nicotine_repeat_consumption_priced_without_youth_risk,youth_addiction_warning|high_nicotine_content|flavor_restriction|advertising_ban|influencer_marketing_risk,false
CANNABIS_REGULATED_PRODUCT,cannabis_rescheduling|medical_cannabis_policy|dea_registration|state_license,license_scope|tax_effect|sales_channel|compliance_cost_visible,regulatory_stability|repeat_revenue|tax_benefit_realized|fcf_conversion,cannabis_policy_relief_rally|full_legalization_assumed,state_federal_conflict|dea_registration_failure|legal_challenge|public_health_backlash|license_scope_limited,false
CANNABIS_PARTIAL_RESCHEDULING_LIMIT,partial_rescheduling|medical_only_scope|dea_registration_required|state_federal_conflict,tax_effect_verified|license_scope_verified|sales_channel_verified,normally_blocked_if_rescheduling_is_not_commercially_usable,schedule3_rally_priced_as_full_legalization,state_federal_conflict|dea_registration_required|medical_cannabis_only|recreational_benefit_limited|legal_challenge,false
DISCLOSURE_CONFIDENCE_CAP,order_headline|rental_account_headline|regulatory_approval_headline|unit_economics_claim,detail_fetch_required|source_detail_confidence_checked,stage3_cap_until_unit_economics_or_scope_detail_verified,headline_priced_before_detail,contract_value_missing|churn_missing|cac_missing|regulatory_scope_missing|unit_economics_missing|parser_confidence_low,false
