round_id,order,large_sector,korean_name,focus,canonical_archetypes,deep_sub_archetypes,validation_focus,expected_price_path,production_scoring_changed,candidate_generation_input
R1,1,INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,"Contracts, backlog, grid, defense, shipbuilding, rail, nuclear, and data-center power equipment.",CONTRACT_BACKLOG_INDUSTRIAL|GRID_TRANSFORMER_SHORTAGE|DEFENSE_GOVERNMENT_BACKLOG|DEFENSE_TECH_AUTONOMOUS_SYSTEMS|DEFENSE_DRONE_COUNTER_UAS|DEFENSE_AI_SOFTWARE_INTELLIGENCE|SHIPBUILDING_OFFSHORE_BACKLOG|RAIL_INFRASTRUCTURE|NUCLEAR_SMR_GRID_POLICY|GEOPOLITICAL_RECONSTRUCTION|SMART_FACTORY_AUTOMATION|AI_DATA_CENTER_POWER_EQUIPMENT,전력설비·변압기|전선·케이블|피팅밸브|조선 기자재|LNG선 기자재|방산 AI|드론·counter-UAS|컨테이너형 미사일|군사용 AI software|철도 수출|원전 PPA|SMR|데이터센터 UPS/PDU/switchgear,contract_amount_to_sales|contract_duration|backlog|delivery_schedule|op_eps_revision|margin,Successful cases should rerate in a 6-24 month stair-step after contract and earnings confirmation.,false,false
R2,2,AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,"HBM, commodity memory, semi equipment, packaging, AI server supply chain, neocloud, optical networking, cooling, and trust overlays.",MEMORY_HBM_CAPACITY|COMMODITY_MEMORY_GENERAL_SEMI|SEMI_EQUIPMENT_CAPEX|SEMI_MATERIALS_PROCESS|ADVANCED_PACKAGING_PCB|ADVANCED_PACKAGING_COWOS_EMIB|DISPLAY_OLED_SUPPLYCHAIN|ELECTRONIC_COMPONENTS_MLCC_SENSOR|AI_CHIP_FABRIC_INFRA|AI_ACCELERATOR_CHIP_PUREPLAY|AI_SERVER_ODM_EMS_SUPPLY_CHAIN|NEOCLOUD_GPU_RENTAL|OPTICAL_NETWORKING_AI_DATACENTER|INDUSTRIAL_GASES_SEMICONDUCTOR_INFRA|AI_DATA_CENTER_INFRASTRUCTURE|AI_DATA_CENTER_COOLING|DATA_CENTER_REIT_INFRASTRUCTURE|AI_GRID_FLEXIBILITY_SOFTWARE|REDTEAM_ACCOUNTING_TRUST_OVERLAY,HBM|범용 DRAM/NAND|AI 서버 ODM/EMS|GPU cloud / neocloud|CoWoS / EMIB / advanced packaging|EUV / 반도체 장비|반도체용 산업가스|AI 데이터센터 냉각|광통신·광케이블|데이터센터 REIT|AI grid flexibility|AI accelerator pure-play|CXL|유리기판|뉴로모픽,eps_revision|capacity_bottleneck|customer_order|gross_margin|inventory|accounting_trust,"Strong cases show EPS revision and valuation multiple expansion together; 4B/4C cases show crowding, filing delay, CAPEX cut, or trust breaks.",false,false
R3,3,BATTERY_EV_GREEN,2차전지·전기차·친환경,"Battery materials, equipment, recycling, ESS, hydrogen, renewable policy, CBAM, waste, and data-center water reuse.",BATTERY_MATERIALS_CAPEX_OVERHEAT|BATTERY_EQUIPMENT_PARTS|BATTERY_RECYCLING_ESS_SHIFT|EV_INFRASTRUCTURE|HYDROGEN_FUEL_CELL_INFRA|RENEWABLE_ENERGY_POLICY|SOLAR_TARIFF_SUPPLYCHAIN|ENERGY_DISTRIBUTION_FUEL|WASTE_RECYCLING_ENVIRONMENT|CARBON_CREDIT_CBAM_COMPLIANCE|DATA_CENTER_WATER_REUSE_INFRA,2차전지 소재|2차전지 부품|2차전지 공정장비|폐배터리|ESS 전환|전고체 배터리|수소연료전지|태양광 관세·공급망|풍력 프로젝트|탄소배출권/CBAM|폐기물처리|탈플라스틱|데이터센터 물 재활용,contract_quality|utilization|fcf|ev_demand|capa_overbuild|commodity_price,"Most cases need overheat defense; successful cases should rerate only after contract, utilization, and FCF evidence.",false,false
R4,4,MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,"Refining, chemical, steel, nonferrous, rare metals, lithium, precious metals, paper, agrifood inputs, LNG, trading, and gas utilities.",REFINING_OIL_SPREAD|CHEMICAL_SPREAD|STEEL_METAL_SPREAD|NONFERROUS_STRATEGIC_METALS|RARE_METALS_STRATEGIC_MATERIALS|LITHIUM_BATTERY_RAW_MATERIAL|PRECIOUS_METALS_SAFE_HAVEN_MINERS|ADVANCED_MATERIAL_SPECULATIVE_THEME|PAPER_PACKAGING_CYCLE|AGRI_COMMODITY_INPUTS|LNG_ENERGY_TRADING_DISTRIBUTION|GENERAL_TRADING_RESOURCE_INFRA|ENERGY_UTILITY_LNG_GAS,정유|화학|철강|비철금속|구리|리튬|희토류|금은|금광주|페라이트|그래핀|맥신|초전도체|제지·골판지|종합상사|LNG 장기계약|가스 유틸리티,product_spread|cost_curve|capacity_discipline|commodity_peak|eps_normalization,"Separate cyclical_success from structural_success by comparing commodity peak, EPS peak, and stock peak.",false,false
R5,5,CONSUMER_RETAIL_BRAND,소비재·유통·브랜드,"K-food, convenience/offline retail, e-commerce logistics, cold chain, K-beauty, ODM, apparel, home/living, rental, and regulated products.",EXPORT_RECURRING_CONSUMER|FOOD_AGRI_LIVESTOCK_CYCLE|RETAIL_CONVENIENCE_OFFLINE|RETAIL_ECOMMERCE_LOGISTICS|ECOMMERCE_FRESH_LOGISTICS|COLD_CHAIN_REIT_LOGISTICS|K_BEAUTY_EXPORT_DISTRIBUTION|BEAUTY_OEM_ODM_SUPPLYCHAIN|APPAREL_FAST_FASHION_BRAND_OEM|HOME_LIVING_APPLIANCE_RENTAL|CONSUMER_REGULATED_PRODUCT,라면|K푸드|건강기능식품|편의점|홈쇼핑|마켓컬리·오아시스|콜드체인|K뷰티 브랜드|화장품 OEM/ODM|화장품 원재료|의류 브랜드|fast fashion|밥솥·생활가전|렌탈|전자담배|주정,export_growth|channel_expansion|repeat_demand|opm|inventory|receivables|recall_regulation,"Successful cases show export/channel/OPM stair-step rerating; counterexamples draw down from viral hype, inventory, receivables, recall, or regulation.",false,false
R6,6,FINANCIAL_CAPITAL_DIGITAL,금융·자본배분·디지털금융,"Banks, insurance, brokerage, value-up, holding restructuring, payments, fintech, and digital asset/tokenization themes.",FINANCIAL_SPREAD_BALANCE_SHEET|INSURANCE_UNDERWRITING_CYCLE|SECURITIES_BROKERAGE_CYCLE|VALUE_UP_SHAREHOLDER_RETURN|HOLDING_RESTRUCTURING_GOVERNANCE|PAYMENT_FINTECH_INFRA|DIGITAL_ASSET_TOKENIZATION,은행|금융지주|손해보험|생명보험|증권사|VC|고배당|밸류업|자사주 소각|부동산 자산 보유|결제서비스|PG|e-wallet|신용정보|토스 관련주|STO|스테이블코인|NFT와의 분리,roe|capital_ratio|csm|loss_ratio|buyback_cancel|pbr_roe_gap|regulated_revenue,Banks and insurers validate PBR-ROE rerating; tokenization and fintech require real regulated revenue before Green.,false,false
R7,7,BIOTECH_HEALTHCARE_DEVICE,바이오·헬스케어·의료기기,"CDMO, CRO, biosimilar, GLP-1, gene therapy, AI drug discovery, digital healthcare, telehealth, medical device, diagnostics, and animal health.",CDMO_HEALTHCARE_CONTRACT|CRO_CLINICAL_SERVICE|BIOSIMILAR_COMMERCIALIZATION|BIOSIMILAR_ORIGINATOR_DEFENSE|OBESITY_GLP1_COMMERCIALIZATION|GENE_THERAPY_RARE_DISEASE|AI_DRUG_DISCOVERY_PLATFORM|DIGITAL_HEALTHCARE_AI|DIGITAL_HEALTHCARE_REMOTE_MEDICINE|TELEHEALTH_BEHAVIORAL_HEALTH|PHARMA_CHANNEL_AND_PRIVACY_RISK|MEDICAL_DEVICE_HEALTHCARE_EXPORT|MEDICAL_DEVICE_DENTAL_IMPLANT|DIAGNOSTICS_INFECTIOUS_DISEASE|ANIMAL_HEALTH_BIOSECURITY,CDMO|CRO|바이오시밀러|오리지널 특허방어|GLP-1 비만치료제|유전자치료제|희귀질환|AI 신약개발|의료AI|원격의료|온라인 정신건강|약물 플랫폼·조제약|미용기기|보톡스|치아·임플란트|진단키트|동물백신·방역,contract_backlog|capacity_utilization|approval|reimbursement|commercialization|dilution|privacy,Medical device/CDMO can rerate on contracts and recurring revenue; pre-revenue biotech remains Watch/Red until commercialization and cash-flow visibility.,false,false
R8,8,PLATFORM_CONTENT_SW_SECURITY,플랫폼·콘텐츠·SW·보안,"Platform, SaaS, cloud, AI application software, contact-center AI, kiosk, game/content IP, media/ad cycle, security, deepfake, and generative-AI IP risk.",PLATFORM_SOFTWARE_INTERNET|CLOUD_AI_SOFTWARE_INFRA|AI_SOFTWARE_APPLICATION|CONTACT_CENTER_AI_AUTOMATION|SERVICE_KIOSK_SELF_CHECKOUT|GAME_CONTENT_IP|MEDIA_AD_CONTENT_CYCLE|METAVERSE_NFT_THEME|SECURITY_IDENTITY_DEEPFAKE|GENERATIVE_AI_IP_RISK,플랫폼|SaaS|ERP|클라우드|AI 소프트웨어|생성AI 앱|컨택센터 AI|키오스크|게임 IP|엔터|미디어·광고|스트리밍 광고|보안|딥페이크|생체인식|CCTV|NFT|메타버스,arr|opm|fcf|churn|paid_usage|ip_monetization|privacy_security_incident,"Successful cases pair ARR/OPM/FCF with price; hard 4C includes security outages, privacy, copyright, and trust failures.",false,false
R9,9,MOBILITY_TRANSPORT_LEISURE,모빌리티·운송·레저,"Completed vehicles, components, tires, airlines, travel, casino/duty-free tourism, shipping, rental/used car mobility, UAM/drone, space, and satellite connectivity.",AUTO_MOBILITY_COMPLETED_VEHICLE|AUTO_MOBILITY_COMPONENTS|TIRE_AUTO_COMPONENT_SPREAD|AIRLINE_TRAVEL_CYCLE|TRAVEL_LEISURE_REOPENING|CASINO_DUTYFREE_TOURISM|SHIPPING_FREIGHT_CYCLE|RENTAL_USED_CAR_MOBILITY|MOBILITY_RENTAL_MICROMOBILITY|URBAN_AIR_DRONE|SPACE_SUPPLYCHAIN|SATELLITE_CONNECTIVITY_INFRA,완성차|하이브리드|자동차 부품|전장|자율주행|타이어|항공사|여행·레저|카지노|면세점|해운|렌터카|중고차|자전거|공유 모빌리티|드론·플라잉카|스페이스X 관련주|위성통신,fcf|hybrid_mix|shareholder_return|customer_diversification|freight_rate|tourist_mix|government_contract,Autos can show PBR/ROE/value-up rerating; travel and shipping are mostly cyclical and need peak/drawdown validation.,false,false
R10,10,CONSTRUCTION_REAL_ESTATE_MATERIALS,건설·부동산·건자재,"Construction credit, REIT/development trusts, building materials, data-center REITs, cold-chain logistics, reconstruction policy, and disaster rebuild events.",CONSTRUCTION_REAL_ESTATE_CREDIT|REIT_DEVELOPMENT_TRUST|BUILDING_MATERIALS_CYCLE|DATA_CENTER_REIT_INFRASTRUCTURE|COLD_CHAIN_REIT_LOGISTICS|INFRA_RECONSTRUCTION_POLICY|DISASTER_REBUILD_EVENT,대형 건설사|중소형 건설사|PF|미분양|리츠|개발신탁|건자재|시멘트|레미콘|철근|거푸집|가구|데이터센터 REIT|콜드체인 REIT|우크라 재건|네옴시티|재난복구,pf_credit|cash_flow|cost_ratio|occupancy|affo|funding_cost|tenant_contract,"Separate relief rallies from structural recovery; REIT cases need AFFO and dividend coverage, not rate headlines alone.",false,false
