target_id,stage1,stage2,stage3,stage4b,stage4c,loop11_penalty_axes,hard_gate,production_scoring_changed
HBM_BONDER_EQUIPMENT_KOREA,hbm_demand|tc_bonder|advanced_packaging_equipment|hbm_packaging_bottleneck,sk_hynix_contract|contract_value|recent_contract_sum|micron_potential_customer,op_eps_revision|customer_diversification|repeat_orders|equipment_margin|60d_mfe_20pct,rapid_rally|hbm_bonder_consensus_crowded|valuation_peer_top_quartile,micron_report_not_finalized|customer_order_delay|margin_miss|single_customer_concentration,unconfirmed_report|valuation_crowding|customer_concentration,false,false
ADVANCED_PACKAGING_EQUIPMENT_KOREA,advanced_packaging|post_process_tool|hbm_packaging|customer_capex,customer_order|shipment_schedule|equipment_revenue_conversion|customer_qualification,repeat_order|op_eps_revision|customer_diversification|margin_visible,packaging_tool_theme_crowded|order_priced_before_shipment,customer_capex_cut|qualification_delay|shipment_delay|order_pushout,order_visibility|shipment_schedule|customer_capex,false,false
AI_SERVER_PCB_MLB_KOREA,ai_server_pcb|high_layer_mlb|accelerator_board|data_center_networking_board,ai_server_exposure|order_visibility|capacity_expansion|customer_qualification,high_layer_mlb_revenue|op_eps_revision|customer_diversification|pricing_power,price_300_500pct|pcb_consensus_crowded|valuation_saturation,customer_concentration|inventory_build|order_delay|op_eps_revision_down,price_300_500pct|customer_concentration|inventory,false,false
SEMICONDUCTOR_TEST_SOCKET_KOREA,ai_chip_testing|test_socket|probe_pin|high_frequency_socket,customer_qualification|socket_mix_improvement|ai_chip_testing_exposure|early_price_path,op_eps_revision|high_margin_socket_mix|repeat_order|customer_detail_verified,ai_test_socket_multiple_crowded|price_70pct_before_detail,customer_detail_missing|order_delay|op_eps_revision_missing|valuation_crowding,valuation_crowding|customer_detail_missing,false,false
HBM_TEST_EQUIPMENT_KOREA,hbm_test|cube_prober|memory_test_handler|wafer_level_test,actual_customer_order|shipment_schedule|test_equipment_backlog|hbm_test_exposure,customer_order_conversion|op_eps_revision|shipment_to_revenue|margin_visible,test_equipment_theme_crowded|order_priced_before_delivery,order_missing|shipment_delay|customer_capex_cut|op_eps_revision_down,order_missing|shipment_delay|customer_capex,false,false
SYSTEM_SEMI_FOUNDARY_OPTION_KOREA,system_semi_policy|foundry_support|legacy_chip|reram_license,government_foundry_plan|technology_license|tapeout_option|fabless_support,customer_wafer_revenue|utilization_improvement|op_eps_revision|mass_production_revenue,policy_option_priced|technology_license_fully_priced,customer_revenue_missing|op_eps_revision_missing|policy_delay|license_not_commercialized,policy_only|license_only|customer_revenue_missing,false,false
AI_CHIP_FABRIC_PRIVATE_RELATED,private_ai_chip|npu|rebellions|sapeon|government_investment,private_company_merger|mass_production|government_investment|related_listed_company,listed_company_direct_revenue|equity_method_income|customer_contract|repeat_shipment,related_stock_price_priced_before_eps|private_valuation_crowded,direct_earnings_link_missing|related_stock_only|mou_only|shipment_missing,direct_link_missing|private_valuation|related_stock_only,false,false
ON_DEVICE_AI_THEME,on_device_ai|npu|smartphone_ai|edge_ai|cxl_or_low_power_memory_theme,design_win|adoption_signal|technical_license|customer_pilot,design_win_revenue|op_eps_revision|repeat_customer_order|customer_detail_verified,on_device_ai_theme_crowded|price_only_theme,adoption_missing|direct_revenue_missing|op_eps_revision_missing|customer_detail_missing,theme_only|revenue_missing|customer_missing,false,false
MOU_OR_REPORT_NOT_CONTRACT,media_report|mou|loi|possible_deal|if_finalized,report_or_negotiation_confirmed|details_unconfirmed,not_green_until_final_contract_customer_amount_delivery_margin_visible,report_priced_as_contract|headline_rally,final_contract_missing|customer_unknown|amount_unknown|delivery_unknown|margin_unknown,mou_or_report_only|detail_missing|customer_unknown,true,false
DISCLOSURE_CONFIDENCE_CAP,opendart_list_only|contract_headline|high_signal_disclosure|ai_component_report,detail_fetched|contract_amount|counterparty|delivery_schedule|margin_detail,multi_source_confirmation|contract_terms_verified|shipment_or_revenue_detail|margin_visible,undisclosed_ai_contract_theme_crowded,detail_missing|contract_amount_missing|customer_missing|duration_missing|margin_unknown,disclosure_confidence_capped|detail_missing,false,false
HBM_SUPPLY_CHAIN_LABOR_DISRUPTION_OVERLAY,labor_strike|memory_supply_disruption|bonus_gap|foundry_logic_execution_risk,strike_notice|production_disruption_risk|delivery_delay_risk,not_green_until_disruption_resolved_and_delivery_evidence_recovered,positive_supply_chain_story_ignores_labor_gate,labor_strike|delivery_delay|execution_risk|customer_supply_disruption|op_eps_revision_down,labor_disruption|delivery_delay|execution_risk,true,false
AI_CHIP_LISTED_EARNINGS_LINK_GATE,private_ai_chip_related_stock|private_valuation|listed_parent_or_partner,linkage_claimed|investment_or_merger_news,not_green_until_direct_revenue_or_equity_method_income,private_valuation_priced_into_listed_stock,direct_earnings_link_missing|revenue_missing|equity_method_income_missing|customer_contract_missing,direct_earnings_link_missing|private_valuation_only|related_stock_only,true,false
