target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop3_penalty_axes,gate_only,production_scoring_changed
CONSTRUCTION_REAL_ESTATE_CREDIT,pf_support|rate_cut_expectation|property_recovery_news|backlog_headline,refinancing_success|unsold_inventory_decline|cash_flow_improvement|construction_cost_ratio_stable,pf_risk_reduced|eps_fcf_recovery|cash_conversion_improves|valuation_frame_change,pf_relief_rally_crowded|support_news_priced_before_restructuring,pf_delinquency_increase|bridge_loan_rollover_failure|debt_workout|impairment|cost_ratio_spike,pf_exposure|unsold_inventory|refinancing|construction_cost_ratio|debt_workout,pf|unsold_inventory|refinancing|cost_ratio|cash_conversion,false,false
PF_RESTRUCTURING_RELIEF,government_pf_support|guarantee_expansion|market_stabilizing_fund,profitable_project_refinanced|bridge_to_main_pf_conversion|bad_project_separated,cash_conversion_improves|cost_ratio_stable|pf_exposure_declines,relief_rally_before_restructuring|policy_support_priced_as_recovery,delinquency_rises_after_support|workout|impairment|unprofitable_project_restructuring,policy_support_only|unprofitable_project|bridge_loan|delinquency,policy_relief|refinancing|cash_conversion|project_profitability,false,false
RESIDENTIAL_HOUSING_CYCLE,housing_recovery|rate_cut_expectation|presale_recovery,unsold_inventory_decline|starts_recovery|cost_ratio_stable,cash_flow_recovery|eps_fcf_recovery|credit_risk_low,housing_cycle_rally_crowded,unsold_inventory_increase|household_debt_stress|starts_decline|rate_shock,unsold_inventory|household_debt|rate|construction_cost|starts_decline,unsold_inventory|household_debt|starts|rate|cost_ratio,false,false
REIT_DEVELOPMENT_TRUST,rate_cut_expectation|dividend_yield|nav_discount,occupancy|noi_affo|dividend_coverage|ltv_stable,affo_growth|dividend_sustainability|nav_discount_narrowing,high_yield_reit_rally_crowded|rate_cut_priced,vacancy_increase|ltv_deterioration|refinancing_failure|dividend_cut,vacancy|ltv|refinancing|dividend_cut|funding_cost,occupancy|noi_affo|ltv|funding_cost|dividend_coverage,false,false
COMMERCIAL_REAL_ESTATE_CREDIT,office_recovery_news|cre_credit_relief|rate_cut_expectation,vacancy_stabilization|credit_loss_reserve_stable|dividend_coverage,loan_quality_recovery|occupancy_recovery|dividend_sustainability,cre_relief_rally_before_credit_repair|yield_chase_crowded,office_vacancy|watchlisted_or_impaired_loan|credit_loss_reserve|dividend_cut,office_exposure|vacancy|impaired_asset|credit_loss_reserve|dividend_cut,office_vacancy|impaired_loans|credit_reserve|dividend_cut,false,false
DATA_CENTER_REIT_INFRASTRUCTURE,ai_data_center_reit_ipo|hyperscale_demand|asset_pipeline,asset_acquisition|binding_tenant_lease|power_cooling_water_secured|noi_affo,affo_growth|dividend_coverage|tenant_contract_quality|funding_cost_controlled,ai_infrastructure_reit_valuation_crowded|capex_pipeline_priced_before_cashflow,no_acquired_assets|no_tenant|no_affo|power_or_water_permitting_failure|funding_cost_up,no_assets|tenant_concentration|capex|funding_cost|power_water_permitting,asset|tenant|noi_affo|power_water|funding_cost,false,false
AI_DATA_CENTER_REAL_ASSET_DEVELOPMENT,ai_data_center_campus|dedicated_power_plan|energy_infra_development,binding_tenant_lease|power_secured|permitting|funding_secured,revenue_start|noi_affo|tenant_contract_quality|financing_stability,pre_revenue_ai_real_asset_valuation_crowded|long_term_plan_priced_today,no_revenue|no_tenant|single_site_concentration|permitting_failure|funding_gap|power_or_water_delay,pre_revenue|single_site|permitting|funding|power_water|tenant_missing,pre_revenue|tenant|power_water|permitting|funding,false,false
DATA_CENTER_POWER_WATER_PERMITTING,local_opposition|water_rights_issue|grid_interconnection_delay|noise_pollution,permit_resolution|power_interconnection_secured|water_permitting_secured,community_approval|grid_and_water_secured|project_schedule_intact,power_water_risk_underpriced,project_withdrawal|referendum_or_moratorium|zoning_rejection|water_permitting_delay|grid_interconnection_failure,local_opposition|water_permitting|grid_interconnection|noise|withdrawal,power|water|community|permitting,true,false
COLD_CHAIN_REIT_LOGISTICS,cold_storage_ipo|food_pharma_cold_chain_demand|warehouse_network_scale,occupancy|customer_contract|noi_affo|energy_cost_control,repeat_logistics_demand|dividend_coverage|affo_visibility|debt_stable,cold_chain_reit_premium_crowded|warehouse_scale_priced_without_profit,net_loss|energy_cost_pressure|occupancy_decline|debt_burden|guidance_cut,net_loss|energy_cost|debt|occupancy|affo_uncertainty,occupancy|energy_cost|noi_affo|debt|customer_inventory,false,false
BUILDING_MATERIALS_PRICE_COST,price_hike|cost_stabilization|housing_starts_recovery|infrastructure_demand,volume_recovery|opm_improvement|cost_pass_through|energy_cost_control,fcf_stability|volume_and_price_aligned|opm_improvement|infrastructure_demand_visible,building_material_price_hike_crowded|infrastructure_spend_priced|price_hike_fully_priced,volume_decline|energy_cost_spike|raw_material_cost_spike|construction_slowdown|ebitda_decline,volume_decline|energy_cost|raw_material_cost|construction_slowdown|ebitda_decline,price|cost|volume|opm|fcf,false,false
BUILDING_MATERIALS_VOLUME_FAILURE,price_hike|cost_cut_program|infrastructure_story,price_offset|cost_saving_amount,volume_recovery_required|ebitda_recovery_required,price_hike_story_priced_despite_volume,volume_decline|demand_slowdown|ebitda_decline|price_increase_not_enough,volume_decline|demand_slowdown|ebitda_decline|price_offset_failure,volume|ebitda|demand|price_cost,false,false
INFRA_RECONSTRUCTION_POLICY,ukraine_reconstruction|neom_city|overseas_infra_policy|disaster_recovery_policy,actual_contract|financing_secured|construction_started|revenue_recognition,multi_year_backlog|contract_margin_visible|delivery_schedule,policy_theme_crowded|reconstruction_basket_rally_before_contract,project_cancellation|financing_failure|geopolitical_setback|project_delay,no_actual_contract|financing|policy_event_only|project_delay,contract|financing|construction_started|revenue_recognition,false,false
POLICY_LOCAL_REAL_ESTATE_THEME,sejong_city|local_development_policy|agency_relocation_headline,budget_allocated|actual_contract|land_or_permit_approval,revenue_recognized|project_margin_visible|multi_year_contract,local_policy_theme_crowded|budget_not_yet_confirmed,policy_reversal|budget_absent|contract_absent|project_delay,policy_event_only|budget_absent|contract_absent|delay,policy|budget|contract|revenue,false,false
PF_CREDIT_REDTEAM_OVERLAY,pf_delinquency|bridge_loan_rollover_failure|workout,pf_exposure_reduced|workout_resolved,credit_risk_removed,pf_relief_rally_ignores_credit,pf_delinquency_increase|bridge_loan_rollover_failure|debt_workout|impairment,pf_delinquency|bridge_loan|workout|impairment,pf|credit|workout,true,false
REIT_AFFO_INTEGRITY_OVERLAY,affo_overstatement_allegation|maintenance_capex_question|dividend_coverage_question,capex_classification_verified|affo_bridge_verified,affo_integrity_clean|dividend_coverage_verified,affo_yield_chase_ignores_capex,maintenance_capex_misclassification|affo_overstatement|dividend_cut|capex_burden,affo_integrity|maintenance_capex|dividend_cut|capex_burden,affo|maintenance_capex|dividend_coverage,true,false
AI_INFRA_REAL_ASSET_THEME_OVERLAY,ai_data_center_theme|space_or_power_narrative|pre_revenue_real_asset,asset_acquired|binding_tenant_lease|revenue_start,noi_affo_visible|power_water_secured|financing_stable,ai_real_asset_theme_valuation_crowded,no_revenue|no_assets|no_binding_tenant|single_site_concentration|funding_gap,no_revenue|no_asset|no_tenant|single_site|funding_gap,asset|tenant|revenue|funding,true,false
