target_id,stage1,stage2,stage3,stage4b,stage4c,loop3_penalty_axes,gate_only,production_scoring_changed
REFINING_OIL_SPREAD,refining_margin_rebound|oil_geopolitical_event|inventory_gain|logistics_normalization,refining_op_improvement|inventory_gain_loss_excluded|core_refining_margin|op_revision_1q,repeat_fcf|core_margin_durable|high_margin_mix|inventory_noise_excluded,refining_margin_peak|inventory_gain_crowded|geopolitical_premium_fully_priced,refining_margin_drop|inventory_loss|logistics_recovery_delay|demand_slowdown,refining_margin|inventory_gain_loss|logistics|geopolitics,false,false
LUBRICANTS_HIGH_MARGIN_MIX,lubricants_high_margin_mix|base_oil_margin|repeat_industrial_demand,mix_ratio_improves|repeat_demand|opm_expansion|fcf_margin,high_margin_mix_durable|repeat_customer_demand|capital_return|fcf_conversion,lubricants_premium_crowded|margin_peak_ignored,oil_price_shock|mix_deterioration|industrial_demand_slowdown|margin_reversal,oil_price|mix|demand|margin,false,false
CHEMICAL_SPREAD,chemical_spread_rebound|china_stimulus|product_price_rebound|restocking,actual_op_improvement|spread_change_90d|inventory_normalization|capacity_shutdown,supply_glut_easing|restructuring|durable_spread|fcf_margin,spread_recovery_crowded|china_stimulus_overpriced,china_middle_east_capacity_glut|spread_reversal|inventory_increase|op_fcf_drop,oversupply|supply_glut|china_middle_east_capacity|inventory,false,false
STEEL_METAL_SPREAD,steel_spread|iron_ore_price|china_construction_demand|plate_price,steel_spread_improvement|cost_control|op_revision_1q|inventory_normalization,supply_discipline|demand_recovery|fcf_margin|dividend_supported_by_fcf,steel_recovery_crowded|dividend_expectation_full,iron_ore_price_decline|china_demand_weakness|dividend_cut|profit_downcycle,china_demand|iron_ore|steel_spread|dividend,false,false
NONFERROUS_STRATEGIC_METALS,copper_zinc_aluminum_price|smelting_margin|mine_disruption|strategic_metal_keyword,realized_metal_price|smelting_margin|op_revision_1q|fcf_margin,cost_curve_advantage|supply_constraint|fcf_conversion|capital_return,nonferrous_price_rally_crowded|event_premium_confused_with_fcf,metal_price_drop|china_demand_slowdown|smelting_margin_drop|governance_event_only,metal_price|smelting_margin|event_premium|china_demand,false,false
COPPER_AI_GRID_STRUCTURAL_DEMAND,ai_datacenter_grid_demand|grid_modernization|ev_renewable_copper_demand|copper_price_breakout,deficit_forecast|mine_disruption|company_eps_revision|realized_copper_price,low_cost_production|production_volume_stable|fcf_conversion|capital_return,ai_copper_narrative_crowded|stockpile_distortion_ignored|physical_etf_flow_overpriced,copper_price_drop|mine_supply_normalization|demand_destruction|tariff_inventory_unwind,tariff_inventory|mine_restart|demand_destruction|stockpile,false,false
RARE_METALS_STRATEGIC_MATERIALS,rare_earth_export_control|strategic_supply_chain|defense_supply_chain|rare_earth_price_spike,government_investment|price_floor|offtake_contract|long_term_purchase|production_capacity,production_ramp_up|customer_diversification|revenue_recognized|fcf_conversion,rare_earth_related_rally_crowded|no_production_capacity_rally|price_floor_overgeneralized,production_ramp_failure|price_floor_policy_change|customer_offtake_delay|policy_support_delay,policy|production_ramp|project_execution|price_floor,false,false
LITHIUM_BATTERY_RAW_MATERIAL,lithium_price_rebound|mine_shutdown|ev_or_ess_demand|capex_cut,low_cost_mine|offtake_contract|fcf_defense|capex_discipline,durable_fcf|restart_supply_risk_controlled|low_cost_position|price_defense,lithium_rebound_crowded|mine_restart_ignored|sodium_ion_ignored,lithium_price_crash|mine_restart_supply_rebound|ev_demand_slowdown|sodium_ion_substitution,lithium_price|mine_restart|ev_demand|sodium_ion,false,false
PRECIOUS_METALS_SAFE_HAVEN_MINERS,gold_silver_price|safe_haven_demand|real_rate_drop|mine_output,realized_gold_price|aisc_control|fcf_improvement|buyback_or_dividend,cost_control|capital_return|production_stable|jurisdiction_risk_controlled,record_gold_price_crowded|miner_group_overheat|safe_haven_narrative_crowded,gold_price_correction|aisc_rise|production_drop|jurisdiction_risk,gold_price|aisc|production|jurisdiction,false,false
GENERAL_TRADING_RESOURCE_INFRA,resource_rights|energy_contract|buyback_dividend|conglomerate_discount_rerating,long_term_offtake|project_stake|fcf|capital_return|valuation_discount,resource_infra_fcf_frame|capital_allocation_execution|valuation_discount_narrows,sogo_shosha_story_crowded|resource_infra_rerating_full,commodity_price_drop|project_delay|capital_allocation_retreat|fx_hit,commodity|fx|conglomerate_discount|project_delay,false,false
