case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
skc_absolics_glass_substrate_stage2_case,GLASS_SUBSTRATE_ADVANCED_PACKAGING_KOREA,011790,SKC / Absolics glass substrate,KR,success_candidate,GLASS_SUBSTRATE_ADVANCED_PACKAGING_KOREA,WATCH_YELLOW_FIRST,glass_substrate|advanced_packaging|chips_grant_75m_usd|georgia_covington_facility|test_batch_production|production_ramp_plan,customer_missing|yield_missing|revenue_missing|capex_risk,stage2_strong_not_green_until_customer_yield_revenue_opm,needs_customer_yield_revenue_price_backfill,false,"SKC/Absolics has facility, grant, and test-production evidence. Stage 3 waits for customer qualification, yield, shipment, revenue, OPM, and FCF."
gaonchips_pfn_samsung_2nm_stage2_case,SYSTEM_SEMI_DESIGN_HOUSE_AI_ORDER,399720,가온칩스 Samsung 2nm / Preferred Networks AI chip design,KR,success_candidate,SYSTEM_SEMI_DESIGN_HOUSE_AI_ORDER,WATCH_YELLOW_FIRST,preferred_networks_customer|samsung_2nm_foundry_order|gaonchips_design_role|advanced_packaging_included|generative_ai_hpc_chip,order_size_undisclosed|revenue_recognition_missing|foundry_execution_risk|repeat_design_win_missing,stage2_strong_until_order_size_revenue_repeat_nre_royalty,needs_order_size_revenue_repeat_design_price_backfill,false,"Customer and design role are strong Stage 2 evidence, but order size, revenue recognition, repeat NRE/royalty, and OP/EPS are required before Stage 3."
hbm_test_equipment_basket_stage3_candidate_case,HBM_TEST_EQUIPMENT_KOREA,089030/232140/003160/092870,테크윙·와이씨·디아이·엑시콘 HBM test equipment basket,KR,success_candidate,HBM_TEST_EQUIPMENT_KOREA,GREEN_POSSIBLE,hbm_test_equipment|sk_hynix_packaging_plant_capex|sk_hynix_euv_purchase|customer_capex_macro|individual_order_needed,individual_contract_missing|shipment_schedule_missing|op_eps_revision_missing|price_only_rally_risk,stage2_macro_stage3_candidate_only_after_individual_order_revision_price_path,needs_contract_shipment_op_revision_mfe_mae_backfill,false,"HBM CAPEX is real macro evidence, but each listed test-equipment candidate needs customer order, shipment, OP/EPS, repeat order, and price-path validation."
hanwha_precision_spinoff_hbm_equipment_stage2_4c_watch_case,ADVANCED_PACKAGING_EQUIPMENT_BASKET,012450/HANWHA_PRECISION,한화정밀기계 / 한화 산업솔루션 HBM equipment option,KR,failed_rerating,ADVANCED_PACKAGING_EQUIPMENT_BASKET,WATCH_YELLOW_FIRST,hbm_equipment_option|industrial_solutions_spinoff|semiconductor_equipment_unit_focus,actual_order_missing|share_price_failed_minus_8pct|governance_allocation_risk|minority_value_unclear,stage2_option_but_governance_and_price_failed_watch,needs_actual_order_governance_price_backfill,false,"HBM equipment option is Stage 2 attention, but spin-off, governance, value allocation, and price-failed evidence cap Stage 3."
lg_innotek_aeva_lidar_stage2_case,CAMERA_LIDAR_ADAS_ELECTRONICS,011070,LG이노텍 Aeva lidar strategic collaboration,KR,success_candidate,CAMERA_LIDAR_ADAS_ELECTRONICS,WATCH_YELLOW_FIRST,aeva_strategic_collaboration|lg_innotek_32m_usd_equity_stake|lidar_sensor_option|robotics_ar_sensing_option,direct_revenue_missing|apple_concentration|adas_adoption_timing_risk|commercialization_delay,stage2_option_not_green_before_design_win_revenue_mass_production,needs_design_win_revenue_adoption_price_backfill,false,"LG Innotek receives Stage 2 option credit for lidar collaboration, but revenue, design win, mass production, OP/EPS, and Apple concentration relief are required."
ai_server_pcb_mlcc_second_wave_stage3_candidate_case,AI_SERVER_PCB_SUBSTRATE_SECOND_WAVE,353200/222800/007810/356860,대덕전자·심텍·코리아써키트·티엘비 AI server PCB/substrate basket,KR,success_candidate,AI_SERVER_PCB_SUBSTRATE_SECOND_WAVE,GREEN_POSSIBLE,ai_server_pcb|high_layer_pcb|fc_bga|server_board|asp_confirmation_needed|inventory_normalization_needed,inventory_risk|customer_concentration|op_eps_missing|price_only_rally_risk,stage2_to_stage3_candidate_requires_asp_inventory_opm_customer,needs_asp_inventory_opm_customer_price_backfill,false,"AI server PCB/substrate can be a Stage 2~3 path only if ASP, inventory, OPM, customer diversification, and price path align."
samsung_electromechanics_mlcc_ai_server_stage2_case,MLCC_AI_SERVER_COMPONENTS,009150,삼성전기 MLCC / substrate / AI server components,KR,success_candidate,MLCC_AI_SERVER_COMPONENTS,WATCH_YELLOW_FIRST,mlcc|semiconductor_substrate|ai_server_component_exposure|automotive_electronics_mix|asp_inventory_gate,asp_missing|inventory_risk|smartphone_weakness|customer_mix_unverified,stage2_component_mix_option_before_asp_inventory_op_eps,needs_asp_inventory_mix_op_revision_price_backfill,false,"Samsung Electro-Mechanics is Stage 2 option evidence until ASP, inventory normalization, mix, and OP/EPS conversion are visible."
on_device_ai_theme_korea_stage1_2_4b_watch_case,ON_DEVICE_AI_THEME_KOREA,080220/094360/054450/396270,제주반도체·칩스앤미디어·텔레칩스·넥스트칩 on-device AI basket,KR,4b_watch,ON_DEVICE_AI_THEME_KOREA,REDTEAM_FIRST,on_device_ai|lpddr|video_ip|automotive_ap|npu|design_win_watch,direct_revenue_missing|mass_production_missing|op_eps_revision_missing|price_only_theme_risk,stage1_2_theme_route_but_price_only_rally_is_4b_watch,needs_design_win_revenue_royalty_price_backfill,false,"On-device AI names route research, but price-only moves before adoption revenue, royalty/license, mass production, and OP/EPS become 4B-watch."
semi_capex_order_to_revenue_stage3_candidate_case,SEMI_CAPEX_ORDER_TO_REVENUE,240810/036930/084370/281820,원익IPS·주성엔지니어링·유진테크·케이씨텍 semi CAPEX equipment basket,KR,success_candidate,SEMI_CAPEX_ORDER_TO_REVENUE,GREEN_POSSIBLE,semi_capex|customer_capex_plan|equipment_order_needed|shipment_to_revenue_needed|op_eps_revision_needed,customer_capex_delay|order_pushout|op_eps_missing|inventory_build,stage2_to_stage3_only_when_capex_becomes_order_revenue_revision,needs_customer_order_shipment_op_revision_price_backfill,false,"Semi CAPEX candidates need customer orders, shipment-to-revenue, OP/EPS revision, repeat demand, and price-path validation."
samsung_supply_chain_labor_disruption_4c_case,LABOR_PRODUCTION_DISRUPTION_OVERLAY,005930,삼성전자 노동·생산 차질 supply-chain overlay,KR,4c_thesis_break,LABOR_PRODUCTION_DISRUPTION_OVERLAY,REDTEAM_FIRST,strike_notice|45000_plus_workers_possible|memory_supply_chain_disruption_risk|ai_datacenter_chip_supply_risk,labor_disruption|production_delay_risk|delivery_delay_risk|op_eps_revision_down_risk,hard_redteam_overlay_for_samsung_exposed_supply_chain,needs_disruption_resolution_and_delivery_price_backfill,false,"Labor or production disruption remains visible as a hard/soft 4C overlay for Samsung-exposed equipment, material, and component candidates."
