field,required_for_round44_backfill
case_id,true
symbol,true
company_name,true
primary_archetype,true
secondary_archetypes,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_price,true
stage2_price,true
stage3_price,true
stage4b_price,true
stage4c_price,true
peak_price,true
MFE_30D,true
MFE_90D,true
MFE_180D,true
MFE_1Y,true
MFE_2Y,true
MAE_30D,true
MAE_90D,true
MAE_180D,true
MAE_1Y,true
drawdown_after_peak,true
below_stage3_price_flag,true
commodity_price_at_stage,true
commodity_price_peak,true
commodity_price_change_90D,true
commodity_price_change_1Y,true
spread_metric,true
spread_change,true
inventory_gain_loss,true
revenue_revision_1q,true
op_revision_1q,true
eps_revision_1y,true
fcf_margin,true
dividend_change,true
buyback_amount,true
offtake_contract_flag,true
price_floor_flag,true
government_support_flag,true
tender_offer_flag,true
governance_event_flag,true
capex_cut_flag,true
oversupply_flag,true
supply_glut_flag,true
score_price_alignment,true
price_validation_status,true
