target_id,stage1,stage2,stage3,stage4b,stage4c,loop11_penalty_axes,hard_gate,production_scoring_changed
K_BEAUTY_EXPORT_DISTRIBUTION_KOREA,kbeauty_viral|amazon_tiktok_ecommerce_growth|us_kbeauty_import_growth,portfolio_distributor_role|us_ecommerce_growth|brand_portfolio|offline_channel_expansion,op_eps_revision|portfolio_diversification|sell_through|reorder|inventory_receivables_stable|fcf_improvement,kbeauty_platform_narrative_crowded|stock_multibagger|eps_revision_lags_price,sell_through_slowdown|inventory_days_up|receivables_days_up|discount_rate_up,sell_through|inventory_receivables|valuation_4b,false,false
K_BEAUTY_BRAND_US_CHANNEL,brand_viral|us_retail_expansion_expectation|tiktok_amazon,costco_ulta_target_talks|sephora_ulta_channel|listed_price_path|us_channel_visibility,actual_listing|sell_through|reorder|opm_fcf|tariff_absorption,ipo_price_doubles|single_brand_valuation_priced|viral_narrative_crowded,offline_sell_through_failure|tariff_margin_hit|single_brand_fade|inventory_up,ipo_4b|sell_through|single_brand|tariff,false,false
K_BEAUTY_RETAIL_PLATFORM_OPTION,olive_young_us_expansion|kbeauty_platform|sephora_ulta_competition,us_first_store|global_mall|1300_korea_stores|platform_curation|ipo_option,cj_consolidated_earnings_link|oliveyoung_opm_growth|us_store_sell_through|ipo_or_cash_realization|nav_discount_narrows,oliveyoung_expectation_priced_before_cash_link|ipo_premium_crowded,us_store_sell_through_failure|ipo_delay|holdco_discount_persists,holdco_link|ipo_event|sell_through,false,false
K_BEAUTY_OEM_ODM_SUPPLYCHAIN_KOREA,indie_brand_boom|fast_beauty_supply_chain|kbeauty_us_japan_eu_channels,multi_brand_orders|customer_diversification|repeat_order_visibility|us_japan_eu_mix,repeat_orders|customer_diversification|opm_fcf_improvement|inventory_receivables_stable|op_eps_revision,oem_odm_basket_catches_up_late|multiple_before_eps,brand_sell_through_failure|channel_inventory_up|receivables_worse|indie_brand_churn,inventory_receivables|customer_churn|brand_sell_through,false,false
K_FOOD_GLOBAL_STAPLE_BRAND,kfood_globalization|ramen_global_demand|k_culture,record_sales|overseas_revenue_mix|walmart_mainstream_shelf|us_sales_target|us_plant_expansion_review,us_europe_sales_growth|asp_defended|op_eps_revision|inventory_stable|reorder_repeat_consumption|china_slowdown_offset,ramen_export_narrative_crowded|single_sku_or_premium_sku_valuation_rally,china_slowdown_not_offset|cost_inflation|inventory_up|single_sku_fade,single_sku|china|op_eps,false,false
K_FOOD_SINGLE_SKU_RISK,viral_sku|premium_sku|tiktok_food_trend,single_sku_sales_growth|retail_listing,not_green_without_portfolio_repeat_demand,single_sku_viral_price_doubles|food_theme_crowded,viral_sku_demand_drop|recall_or_food_safety|retailer_reorder_decline,single_sku|reorder|safety,true,false
APPAREL_LICENSE_BRAND_CHINA_RISK,licensed_logo_brand_growth|china_asia_expansion|taylormade_option,brand_revenue_growth|mna_option|license_platform,inventory_markdown_stable|china_sell_through|opm_fcf|mna_discipline,license_brand_saturation_ignored|mna_option_priced,licensed_logo_fatigue|china_consumption_slowdown|inventory_markdown_up|mna_governance_overpay,china|inventory|mna_governance|brand_saturation,false,false
CHINA_CONSUMER_EXPOSURE_4C,china_consumption_recovery_expectation|premium_beauty|turnaround_story,north_america_emea_growth|brand_portfolio|acquisition,not_green_while_china_premium_demand_breaks,recovery_story_priced_before_china_turnaround,china_demand_weakness|domestic_brand_preference|earnings_miss|worst_day_price_drop,china|earnings_miss|derating,true,false
TARIFF_IMPORT_MARGIN_OVERLAY,us_tariff_uncertainty|kbeauty_us_export_growth|kfood_export_growth,gross_margin_buffer|price_hike_tolerance|retailer_reorder,tariff_absorption_without_demand_loss|margin_buffer_proven|sell_through_stable,tariff_ignored_by_brand_rally,price_competitiveness_hit|consumer_purchase_delay|retailer_inventory_adjustment|gross_margin_hit,tariff|margin_buffer|price_hike,true,false
CHANNEL_STUFFING_INVENTORY_OVERLAY,shipment_growth|listing_growth|export_growth,channel_expansion|order_growth,sell_through|reorder|inventory_days_stable|receivables_days_stable|gross_margin_stable,shipment_growth_priced_before_sell_through,shipment_only_growth|sell_through_slowdown|inventory_days_up|receivables_days_up|discount_rate_up,inventory|receivables|sell_through|discount,true,false
DISCLOSURE_CONFIDENCE_CAP,headline_listing|opendart_list_only|media_report_only|brand_viral,detail_fetch_required|channel|reorder|inventory|margin|contract_terms,multi_source_confirmation|sell_through_verified|opm_fcf_visible,headline_brand_rally,channel_missing|reorder_missing|inventory_unknown|margin_unknown,disclosure_detail|channel|inventory|margin,false,false
K_BEAUTY_BRAND_MNA_VALIDATION_STAGE2_REFERENCE,kbeauty_global_demand|skincare_brand_mna,global_major_acquires_korean_brand|pan_asia_global_growth_potential,listed_company_revenue_link|opm|transaction_price_detail|fcf,mna_reference_priced_without_direct_link,mna_reference_not_relevant_to_listed_company|price_detail_missing,direct_link|price_detail,false,false
STRONG_PRIVATE_PLATFORM_BUT_HOLDCO_LINK_CAP,strong_private_platform|holdco_hidden_asset|ipo_expectation,platform_growth|ipo_option|nav_discount_story,cashflow_link_to_listed_parent|ipo_cash_realization|shareholder_return|nav_discount_narrows,hidden_asset_priced_before_cash_link,ipo_delay|cashflow_link_missing|holdco_discount_persists,holdco_link|cash_realization|nav_discount,true,false
