case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
sk_hynix_hbm_trillion_case,MEMORY_HBM_CAPACITY,000660,SK하이닉스 HBM structural success plus 4B-watch,KR,structural_success,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,,2026-05-14,2026-05-14,2026-05-14,,hbm_demand|market_cap_near_1t|multi_year_eps_revision_candidate|ai_memory_rerating,4b_crowding|capacity_normalization|customer_price_resistance|ai_capex_slowdown,hbm_structural_success_but_4b,needs_price_backfill,false,"HBM structure is valid, but the price path and broad recognition require 4B-watch at the same time."
sk_hynix_record_profit_buyback_case,MEMORY_HBM_LTA_PREPAYMENT,000660,"SK하이닉스 record profit, HBM visibility, and capital return",KR,4b_watch,MEMORY_HBM_LTA_PREPAYMENT,GREEN_POSSIBLE,,2026-01-28,,2026-01-28,,record_quarterly_profit|hbm_demand|explosive_memory_chip_demand|buyback_cancel_amount|capital_return_flag,4b_crowding|hbm_market_share_fully_priced|capacity_normalization|customer_price_resistance,hbm_eps_explosion_plus_capital_return_4b_watch,needs_price_backfill,false,"Record HBM-led profit and capital return strengthen visibility, but the rerated price path still needs 4B-watch validation."
samsung_hbm4_shipping_case,HBM_CATCHUP_EXECUTION,005930,삼성전자 HBM4 catch-up shipping,KR,success_candidate,HBM_CATCHUP_EXECUTION,WATCH_YELLOW_FIRST,,2026-02-12,,,,hbm4_shipping_flag|customer_sample_shipping|hbm4e_sample_plan|share_price_up_6_4pct,qualification_status_unknown|yield_signal_needed|volume_shipment_needed,hbm_catchup_execution_candidate,needs_price_backfill,false,"Catch-up shipping can be Stage 2, but Green needs customer qualification, yield, and volume shipment evidence."
samsung_amd_hbm4_mou_case,HBM_CATCHUP_EXECUTION,005930,삼성전자-AMD HBM4 / foundry MOU,KR,success_candidate,HBM_CATCHUP_EXECUTION,WATCH_YELLOW_FIRST,,2026-03-18,,,,amd_supply_chain_flag|hbm4_mou|foundry_partnership_candidate|customer_specific_base_die_flag,mou_only|qualification_status_unknown|yield_signal_needed|volume_shipment_needed,hbm_catchup_execution_candidate,needs_price_backfill,false,"AMD HBM4 and foundry MOU can support catch-up visibility, but MOU is not volume shipment or margin evidence."
samsung_labor_strike_execution_case,HBM_CATCHUP_EXECUTION_RISK,005930,삼성전자 labor/execution RedTeam,KR,failed_rerating,HBM_CATCHUP_EXECUTION_RISK,REDTEAM_FIRST,,2026-05-15,,,,ai_memory_recovery|one_stop_semiconductor_strategy,labor_strike|production_disruption|execution_risk|foundry_yield_risk|talent_retention_risk,execution_labor_redteam,needs_price_backfill,false,"Even a memory catch-up story can be blocked by labor, execution, foundry yield, or talent retention risk."
micron_consumer_memory_exit_case,MEMORY_SUPPLY_REALLOCATION,MU,Micron consumer memory exit and AI supply reallocation,US,success_candidate,MEMORY_SUPPLY_REALLOCATION,WATCH_YELLOW_FIRST,,2025-12-03,,,,consumer_memory_exit_flag|strategic_customer_allocation_flag|capacity_reallocation_flag|memory_shortage,consumer_demand_destruction_flag|ai_capex_slowdown|memory_price_reversal|hbm_supply_normalization,memory_supply_reallocation_aligned,needs_price_backfill,false,"Consumer memory exit can indicate AI/HBM allocation pressure, but it must convert into mix, OPM, and EPS evidence."
kioxia_ai_nand_profit_case,AI_STORAGE_NAND_SHORTAGE,285A.T,Kioxia AI NAND profit explosion,JP,4b_watch,AI_STORAGE_NAND_SHORTAGE,WATCH_YELLOW_FIRST,,2026-05-15,,2026-05-15,,nand_profit_growth|ai_storage_demand|stock_multiple_expansion|commodity_memory_to_ai_storage,cycle_reversal|supply_rebound|stock_up_20x|memory_price_reversal,commodity_memory_ai_storage_success_plus_4b,needs_price_backfill,false,"AI storage can make NAND look structural for a time, but a 20x stock path needs 4B/cycle reversal review."
applied_materials_ai_packaging_growth_case,SEMI_EQUIPMENT_AI_CAPEX,AMAT,Applied Materials AI packaging growth,US,success_candidate,SEMI_EQUIPMENT_AI_CAPEX,WATCH_YELLOW_FIRST,,2026-05-14,,,,guidance_raise|semiconductor_equipment_growth|packaging_revenue_growth_over_50pct|after_hours_price_up_3pct,customer_capex_peak|order_pushout|export_control,semi_capex_aligned,needs_price_backfill,false,"AI CAPEX is visible in equipment and packaging guidance, but CAPEX-cycle risk still keeps it Watch-to-Green."
broadcom_custom_ai_asic_100b_case,CUSTOM_AI_ASIC_HYPERSCALER,AVGO,Broadcom custom AI ASIC hyperscaler demand,US,success_candidate,CUSTOM_AI_ASIC_HYPERSCALER,GREEN_POSSIBLE,,2026-03-04,,,,custom_ai_asic_revenue|hyperscaler_customer_name|ai_chip_revenue|tsmc_capacity_secured_flag|ai_chip_sales_100b_by_2027,customer_concentration|custom_chip_margin_pressure|startup_customer_risk_flag|tsmc_capacity_miss,custom_ai_asic_aligned,needs_price_backfill,false,"Hyperscaler custom ASIC revenue can be Stage 2 or better only when capacity, named customer, margin, and repeat revenue are visible."
broadcom_custom_ai_margin_concentration_case,CUSTOM_AI_ASIC_MARGIN_CONCENTRATION,AVGO_CUSTOM_MARGIN,Custom AI ASIC customer concentration and margin watch,GLOBAL,failed_rerating,CUSTOM_AI_ASIC_MARGIN_CONCENTRATION,REDTEAM_FIRST,,2026-03-04,,,,custom_ai_asic_revenue|single_hyperscaler_dependency|tsmc_capacity_secured_flag,customer_concentration|custom_chip_margin_pressure|startup_customer_risk_flag|customer_project_delay,custom_ai_asic_margin_concentration_watch,missing_price_data,false,"Custom ASIC visibility must be capped when revenue depends on a narrow customer base, lower custom-chip margin, or startup customer credit."
nvidia_cowos_l_transition_case,ADVANCED_PACKAGING_COWOS_EMIB,NVDA,NVIDIA CoWoS-L packaging bottleneck,US,success_candidate,ADVANCED_PACKAGING_COWOS_EMIB,GREEN_POSSIBLE,,2025-01-16,,,,cowos_l_flag|advanced_packaging_bottleneck|cowos_capacity_fourfold|capacity_still_bottleneck,bottleneck_normalization|yield_issue|capacity_expansion,packaging_bottleneck_aligned,needs_price_backfill,false,CoWoS capacity expanded sharply but remains a bottleneck; both facts must be tracked together.
broadcom_optical_pcb_leadtime_case,OPTICAL_NETWORKING_AI_DATACENTER,AVGO,Broadcom optical PCB lead-time bottleneck,US,success_candidate,OPTICAL_NETWORKING_AI_DATACENTER,GREEN_POSSIBLE,,2026-03-24,,,,optical_transceiver_order|pcb_lead_time_6_weeks_to_6_months|laser_supply_constraint|tsmc_capacity_bottleneck,lead_time_normalization|new_capacity|hyperscaler_capex_delay|customer_concentration,optical_pcb_bottleneck_aligned,needs_price_backfill,false,Optical networking/PCB bottleneck becomes stronger in Loop 10 because lead time expanded from weeks to months.
cisco_ai_networking_orders_case,AI_NETWORKING_SWITCHING_INFRA,CSCO,Cisco AI networking orders and switching guidance,US,success_candidate,AI_NETWORKING_SWITCHING_INFRA,WATCH_YELLOW_FIRST,,2026-05-13,,,,ai_networking_orders|hyperscaler_order_value|data_center_switching_order_growth|ai_infrastructure_order_guidance,hyperscaler_concentration|legacy_networking_revenue_change|networking_restructuring_cost|margin_miss,ai_networking_order_aligned,needs_price_backfill,false,"AI networking orders and guidance can support Stage 2, but legacy mix, restructuring cost, and order-to-margin conversion remain checks."
tower_photonics_ai_datacenter_deal_case,PHOTONICS_AI_DATACENTER_CHIPS,TSEM,Tower Semiconductor AI data-center photonics deal,US,success_candidate,PHOTONICS_AI_DATACENTER_CHIPS,WATCH_YELLOW_FIRST,,2026-05-13,,,,photonics_chip_contract_value|photonics_delivery_year|silicon_photonics_revenue|ai_datacenter_interconnect,customer_concentration|delivery_delay|contract_margin_unverified|yield_issue,photonics_contract_stage2,needs_price_backfill,false,"A photonics chip contract can be Stage 2 when amount and delivery are known; Green needs revenue recognition, margin, and customer diversity."
foxconn_ai_server_rack_growth_case,AI_SERVER_ODM_EMS_SUPPLY_CHAIN,2317.TW,Foxconn AI server rack growth,TW,success_candidate,AI_SERVER_ODM_EMS_SUPPLY_CHAIN,WATCH_YELLOW_FIRST,,2026-05-14,,,,ai_server_rack_shipments_double|q1_profit_up_19pct|ai_server_capex_up_30pct,consignment_model|low_margin|inventory_growth|customer_concentration,ai_revenue_but_margin_watch,needs_price_backfill,false,"AI server revenue and rack shipments can pass Stage 2, but margin and working-capital quality decide conviction."
ecolab_coolit_liquid_cooling_case,AI_DATA_CENTER_COOLING,ECL,Ecolab-CoolIT liquid cooling,US,success_candidate,AI_DATA_CENTER_COOLING,GREEN_POSSIBLE,,2026-03-20,,,,liquid_cooling_order|nvidia_amd_exposure|cooling_revenue_550m|eps_accretion_2028,mna_overpay|mna_debt_financing|eps_accretion_delay|integration_risk,cooling_success_candidate_plus_mna_watch,needs_price_backfill,false,"Cooling can be a structural data-center bottleneck, but acquisition multiple and accretion timing remain RedTeam fields."
coreweave_openai_contract_case,NEOCLOUD_GPU_RENTAL,CRWV,CoreWeave OpenAI contract with leverage risk,US,success_candidate,NEOCLOUD_GPU_RENTAL,WATCH_YELLOW_FIRST,,2025-03-10,,,,openai_contract_11_9b|take_or_pay_candidate|gpu_cloud_revenue_growth,microsoft_revenue_62pct|debt_8b|fcf_negative|gpu_depreciation|delivery_issue,contract_visibility_but_leverage_risk,needs_price_backfill,false,"A huge AI cloud contract can be Stage 2 visibility, but FCF, debt, and customer concentration block Green."
coreweave_expanded_openai_contract_case,NEOCLOUD_GPU_RENTAL,CRWV,CoreWeave expanded OpenAI contract concentration watch,US,success_candidate,NEOCLOUD_GPU_RENTAL,WATCH_YELLOW_FIRST,,2025-09-25,,,,openai_contract_expansion|gpu_cloud_contract_value|revenue_visibility|take_or_pay_candidate,customer_concentration|debt_to_ebitda_risk|gpu_depreciation|refinancing_risk_flag,contract_visibility_but_customer_concentration_watch,needs_price_backfill,false,"Expanded OpenAI contract raises visibility, but customer concentration and GPU/debt economics still block Green."
coreweave_nvidia_circular_financing_case,CIRCULAR_AI_FINANCING_OVERLAY,CRWV,CoreWeave/Nvidia/OpenAI circular financing watch,US,4b_watch,CIRCULAR_AI_FINANCING_OVERLAY,REDTEAM_FIRST,,2026-05-13,,2026-05-13,,nvidia_capacity_guarantee_flag|openai_equity_stake_flag|gpu_cloud_contract_value|capacity_guarantee_dependence,circular_financing_flag|customer_concentration|refinancing_risk_flag|fcf_negative|supplier_support_dependency,circular_ai_financing_watch,needs_price_backfill,false,Circular AI financing can inflate demand visibility; it must be RedTeam evidence until clean FCF and customer diversity are proven.
cerebras_ai_accelerator_ipo_case,AI_ACCELERATOR_CHIP_PUREPLAY,CEREBRAS,Cerebras AI accelerator IPO event premium,US,event_premium,AI_ACCELERATOR_CHIP_PUREPLAY,WATCH_YELLOW_FIRST,2026-05-14,2026-05-14,,,,ai_accelerator_ipo|openai_customer_flag|aws_customer_flag|ipo_first_day_return|inference_capacity_demand,customer_concentration|nvidia_competition_flag|software_ecosystem_gap|gross_margin_unverified|ipo_valuation_overheat,ai_accelerator_ipo_event_premium,needs_price_backfill,false,"AI accelerator pure-play demand can be Stage 2 watch evidence, but IPO surge and ecosystem/customer risk keep it event premium."
supermicro_ey_resignation_case,REDTEAM_ACCOUNTING_TRUST_OVERLAY,SMCI,Supermicro EY resignation accounting break,US,4c_thesis_break,REDTEAM_ACCOUNTING_TRUST_OVERLAY,REDTEAM_FIRST,2023-01-01,,,,2024-10-30,ai_server_revenue_rerating|ai_server_growth,auditor_resignation|filing_delay|internal_control_issue|hindenburg_accounting_claim|doj_sec_investigation,accounting_trust_break_4c,needs_price_backfill,false,"AI server growth cannot overcome auditor resignation, filing delay, or internal-control trust break."
cxl_glass_substrate_theme_case,AI_CHIP_FABRIC_INFRA,CXL_GLASS_THEME,CXL/glass substrate theme-only reference,GLOBAL,overheat,AI_CHIP_FABRIC_INFRA,WATCH_YELLOW_FIRST,,,,,,cxl_keyword|glass_substrate_keyword|neuromorphic_theme,theme_only_flag|actual_revenue_missing|customer_validation_missing|mass_production_missing,theme_without_revenue,missing_price_data,false,"CXL, glass substrate, and neuromorphic tags remain Watch/Red until adoption, validation, production, and revenue exist."
furiosa_ai_related_stock_case,AI_ACCELERATOR_CHIP_PUREPLAY,FURIOSA_RELATED,퓨리오사AI related stock watch,KR,overheat,AI_ACCELERATOR_CHIP_PUREPLAY,WATCH_YELLOW_FIRST,,,,,,ai_chip_keyword|domestic_ai_chip_theme,theme_only_flag|customer_validation_missing|tapeout_missing|actual_revenue_missing,theme_without_revenue,missing_price_data,false,"Related-stock exposure is not evidence. Customer validation, tape-out, mass production, and revenue must come first."
ai_capex_crowding_overlay_case,AI_CAPEX_CROWDING_OVERLAY,AI_CAPEX_OVERLAY,AI CAPEX crowding overlay,GLOBAL,4b_watch,AI_CAPEX_CROWDING_OVERLAY,REDTEAM_FIRST,,,,,,ai_capex_consensus_crowded|universal_bullish_reports|price_multiple_expansion,revision_slowdown|capacity_normalization|customer_capex_cut|order_pushout,ai_capex_crowding_4b_overlay,missing_price_data,false,Crowded AI CAPEX evidence is a 4B warning overlay and must not create positive Green score by itself.
