target_id,stage1,stage2,stage3,stage4b,stage4c,production_scoring_changed
GRID_TRANSFORMER_SHORTAGE,ai_data_center_power_demand|ev_grid_demand|transformer_shortage_news|lead_time_extended,supply_contract|backlog_growth|earnings_surprise|op_eps_revision,fy1_fy2_fy3_revision|long_lead_time|price_increase|old_industrial_frame_rerating,valuation_band_expansion|sector_wide_ai_grid_consensus|capacity_addition_news,new_order_slowdown|low_margin_contract|capa_normalization|data_center_project_delay,false
CONTRACT_BACKLOG_INDUSTRIAL,supply_contract_news|trading_value_breakout|backlog_keyword,contract_amount_to_sales|contract_duration|delivery_schedule|op_eps_revision,multi_year_backlog|margin_visible|capacity_constraint|fy1_fy2_revision,crowded_order_story|target_price_cluster|new_order_growth_slowdown,contract_cancelled|delivery_delay|margin_miss|customer_credit_issue,false
DEFENSE_GOVERNMENT_BACKLOG,geopolitical_budget_growth|defense_export_news|government_customer,official_contract|multi_year_delivery|order_backlog_growth|op_eps_revision,government_backlog_to_sales|delivery_visibility|opm_improvement|export_mix_growth,defense_rerating_crowded|capital_raise_after_runup|valuation_band_full,delivery_delay|cost_overrun|export_permit_issue|dilution_shock|contract_cancelled,false
DEFENSE_TECH_AUTONOMOUS_SYSTEMS,autonomous_weapon_keyword|low_cost_munition_framework|prototype_program,framework_agreement|evaluation_schedule|procurement_quantity_hint,program_of_record|mass_procurement|production_capacity|eps_conversion,prototype_theme_crowded|defense_ai_valuation_jump,procurement_delay|program_cancelled|valuation_overheat|export_control,false
DEFENSE_DRONE_COUNTER_UAS,drone_or_counter_uas_keyword|loitering_munition|directed_energy_keyword,military_order|delivery_schedule|production_capacity,repeat_procurement|export_customer|margin_visible,drone_theme_crowding|mna_dilution,export_control|procurement_delay|production_failure|dilution,false
DEFENSE_AI_SOFTWARE_INTELLIGENCE,maven_like_program|military_ai_software|command_control_software,prototype_contract|government_customer|deployment_schedule,program_of_record|recurring_license|gross_margin_visible,defense_ai_software_crowded|multiple_expansion_without_arr,prototype_not_renewed|political_ethics_risk|budget_cycle_cut,false
SHIPBUILDING_OFFSHORE_BACKLOG,newbuilding_price_up|ship_order_recovery|lng_or_offshore_order,large_order|low_margin_backlog_rolloff|high_margin_delivery_start|op_eps_revision,backlog_quality_improves|fy2_fy3_margin_recognition|cost_pressure_controlled,shipbuilder_group_rally|newbuilding_price_narrative_crowded|target_price_cluster,steel_plate_cost_spike|labor_cost_spike|order_slowdown|contract_cancelled|delivery_delay,false
RAIL_INFRASTRUCTURE,rail_order_news|foreign_rail_investment|urban_or_high_speed_rail_policy,official_contract|contract_amount_to_sales|delivery_schedule,delivery_visibility|margin_visible|op_eps_revision|financing_risk_low,rail_order_expectation_fully_priced,project_delay|financing_failure|margin_miss|contract_cancelled,false
NUCLEAR_SMR_GRID_POLICY,nuclear_policy|ai_power_demand|ppa_or_preferred_bidder_news,ppa_or_signed_contract|permitting_visible|supplier_revenue_path,legal_risk_low|financing_visible|fy2_fy3_revenue_visibility,nuclear_theme_rally|policy_premium_crowded,legal_injunction|project_cancelled|cost_overrun|financing_failed|permitting_failed,false
GEOPOLITICAL_RECONSTRUCTION,reconstruction_policy|neom_or_ukraine_theme|mou_or_bid_news,binding_contract|revenue_schedule|financing_visible,actual_delivery_and_margin|eps_conversion,policy_event_crowded|event_premium_fades,no_contract|project_delay|financing_failure|policy_reversal,false
SMART_FACTORY_AUTOMATION,smart_factory_keyword|automation_order|factory_ai_keyword,actual_order|installed_base|recurring_maintenance_or_software,revenue_conversion|opm_improvement|customer_diversification,automation_theme_crowded,mou_or_poc_only|customer_capex_delay|no_revenue_conversion,false
AI_DATA_CENTER_POWER_EQUIPMENT,ai_data_center_power_equipment|ups_pdu_switchgear_keyword|data_center_internal_power_demand,confirmed_booking|delivery_schedule|op_eps_revision,bookings_growth|backlog_growth|op_margin_improvement|customer_visible,ai_power_equipment_theme_crowded|capacity_addition_news,bookings_slowdown|low_margin_project|data_center_capex_delay,false
