field,required_for_round58_backfill
case_id,true
symbol,true
company_name,true
primary_archetype,true
secondary_archetypes,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_price,true
stage2_price,true
stage3_price,true
stage4b_price,true
stage4c_price,true
peak_price,true
peak_date,true
MFE_30D,true
MFE_90D,true
MFE_180D,true
MFE_1Y,true
MFE_2Y,true
MAE_30D,true
MAE_90D,true
MAE_180D,true
MAE_1Y,true
drawdown_after_peak,true
below_stage2_price_flag,true
below_stage3_price_flag,true
export_sales_growth,true
overseas_sales_ratio,true
us_sales_ratio,true
europe_sales_ratio,true
china_sales_change,true
asp_change,true
volume_growth,true
shipment_growth,true
sell_through_signal,true
reorder_signal,true
channel_entry_flag,true
offline_channel_count,true
amazon_sales_growth,true
tiktok_shop_sales,true
prime_day_sales,true
op_margin_change,true
eps_revision_1q,true
eps_revision_1y,true
fcf_margin,true
inventory_growth,true
receivables_growth,true
channel_stuffing_risk_flag,true
single_product_revenue_ratio,true
hero_product_flag,true
recall_flag,true
food_safety_flag,true
country_sales_ban_flag,true
tariff_flag,true
beauty_device_revenue,true
beauty_device_units_sold,true
beauty_device_margin,true
clinical_or_safety_claim_flag,true
medical_device_regulatory_risk_flag,true
oem_customer_count,true
odm_customer_diversification,true
customer_concentration,true
production_utilization,true
same_store_sales_growth,true
pb_mix_ratio,true
store_count,true
store_profitability,true
rent_wage_pressure,true
gmv_growth,true
logistics_cost_ratio,true
supplier_regulation_flag,true
payment_delay_flag,true
data_breach_flag,true
customer_trust_damage_flag,true
rental_accounts,true
rental_churn,true
recurring_service_revenue_ratio,true
filter_service_revenue,true
hardware_sales_ratio,true
dividend_suspension_flag,true
inventory_markdown_rate,true
discount_rate,true
ip_litigation_flag,true
product_safety_flag,true
customs_scrutiny_flag,true
supplier_exclusivity_dispute_flag,true
score_price_alignment,true
price_validation_status,true
review_notes,true
