target_id,stage1,stage2,stage3,stage4b,stage4c,production_scoring_changed
EXPORT_RECURRING_CONSUMER,export_growth|k_food_or_ramen_viral|capa_expansion|overseas_channel_news,asp_increase|us_europe_shipments|op_eps_revision|target_price_revision,repeat_order|overseas_channel_scale|opm_improvement|fy1_fy2_eps_revision,k_food_rerating_crowded|single_product_story_overpriced|capacity_expansion_priced,recall|food_safety_ban|inventory_build|channel_stuffing|single_product_demand_slowdown,false
FOOD_AGRI_LIVESTOCK_CYCLE,feed_cost_change|disease_or_weather_event|food_commodity_price,price_pass_through|cost_relief|inventory_status,repeat_margin|fcf_margin|commodity_cycle_controlled,commodity_food_event_crowded,feed_cost_reversal|disease_normalization|inventory_loss|one_off_price_spike,false
RETAIL_CONVENIENCE_OFFLINE,store_expansion|pb_product_mix|same_store_sales_recovery,store_profitability|opm_improvement|overseas_store_profitability,defensive_recurring_sales|pb_mix|fcf_stability|valuation_frame_improves,store_count_story_crowded|defensive_retail_premium_full,same_store_sales_slowdown|rent_labor_cost_pressure|store_density_competition,false
RETAIL_ECOMMERCE_LOGISTICS,gmv_or_sales_growth|logistics_network_expansion|customer_count_growth,logistics_cost_stability|opm_improvement|fcf_improvement,repeat_customers|cost_leverage|low_regulatory_risk|low_data_security_risk,scale_narrative_crowded,data_breach|supplier_regulation|payment_delay|logistics_cost_increase|fcf_deterioration,false
ECOMMERCE_FRESH_LOGISTICS,fresh_food_delivery_growth|cold_chain_expansion|repeat_order_growth,unit_economics_improvement|waste_rate_control|delivery_cost_control,repeat_order|cold_chain_efficiency|op_fcf_turnaround,fresh_logistics_growth_story_crowded,delivery_cost_increase|waste_rate_spike|delayed_profitability|cash_burn,false
K_BEAUTY_EXPORT_DISTRIBUTION,us_japan_export_growth|k_beauty_viral|brand_awareness,sephora_ulta_target_costco_channel|offline_channel_entry|op_eps_revision,sell_through|repeat_orders|opm_improvement|china_dependency_down,k_beauty_group_overheated|indie_brand_valuation_surge,inventory_build|receivables_growth|tariff|china_channel_slowdown|us_channel_slowdown,false
BEAUTY_OEM_ODM_SUPPLYCHAIN,global_k_beauty_order_growth|brand_customer_growth,customer_diversification|capacity_utilization|opm_improvement,repeat_orders|overseas_customer_diversification|eps_fcf_bodyweight_change,beauty_supply_chain_premium_crowded,customer_sell_through_slowdown|inventory_build|receivables_growth|customer_concentration,false
APPAREL_FAST_FASHION_BRAND_OEM,brand_momentum|fast_fashion_growth|oem_order_growth,order_visibility|inventory_turnover|discount_rate_control,repeat_orders|inventory_turnover|brand_pricing_power|opm_improvement,fashion_brand_hype_crowded,ip_litigation|product_safety_regulation|supplier_exclusivity_dispute|inventory_buildup|discount_rate_up,false
HOME_LIVING_APPLIANCE_RENTAL,rental_accounts_growth|overseas_accounts_growth|new_product_launch,churn_stable|filter_service_recurring_revenue|opm_fcf_improvement,recurring_revenue_over_hardware_cycle|low_churn|service_margin,rental_account_growth_crowded,replacement_demand_slowdown|housing_cycle_down|dividend_suspension|quality_recall,false
HOME_CHILD_EDUCATION,kids_product_growth|education_or_childcare_theme|household_product_news,recurring_demand|channel_expansion|opm_improvement,subscription_or_repeat_purchase|policy_risk_low|fcf_path,kids_theme_crowded,low_birth_rate_tam_decline|policy_regulation|one_off_product_cycle,false
CONSUMER_REGULATED_PRODUCT,regulated_consumer_product_approval|new_market_access|policy_change,legal_revenue|distribution_approval|margin_visibility,regulated_market_open|repeat_revenue|low_social_backlash,regulated_product_theme_crowded,license_reversal|social_backlash|product_safety_issue|regulatory_ban,false
