archetype,positive_count,counterexample_count,total_count,status,positive_case_ids,counterexample_case_ids
CONTRACT_BACKLOG_INDUSTRIAL,4,1,5,insufficient_case_coverage,hd_hyundai_electric_2023|iljin_electric_2023_2024|hyosung_heavy_2023|overseas_infra_margin_contract_candidate,daehan_cable_like_2026
DEFENSE_GOVERNMENT_BACKLOG,2,1,3,insufficient_case_coverage,hyundai_rotem_k2_export|hanwha_aerospace_2024,defense_theme_no_backlog
SHIPBUILDING_OFFSHORE_BACKLOG,1,1,2,insufficient_case_coverage,samsung_heavy_shipbuilding_cycle,shipbuilding_low_margin_backlog
EXPORT_RECURRING_CONSUMER,1,2,3,insufficient_case_coverage,samyang_foods_2024,one_product_fad_consumer|consumer_recall_regulation
K_BEAUTY_EXPORT_DISTRIBUTION,4,4,8,covered,silicontwo_2024|apr_kbeauty_device|kbeauty_oem_odm_export_candidate|silicontwo_export_distribution_candidate,kbeauty_china_dependency|kbeauty_channel_stuffing|kbeauty_channel_stuffing_4c|china_dependency_cosmetic_counterexample
MEMORY_HBM_CAPACITY,3,2,5,covered,sk_hynix_hbm_rerating|samsung_memory_recovery|simple_dram_rebound_counterexample,sk_hynix_hbm_4b_watch|simple_dram_rebound
SEMI_EQUIPMENT_CAPEX,1,1,2,insufficient_case_coverage,hanmi_semi_hbm_equipment,semi_equipment_customer_capex_cut
BATTERY_MATERIALS_CAPEX_OVERHEAT,1,5,6,insufficient_case_coverage,lg_energy_solution_ess_shift,ecopro_bm_2023|battery_capa_overbuild|gm_lg_ohio_ev_demand_slowdown|ecopro_bm_2023_overheat|battery_capa_overbuild_4c
COMMODITY_SPREAD,2,4,6,covered,refining_spread_recovery|refining_spread_recovery_candidate,chemical_china_oversupply|lotte_chemical_oversupply_2024|lg_chem_petrochemical_oversupply_2024|chemical_china_supply_glut_4c
SHIPPING_FREIGHT_CYCLE,1,1,2,insufficient_case_coverage,hmm_2021_freight_cycle,shipping_overcapacity_4c
AUTO_MOBILITY_COMPONENTS,0,0,0,insufficient_case_coverage,,
AUTO_MOBILITY_COMPLETED_VEHICLE,0,0,0,insufficient_case_coverage,,
ROBOTICS_FACTORY_AUTOMATION,0,2,2,insufficient_case_coverage,,rainbow_robotics_samsung|robot_tam_no_revenue
AI_DATA_CENTER_INFRASTRUCTURE,2,1,3,insufficient_case_coverage,ai_dc_power_grid|esopcb_ai_server,ai_dc_theme_no_order
NUCLEAR_SMR_GRID_POLICY,0,2,2,insufficient_case_coverage,,nuclear_czech_policy_contract|nuclear_legal_delay
TRAVEL_LEISURE_REOPENING,1,1,2,insufficient_case_coverage,korean_air_reopening,dutyfree_china_tourism_only
EDUCATION_SPECIALTY_SERVICES,1,1,2,insufficient_case_coverage,megastudy_education,education_policy_regulation
RARE_METALS_STRATEGIC_MATERIALS,0,0,0,insufficient_case_coverage,,
VALUE_UP_SHAREHOLDER_RETURN,1,6,7,insufficient_case_coverage,sk_square_valueup_candidate,kb_financial_valueup|meritz_financial_return|sk_square_valueup|korea_zinc_tender_event_premium|korea_zinc_governance_risk|buyback_without_cancellation_counterexample
PLATFORM_SOFTWARE_INTERNET,3,3,6,covered,naver_platform_candidate|douzone_saas_candidate|cold_chain_recurring_logistics_candidate,kakao_governance_risk|mau_only_platform|ecommerce_fresh_loss_counterexample
GAME_CONTENT_IP,1,1,2,insufficient_case_coverage,krafton_ip_candidate,new_game_hype_fail
FINANCIAL_SPREAD_BALANCE_SHEET,0,2,2,insufficient_case_coverage,,low_pbr_no_roe_bank|pf_credit_cost_financial
BIOTECH_REGULATORY,0,0,0,insufficient_case_coverage,,
BIOTECH_PRE_REVENUE_REGULATORY,0,2,2,insufficient_case_coverage,,prerevenue_clinical_biotech|biotech_cb_dilution
BIOTECH_ROYALTY_COMMERCIALIZATION,2,1,3,insufficient_case_coverage,celltrion_biosimilar|alteogen_royalty,yuhan_lazertinib
CDMO_HEALTHCARE_CONTRACT,3,3,6,covered,samsung_biologics_cdmo|samsung_biologics_us_capacity_candidate|celltrion_biosimilar_candidate,cdmo_capacity_underutilization|cdmo_capacity_underutilization_4c|patent_litigation_delay_4c
MEDICAL_DEVICE_HEALTHCARE_EXPORT,1,2,3,insufficient_case_coverage,classys_medical_export,single_device_no_consumable|medical_approval_delay
RETAIL_DOMESTIC_CONSUMER,1,1,2,insufficient_case_coverage,convenience_store_efficiency_candidate,china_direct_purchase_margin_pressure_counterexample
CONSTRUCTION_REAL_ESTATE_CREDIT,0,5,5,insufficient_case_coverage,,construction_pf_stress|overseas_infra_margin_contract|korea_pf_stress_2024|builder_liquidity_support_relief_rally|construction_cost_overrun_4c
UTILITIES_REGULATED_TARIFF,1,3,4,insufficient_case_coverage,hyundai_hydrogen_fuel_cell_plant_candidate,hydrogen_theme_no_revenue_counterexample|solar_tariff_supply_chain_4c|wind_project_delay_4c
HOLDING_RESTRUCTURING_GOVERNANCE,0,3,3,insufficient_case_coverage,,korea_zinc_event_premium|holding_buyback_no_cancel|governance_dispute_no_fcf
TURNAROUND_COST_RESTRUCTURING,0,0,0,insufficient_case_coverage,,
ONE_OFF_EVENT_DEMAND,0,3,3,insufficient_case_coverage,,seegene_2020_red|seegene_2020_one_off|infectious_disease_event_oneoff
THEME_VALUATION_OVERHEAT,1,6,7,insufficient_case_coverage,toss_won_stablecoin_candidate,smci_2024_accounting|sto_law_expectation_without_revenue_counterexample|crypto_theme_no_revenue_counterexample|stablecoin_regulatory_delay_4c|superconductor_theme_counterexample|graphene_mxene_no_revenue_counterexample
GENERIC_UNCLASSIFIED,0,0,0,insufficient_case_coverage,,
