target_id,large_sector,canonical_archetype,posture,contract_budget_order_exploration_visibility,eps_fcf_revenue_guidance_conversion,price_path_event_detection,recurrence_durability,redteam_disclosure_confidence,policy_directionality,valuation_room_4b_runway,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop11_penalty_axes,gate_only,production_scoring_changed,normalization_point
DOMESTIC_RESOURCE_DISCOVERY_EVENT,POLICY_GEOPOLITICAL_EVENT,DOMESTIC_RESOURCE_DISCOVERY_EVENT,WATCH_YELLOW_FIRST,12,4,18,4,18,8,6,government_announcement|possible_reserve_headline|daily_limit_rally|resource_theme_basket,exploratory_drilling_started|budget_visible|knoc_project_structure|drill_result_partial,commercial_discovery|appraisal_drilling|development_plan|commercial_production_or_long_term_contract|op_eps_fcf_reflected,daily_limit_rally_before_drilling|resource_theme_crowding,exploration_failure|no_commerciality|budget_cut|result_delay,commercial_discovery|development_plan|commercial_production_or_long_term_contract|op_eps_fcf_reflected,exploration_failure|no_commerciality|budget_cut|result_delay,drill_bit|commerciality|time_to_revenue|success_probability,false,false,"East Sea gas discovery is Stage 1 price-path evidence, not Stage 3 proof before drilling and commerciality."
RESOURCE_EXPLORATION_DRILL_BIT_GATE,POLICY_GEOPOLITICAL_EVENT,RESOURCE_EXPLORATION_DRILL_BIT_GATE,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,prospect_estimate|consultant_report|government_announcement,knoc_drilling|drilling_budget|well_count_plan,commercial_reserve_confirmed|final_investment_decision|production_plan,prospect_headline_priced_before_drilling,80pct_failure_probability|exploration_failure|commerciality_absent|woodside_caveat,,80pct_failure_probability|exploration_failure|commerciality_absent|woodside_caveat,failure_probability|commerciality|reserve_unconfirmed|fid_missing,true,false,Drill-bit gates prevent resource estimates from becoming Stage 3 before commercial reserves exist.
ENERGY_SECURITY_POLICY_EVENT,POLICY_GEOPOLITICAL_EVENT,ENERGY_SECURITY_POLICY_EVENT,WATCH_YELLOW_FIRST,14,8,10,8,14,10,6,energy_security_headline|gas_oil_import_security|domestic_resource_option,government_project_structure|supply_security_policy|import_substitution_path,company_revenue_path|contract_or_margin_impact|op_eps_fcf_conversion,energy_security_theme_basket_rally,oil_price_shock_cost_pressure|policy_reversal|exploration_failure,company_revenue_path|contract_or_margin_impact|op_eps_fcf_conversion,oil_price_shock_cost_pressure|policy_reversal|exploration_failure,import_cost|policy_reversal|exploration|margin,false,false,"Energy-security policy can be Stage 1/2, but company revenue or margin path is required."
MARKET_STRUCTURE_SHORT_SELLING_POLICY,POLICY_GEOPOLITICAL_EVENT,MARKET_STRUCTURE_SHORT_SELLING_POLICY,WATCH_YELLOW_FIRST,16,4,14,6,12,18,6,short_selling_ban_extension|illegal_short_selling_monitoring|retail_confidence_narrative,monitoring_system_adopted|rule_change_confirmed|violating_institutions_fined|resumption_schedule_confirmed,brokerage_revenue_or_roe_link|trading_value_sustained|company_eps_fcf_conversion,high_beta_short_squeeze|growth_basket_indiscriminate_rally,short_selling_resumption|valuation_compression|foreign_hedge_activity_returns|msci_accessibility_issue,brokerage_revenue_or_roe_link|trading_value_sustained|company_eps_fcf_conversion,short_selling_resumption|valuation_compression|foreign_hedge_activity_returns|msci_accessibility_issue,fundamental_link_missing|price_only_squeeze|resumption|foreign_access,false,false,"Short-selling policy is a market-structure overlay, not individual company Green evidence."
SHORT_SELLING_RESUMPTION_RISK,POLICY_GEOPOLITICAL_EVENT,SHORT_SELLING_RESUMPTION_RISK,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,short_selling_ban_beneficiary|high_short_interest_growth_basket,resumption_schedule|monitoring_system,not_green_if_eps_fcf_missing,price_only_short_squeeze|high_beta_rally,short_selling_resumption|valuation_compression|liquidity_reversal,,short_selling_resumption|valuation_compression|liquidity_reversal,short_squeeze|valuation|resumption|liquidity,true,false,High-beta short-ban rallies are 4B/4C watch unless fundamentals confirm.
POLITICAL_SYSTEM_SHOCK_KOREA,POLICY_GEOPOLITICAL_EVENT,POLITICAL_SYSTEM_SHOCK_KOREA,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,martial_law|impeachment_risk|kospi_volatility|won_fx_shock,market_stabilization_fund|liquidity_support|political_resolution_path,not_company_eps_fcf_evidence,political_theme_rally_without_contract,market_wide_risk_premium_spike|foreign_outflow|currency_volatility|kospi_kosdaq_riskoff,,market_wide_risk_premium_spike|foreign_outflow|currency_volatility|kospi_kosdaq_riskoff,political_risk|fx|foreign_flow|valuation_room,true,false,Political system shock is a market-wide RedTeam overlay that temporarily cuts valuation room.
GEOPOLITICAL_ENERGY_IMPORT_SHOCK,POLICY_GEOPOLITICAL_EVENT,GEOPOLITICAL_ENERGY_IMPORT_SHOCK,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,middle_east_conflict|hormuz_risk|oil_price_shock|won_volatility,policy_response|energy_supply_stabilization|market_stabilization,not_company_structural_green_evidence,refinery_or_energy_theme_overreaction,market_circuit_breaker|exporter_riskoff|airline_petrochemical_cost_shock|won_weakness,,market_circuit_breaker|exporter_riskoff|airline_petrochemical_cost_shock|won_weakness,oil_import_dependency|fx|market_mae|input_cost,true,false,Korea is an energy importer; Hormuz or Middle East shock is a market-wide 4C overlay.
EVENT_PRICE_RALLY_NOT_STAGE3,POLICY_GEOPOLITICAL_EVENT,EVENT_PRICE_RALLY_NOT_STAGE3,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,same_day_limit_up|event_headline|basket_rally,verified_event_path|budget_or_contract_possible,not_green_without_contract_budget_revenue,price_rally_before_cashflow|theme_keyword_crowding,price_only_rally_unwinds|no_revenue_conversion|disclosure_detail_absent,,price_only_rally_unwinds|no_revenue_conversion|disclosure_detail_absent,price_only|crowding|no_revenue|detail_missing,true,false,R11 explicitly records event price rallies but blocks Stage 3 unless cash-flow evidence appears.
POLICY_DIRECTIONALITY_ERROR,POLICY_GEOPOLITICAL_EVENT,POLICY_DIRECTIONALITY_ERROR,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,policy_or_political_theme|tariff_short_selling_energy_policy|political_event,affected_company_mapping|winner_loser_split|budget_or_contract_detail,company_revenue_or_margin_link|directionality_verified,policy_theme_basket_indiscriminate_rally,policy_reversal|wrong_beneficiary_mapping|political_direction_reversal|no_company_exposure,,policy_reversal|wrong_beneficiary_mapping|political_direction_reversal|no_company_exposure,directionality|beneficiary_mapping|policy_reversal|no_exposure,true,false,The same policy can help or hurt different baskets; wrong beneficiary mapping must cap Green.
DISCLOSURE_CONFIDENCE_CAP,POLICY_GEOPOLITICAL_EVENT,DISCLOSURE_CONFIDENCE_CAP,REDTEAM_FIRST,cap,cap,cap,cap,+,cap,cap,event_headline|policy_headline|resource_or_shock_headline,budget_contract_order_detail_required|exploration_result_required|guidance_detail_required,multi_source_confirmation|detail_fields_verified|company_conversion_verified,headline_rerating,budget_detail_missing|contract_detail_missing|exploration_result_missing|guidance_missing|price_only_rally,budget_contract_order_detail|exploration_result|guidance_detail|company_conversion,budget_detail_missing|contract_detail_missing|exploration_result_missing|guidance_missing|price_only_rally,disclosure|detail|guidance|parser_confidence,false,false,"R11 headlines stay capped when budget, contract, order, exploration result, or guidance detail is missing."
