field,required_for_round179_backfill
ticker,true
company_name,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_trigger,true
stage2_trigger,true
stage3_trigger,true
stage4b_trigger,true
stage4c_trigger,true
price_at_stage1,true
price_at_stage2,true
price_at_stage3,true
price_at_stage4b,true
price_at_stage4c,true
return_20d_after_stage2,true
return_60d_after_stage2,true
return_120d_after_stage2,true
return_252d_after_stage2,true
mfe_60d_after_stage2,true
mae_60d_after_stage2,true
mfe_120d_after_stage2,true
mae_120d_after_stage2,true
mfe_252d_after_stage2,true
mae_252d_after_stage2,true
relative_strength_vs_kospi,true
relative_strength_vs_kosdaq,true
relative_strength_vs_software_basket,true
relative_strength_vs_game_basket,true
relative_strength_vs_content_basket,true
arr,true
arr_growth_yoy,true
bookings,true
bookings_growth_yoy,true
cloud_revenue,true
cloud_revenue_growth_yoy,true
ad_revenue,true
ip_adaptation_revenue,true
paid_content_revenue,true
live_service_revenue,true
fan_platform_arpu,true
op_revision_before_stage3,true
op_revision_after_stage3,true
eps_revision_before_stage3,true
eps_revision_after_stage3,true
gross_margin,true
opm,true
fcf,true
churn,true
retention,true
renewal_rate,true
contract_amount,true
strategic_investor,true
cb_or_dilution_flag,true
ipo_event_flag,true
guidance_miss_flag,true
release_delay_flag,true
lawsuit_flag,true
privacy_security_incident_flag,true
founder_legal_risk_flag,true
regulatory_pressure_flag,true
disclosure_confidence,true
valuation_at_stage3,true
valuation_at_stage4b,true
