target_id,stage1,stage2,stage3,stage4b,stage4c,production_scoring_changed
BATTERY_MATERIALS_CAPEX_OVERHEAT,ev_growth_narrative|long_term_supply_contract|capa_expansion_news,real_contract|price_margin_improvement|op_eps_revision,long_term_contract|price_pass_through|fcf_after_capex|demand_visibility,per_pbr_overheat|capa_race|target_price_crowding,ev_demand_slowdown|raw_material_price_drop|capa_overbuild|customer_line_idle,false
BATTERY_EQUIPMENT_PARTS,battery_equipment_order|cell_customer_capex|delivery_schedule_keyword,customer_order|delivery_schedule|margin_visibility,order_to_revenue_conversion|customer_diversification|op_eps_revision,equipment_capex_cycle_crowded|cell_capex_peak,customer_capex_cut|delivery_delay|margin_miss,false
BATTERY_RECYCLING_ESS_SHIFT,ess_shift|battery_recycling|lfp_ess_production|solid_state_battery_keyword,ess_customer_contract|capacity_utilization|recycling_volume|metal_recovery_revenue,recurring_ess_or_recycling_fcf|margin_visible|ev_slowdown_offset,ess_narrative_crowded|recycling_premium_overheat,recycling_volume_shortfall|metal_price_drop|utilization_drop|ev_demand_slowdown,false
EV_INFRASTRUCTURE,charging_station|charger_installation|ev_infrastructure_policy,utilization|recurring_revenue|subsidy_visibility,profitable_utilization|repeat_revenue|subsidy_independent_margin,ev_charging_theme_crowded,low_utilization|subsidy_cut|fire_regulation|maintenance_cost,false
HYDROGEN_FUEL_CELL_INFRA,hydrogen_fuel_cell_factory|hydrogen_policy|electrolyzer_or_commercial_vehicle,customer_or_demand_source|production_capacity|delivery_contract,utilization|op_eps_conversion|subsidy_independent_economics,hydrogen_theme_overheat,subsidy_cut|customer_absent|low_utilization|project_delay,false
SOLAR_TARIFF_SUPPLYCHAIN,solar_factory|subsidy_policy|module_or_cell_demand,utilization|customer_contract|supply_chain_stable|op_turnaround,subsidy_independent_fcf|supply_chain_clean|margin_visible,solar_manufacturing_narrative_crowded|subsidy_premium,tariff_risk|customs_detention|uflpa_detention|subsidy_cut|worker_furlough,false
RENEWABLE_ENERGY_POLICY,wind_or_renewable_project|carbon_policy|renewable_power_policy,permitted_project|funding_visible|cost_schedule_visible,project_economics|op_eps_conversion|cost_controlled,renewable_policy_crowded|project_premium,permitting_delay|financing_cost|cost_overrun|project_delay|impairment,false
ENERGY_DISTRIBUTION_FUEL,lng_or_lpg_distribution|fuel_spread|energy_price_move,spread_improvement|inventory_status|demand_visibility,repeat_spread_margin|fcf_defense|capital_allocation_disciplined,fuel_spread_crowded,energy_price_reversal|inventory_loss|tariff_or_policy_shock,false
WASTE_RECYCLING_ENVIRONMENT,waste_treatment_platform|recycling_demand|permit_value|waste_to_energy,treatment_volume|long_term_contract|utilization|fcf_visible,permit_asset|recurring_fcf|valuation_frame_change|mna_value_support,waste_mna_premium_crowded|permit_value_fully_priced,utilization_drop|capex_burden|metal_price_drop|regulatory_cost,false
CARBON_CREDIT_CBAM_COMPLIANCE,eu_ets_or_cbam_policy|carbon_accounting|compliance_monitoring,carbon_accounting_revenue|verification_revenue|low_carbon_product_premium,recurring_compliance_revenue|cost_pass_through|industrial_customer_base,carbon_price_theme_crowded,carbon_price_drop|free_allowance_expansion|greenwashing_risk|policy_delay,false
DATA_CENTER_WATER_REUSE_INFRA,ai_datacenter_water_use|water_reuse|closed_loop_cooling|water_treatment,data_center_customer|reuse_project|contracted_revenue,repeat_water_reuse_revenue|margin_visible|local_permit_support,water_reuse_theme_crowded,customer_absent|local_opposition|unit_economics_weak,false
EV_FIRE_RISK_OVERLAY,ev_fire|battery_recall|insurance_cost|regulatory_investigation,risk_event_detected,not_applicable_gate_only,not_applicable_gate_only,recall|fire_regulation|insurance_cost_spike|plant_shutdown|customer_loss,false
