target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,hard_gate,production_scoring_changed
GLASS_SUBSTRATE_ADVANCED_PACKAGING_KOREA,glass_substrate|advanced_packaging|ai_server_packaging|hpc_or_defense_application,chips_grant|georgia_covington_facility|test_batch_production|production_ramp_plan,customer_qualification|yield_visible|commercial_shipment|revenue_recognition|opm_fcf_visible,glass_substrate_basket_rally|customer_yield_missing_rally,customer_missing|yield_failure|shipment_delay|capex_return_unclear,customer_missing|yield_missing|revenue_missing|capex_risk,false,false
SYSTEM_SEMI_DESIGN_HOUSE_AI_ORDER,system_semi|ai_chip_design_house|samsung_2nm|npu_or_hpc_chip,customer_name|design_role_confirmed|advanced_packaging_included|tapeout_or_order_reference,order_size_visible|revenue_recognition|repeat_nre_or_royalty|mass_production|op_eps_revision,design_win_price_rally_without_order_size|2nm_ai_chip_keyword_crowded,order_size_undisclosed|revenue_missing|foundry_execution_risk|tapeout_delay,order_size_missing|revenue_missing|single_customer|foundry_execution_risk,false,false
HBM_TEST_EQUIPMENT_KOREA,hbm_test|memory_test_handler|cube_prober|wafer_test|sk_hynix_capex,customer_capex|actual_equipment_order|shipment_schedule|hbm_test_exposure,customer_order_conversion|op_eps_revision|shipment_to_revenue|repeat_order|60d_mfe_20pct,hbm_test_theme_crowded|price_before_order|basket_rotation,order_missing|shipment_delay|customer_capex_delay|op_eps_revision_down,actual_order_missing|shipment_missing|price_only_rally|capex_delay,false,false
ADVANCED_PACKAGING_EQUIPMENT_BASKET,advanced_packaging_equipment|wafer_bonding|underfill|die_attach|post_bond_inspection,customer_qualification|equipment_order|shipment_schedule|spinoff_focus,actual_customer|order_value|shipment_revenue|margin_visible|op_eps_revision,packaging_equipment_keyword_rally|spinoff_price_ahead_of_orders,actual_order_missing|governance_allocation_risk|share_price_failed|shipment_delay,order_missing|governance_risk|allocation_unclear|price_failed,false,false
AI_SERVER_PCB_SUBSTRATE_SECOND_WAVE,ai_server_pcb|high_layer_pcb|fc_bga|server_board|accelerator_board,ai_server_customer_demand|substrate_or_pcb_order_signal|inventory_normalization|asp_signal,asp_confirmation|op_eps_revision|customer_diversification|server_auto_mix|price_path_aligned,ai_server_parts_keyword_rally|inventory_not_cleared_rally,inventory_risk|customer_concentration|op_eps_missing|smartphone_cycle_drag,inventory_risk|customer_concentration|op_eps_missing|price_only_rally,false,false
MLCC_AI_SERVER_COMPONENTS,mlcc|ai_server_component|semiconductor_substrate|automotive_electronics|camera_module,component_mix_improvement|asp_signal|inventory_signal|ai_server_or_auto_mix,asp_confirmation|inventory_normalized|op_eps_revision|customer_mix_improvement,mlcc_ai_server_keyword_rally|smartphone_weakness_ignored,inventory_build|asp_missing|smartphone_weakness|customer_concentration,inventory_risk|asp_missing|smartphone_cycle|customer_concentration,false,false
CAMERA_LIDAR_ADAS_ELECTRONICS,camera_module|lidar|adas|robotics_sensor|ar_headset_sensor,strategic_collaboration|equity_stake|design_win_option|sensor_capacity_expansion,commercial_revenue|customer_design_win|mass_production|op_eps_revision|apple_concentration_relief,lidar_name_rally_without_revenue|strategic_investment_priced_as_contract,direct_revenue_missing|apple_concentration|adas_adoption_delay|commercialization_delay,direct_revenue_missing|customer_adoption_missing|apple_concentration,false,false
ON_DEVICE_AI_THEME_KOREA,on_device_ai|lpddr|video_ip|automotive_ap|npu|cxl,design_win|license|customer_pilot|adoption_signal,mass_production_revenue|royalty_or_license_revenue|op_eps_revision|repeat_customer,price_only_theme|npu_keyword_crowded|cxl_keyword_crowded,direct_revenue_missing|adoption_missing|customer_detail_missing|op_eps_revision_missing,theme_only|direct_revenue_missing|adoption_missing|price_only_rally,false,false
SEMI_CAPEX_ORDER_TO_REVENUE,semi_capex|memory_capex|foundry_capex|process_equipment,customer_capex_plan|equipment_order|shipment_schedule|order_backlog,shipment_to_revenue|op_eps_revision|repeat_order|margin_visible|60d_mfe_20pct,capex_cycle_keyword_rally|order_priced_before_revenue,customer_capex_delay|order_pushout|inventory_build|op_eps_revision_down,capex_delay|order_pushout|op_eps_missing|price_only_rally,false,false
IP_LEAK_SUPPLY_CHAIN_REDTEAM,k_memory_moat|hbm_process_advantage|supply_chain_premium,ip_leak_report|china_memory_catchup_risk|process_technology_disclosure,not_green_until_moat_and_customer_confidence_reconfirmed,moat_priced_without_ip_risk,ip_leak|china_cxmt_catchup|customer_confidence_damage|valuation_room_reduced,ip_leak|china_catchup|customer_confidence_damage,true,false
LABOR_PRODUCTION_DISRUPTION_OVERLAY,samsung_supply_chain|memory_production|ai_datacenter_chip_supply,strike_notice|production_disruption_risk|delivery_delay_risk,not_green_until_disruption_resolved_and_delivery_evidence_recovered,positive_supply_chain_story_ignores_production_risk,labor_disruption|production_delay|delivery_delay|customer_capex_delay|op_eps_revision_down,labor_disruption|production_delay|delivery_delay,true,false
DISCLOSURE_CONFIDENCE_CAP,opendart_list_only|media_report|mou|loi|design_win_headline,detail_fetch_required|customer_amount_period_shipment_margin_required,not_green_until_binding_detail_and_eps_fcf_path,headline_priced_before_detail,customer_missing|order_size_missing|duration_missing|shipment_missing|margin_unknown|non_binding,opendart_list_only|media_only|mou_loi|non_binding|detail_missing,false,false
