case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
copper_ai_grid_korea_basket_stage2_cap_case,COPPER_AI_GRID_KOREA,LS/001440/000500/103590,LS / Daehan Cable / Gaon Cable / Poongsan copper-grid basket,KR,success_candidate,COPPER_AI_GRID_KOREA,WATCH_YELLOW_FIRST,2025-12-12,2025-12-12,,,,copper_up_35pct|copper_11952_usd_per_ton|ai_data_center_demand|power_grid_demand|mine_disruption|individual_order_backfill_needed,individual_order_missing|opm_missing|fcf_missing|commodity_cycle_risk|price_only_rally_risk,macro_bottleneck_stage1_2_individual_stage3_cap,needs_krx_price_and_revision_backfill,false,"Copper AI-grid is a real macro bottleneck, but Korean individual wires/processors need order backlog, pass-through, OPM, and FCF before Stage 3."
poongsan_copper_defense_mna_unwind_case,COPPER_PROCESSING_PLUS_DEFENSE,103140,Poongsan copper processing plus defense event,KR,4c_thesis_break,COPPER_PROCESSING_PLUS_DEFENSE,WATCH_YELLOW_FIRST,2026-04-03,2026-04-03,,,2026-04-09,copper_products|ammunition_business|hanwha_bid_report|estimated_1_5tn_won_sale_value|mna_premium,hanwha_review_dropped|poongsan_sale_denial|final_sale_missing|event_premium_unwind,stage2_event_then_4c_unwind,needs_price_backfill,false,"Poongsan is the clean R4 training case: copper plus ammo can reach Stage 2, but M&A rumor must unwind when review is dropped and sale is denied."
oci_holdings_spacex_polysilicon_report_cap_case,POLYSILICON_NON_CHINA_SUPPLY_OPTION,010060,OCI Holdings non-China polysilicon / SpaceX talks,KR,event_premium,POLYSILICON_NON_CHINA_SUPPLY_OPTION,WATCH_YELLOW_FIRST,2026-04-14,,,,,oci_terrasus_malaysia_polysilicon|spacex_supply_talks_reported|non_china_polysilicon|ira_subsidy_qualification_option|media_report_only,company_confirmation_missing|contract_amount_missing|supply_period_missing|volume_missing|polysilicon_cycle_risk,report_not_contract_cap,needs_price_backfill,false,"OCI non-China polysilicon can route research, but SpaceX talks are not Stage 3 without confirmed amount, period, volume, ASP, and OPM."
steel_tariff_directionality_korea_case,STEEL_TARIFF_EVENT_KOREA,005490/004020/016380,POSCO Holdings / Hyundai Steel / KG Steel tariff directionality,KR,event_premium,STEEL_TARIFF_EVENT_KOREA,WATCH_YELLOW_FIRST,2024-04-17,,,,,china_steel_tariff_event|posco_intraday_6_5pct|hyundai_steel_intraday_6_0pct|kg_steel_intraday_8_9pct|tariff_direction_matters,all_import_tariff_can_reverse|export_exposure|opm_missing|volume_missing|event_only,tariff_directionality_required,needs_exact_stage_date_backfill,false,"Steel tariff scoring must split China-only tariffs from all-import tariffs. Directionality is the evidence, not the word tariff."
seah_steel_export_tariff_4c_case,STEEL_EXPORT_TARIFF_4C,306200/003030,SeAH Steel export tariff shock,KR,4c_thesis_break,STEEL_EXPORT_TARIFF_4C,REDTEAM_FIRST,2025-06-02,,,,2025-06-02,us_steel_aluminum_tariff_50pct|korea_major_steel_exporter|seah_steel_price_drop_8pct|direct_export_tariff_hit,direct_export_tariff|us_export_exposure|local_production_absent_or_unproven|price_path_down,direct_tariff_4c_price_path_aligned,needs_exact_stage_date_backfill,false,SeAH Steel is the clean price-path 4C check: a direct tariff hit matters more than generic steel price upside.
specialty_steel_us_localization_option_case,SPECIALTY_STEEL_US_LOCALIZATION_OPTION,003030/058650,SeAH specialty steel US localization option,KR,success_candidate,SPECIALTY_STEEL_US_LOCALIZATION_OPTION,WATCH_YELLOW_FIRST,,,,,,steel_pipe|octg|seah_steel_usa|offshore_wind_foundation|us_localization_option|energy_infrastructure,local_volume_missing|margin_missing|tariff_offset_unproven|op_eps_missing,localization_watch_until_volume_margin,needs_case_backfill,false,"US localization can reduce tariff risk, but Stage 3 needs local revenue, margin, OP/EPS, and FCF."
lithium_rare_earth_price_only_theme_case,LITHIUM_PRICE_EVENT_KOREA,005490/001570/101670/047400/081150,POSCO Holdings / Kumyang / Hydro Lithium / Union Materials / Tplex price-only themes,KR,event_premium,LITHIUM_PRICE_EVENT_KOREA,REDTEAM_FIRST,,,,,,lithium_price_rebound|rare_earth_export_control|resource_security_narrative|theme_basket_rally,actual_offtake_missing|production_volume_missing|op_eps_fcf_missing|cb_bw_risk|price_only_rally,price_only_commodity_theme_cap,needs_case_backfill,false,"Lithium and rare-earth Korea themes stay Stage 1/4B-watch before actual offtake, production, revenue, and FCF."
rare_earth_theme_korea_stage1_case,RARE_EARTH_THEME_KOREA,047400/081150/037370,Union Materials / Tplex / EG rare-earth theme,KR,overheat,RARE_EARTH_THEME_KOREA,REDTEAM_FIRST,,,,,,rare_earth_export_control|magnet_ferrite_stainless_specialty_keywords|event_rally_possible,actual_rare_earth_revenue_missing|supply_contract_missing|offtake_missing|price_only_theme,rare_earth_theme_watch_red_until_revenue,needs_case_backfill,false,"Rare-earth keyword exposure can route research but cannot become Stage 3 without revenue, offtake, and FCF."
chemical_spread_korea_watch_red_case,CHEMICAL_SPREAD_KOREA,004000/009830/010060,Lotte Fine Chemical / Hanwha Solutions / OCI chemical spread watch,KR,failed_rerating,CHEMICAL_SPREAD_KOREA,REDTEAM_FIRST,,,,,,chemical_spread_signal|polysilicon_or_chemical_price|volume_margin_backfill_needed,china_capacity_risk|spread_reworsens|inventory_loss_risk|volume_missing|op_revision_missing,chemical_spread_watch_red_until_durable_margin,needs_case_backfill,false,"Chemical spread recovery must show durable spread, volume, OPM, and FCF before Stage 3."
disclosure_confidence_materials_cap_case,DISCLOSURE_CONFIDENCE_CAP,KR_MATERIALS_BASKET,Korea materials disclosure confidence cap,KR,failed_rerating,DISCLOSURE_CONFIDENCE_CAP,REDTEAM_FIRST,,,,,,headline_contract_or_media_report|detail_fetch_required|counterparty_amount_period_volume_price_floor_required,detail_missing|company_confirmation_missing|terms_missing|margin_unknown|stage_prices_missing,detail_missing_cap,not_price_applicable,false,"OpenDART list or media headline is not enough; missing counterparty, amount, period, volume, price floor, or margin caps Stage 3."
