case_id,score_stage,price_path_signal,verdict,normalization_adjustment,production_scoring_changed
korea_commercial_act_treasury_cancel_case,Stage 1~2 macro tailwind,Korea value-up policy tailwind; individual stock Green not proven,policy direction is useful but not company-level Stage 3,"add macro policy credit; require individual cancellation, ROE/PBR, credit/capital stability for Stage 3",false
sk_square_buyback_cancel_case,Stage 2,"NAV discount, actual cancellation, additional buyback/cancel plan, independent director",execution evidence is strong; OHLCV backfill still required,raise NAV discount plus actual cancellation plus governance execution credit,false
samsung_electronics_treasury_cancel_case,Stage 2 failed rerating,treasury cancellation announced; event-day price reportedly -5.2%,buyback/cancellation-only false positive was correctly exposed,"strengthen business EPS/FCF, ROE/PBR, and execution-quality gate after cancellation",false
hana_bank_dunamu_stake_case,Stage 2,Hana Bank 6.55% Dunamu stake and Upbit market-share visibility,"digital-asset stake visibility improved, but Stage 3 income is unproven","raise bank digital-asset stake visibility; cap Stage 3 until equity-method income, collaboration revenue, regulation, and security pass",false
circle_usdc_stablecoin_earnings_case,Stage 2~3 candidate + 4B-watch,reserve income/circulation grew; shares up after earnings and more than 3x IPO price,regulated stablecoin structure was captured and 4B risk is high,"raise regulated stablecoin infra credit; strengthen valuation, rate, issuer-margin, redemption, and regulation gates",false
samsung_ct_activist_rejection_case,4C-watch,activist proposal rejection followed by roughly -10% price path in cited source,governance execution gate matched the failure,"strengthen activist rejection, minority protection, no-cancellation, and controlling-shareholder penalties",false
korea_pf_credit_cost_overlay_case,sector hard cap,PF delinquency rose to 2.70%; bank/insurance support facilities were needed,PF and credit cost are hard gates for value-up,raise credit-cost/PF penalty and require CET1/K-ICS/reserve stability before Green,false
clear_street_ipo_valuation_cut_case,4C-watch,IPO size cut by 65%; valuation target reduced from about $11.8B to $7.2B,fintech IPO optionality cap matched the business path,"strengthen IPO valuation, market-window, crypto-exposure, take-rate, and FCF gates",false
bybit_exchange_hack_case,hard 4C,$1.5B exchange hack attributed by FBI to North Korea,exchange security gate must dominate exchange market-share stories,add operational security hard gate for digital-asset exchange and bank stake exposure,false
terrausd_do_kwon_case,hard 4C,$40B algorithmic stablecoin collapse and fraud case,algorithmic stablecoin separation is mandatory,keep algorithmic stablecoin as hard RedTeam and separate it from regulated fiat-backed stablecoin,false
boe_stablecoin_rules_reconsider_case,4C-watch,user cap and unremunerated reserve requirement discussion can compress issuer economics,stablecoin regulation can change the margin model,"strengthen user-cap, reserve requirement, issuer margin, and bank-deposit disintermediation gates",false
ai_citizen_dividend_policy_shock_case,4C-watch,KOSPI reportedly fell intraday -5.1% and closed -2.3% after AI windfall/citizen-dividend policy comments,policy shock can break crowded 4B price paths before direct EPS damage appears,"strengthen crowded-trade, policy-comment, market-wide selloff, and valuation-room penalties",false
