target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,hard_gate,production_scoring_changed
EV_TO_ESS_CAPACITY_REDEPLOYMENT_KOREA,ev_slowdown|ess_battery|data_center_power|ira_ampc,ess_production_expansion|investment_delay|line_redeployment|quarterly_profit_improvement,ess_revenue_growth|profit_ex_subsidy_improves|utilization_recovery|fcf_improvement|customer_diversification,ess_keyword_rally_before_ex_subsidy_profit|policy_credit_priced_as_core_profit,ev_slowdown_persists|subsidy_dependency|contract_cancellation|plant_ramp_delay,profit_ex_subsidy_weak|utilization_missing|ev_slowdown|contract_cancellation,false,false
BATTERY_CONTRACT_CANCELLATION_4C,battery_supply_contract|ev_customer_demand|long_term_contract,contract_cancellation_identified|customer_strategy_shift,not_green_until_customer_strategy_and_utilization_recovered,battery_contract_value_priced_without_customer_strategy_risk,contract_cancelled|expected_revenue_loss|customer_ev_model_cancelled|utilization_ramp_delay,contract_cancelled|customer_strategy_risk|revenue_loss|expected_revenue_loss,true,false
BATTERY_TAX_CREDIT_QUALITY_OVERLAY,ira_ampc|tax_credit_profit|reported_op_improvement,profit_ex_subsidy_disclosed|subsidy_dependence_measured,not_green_until_profit_ex_subsidy_or_fcf_improves,tax_credit_drives_price_before_core_margin,profit_ex_subsidy_weak|subsidy_policy_change|core_opm_missing,profit_ex_subsidy_weak|policy_dependency|core_margin_missing,false,false
SEPARATOR_EV_DEMAND_CYCLE,separator|ev_battery_material|sk_on_volume,customer_shipment|capa|utilization_signal,utilization_recovery|opm_improvement|customer_diversification|fcf_signal,separator_keyword_rally_ignores_ev_slowdown,sale_review|ev_demand_slowdown|parent_loss|utilization_risk,sale_review|ev_slowdown|parent_loss|utilization_missing,false,false
COPPER_FOIL_EV_DEMAND_CYCLE,copper_foil|ev_battery_material|customer_capa,customer_contract|utilization_signal|spread_or_asp_signal,utilization_recovery|opm_improvement|customer_diversification|fcf_signal,copper_foil_theme_rally_without_utilization,ev_slowdown|utilization_missing|asp_pressure|customer_concentration,ev_slowdown|utilization_missing|opm_missing,false,false
ELECTROLYTE_CAPA_SUPPLYCHAIN,electrolyte|battery_chemicals|capa_expansion,customer_contract|production_start|capa_visibility,opm_improvement|utilization_recovery|customer_diversification|fcf_signal,electrolyte_capa_keyword_rally,customer_missing|opm_missing|utilization_missing|raw_material_cost,customer_missing|opm_missing|capa_before_demand,false,false
BATTERY_EQUIPMENT_CAPEX_CYCLE,battery_equipment|cell_equipment|customer_capex,equipment_order|customer_name|shipment_schedule|capex_plan,shipment_revenue|op_eps_revision|repeat_order|margin_visible,equipment_order_priced_before_delivery,customer_capex_delay|order_pushout|ev_demand_slowdown|op_eps_missing,capex_delay|order_pushout|shipment_missing,false,false
BATTERY_RECYCLING_UNIT_ECONOMICS,battery_recycling|black_mass|metal_recovery|closed_loop,collection_volume|customer_contract|metal_price_context,unit_economics_positive|recovery_volume|opm_improvement|fcf_signal,recycling_theme_rally_without_unit_economics,metal_price_decline|collection_volume_missing|margin_missing|policy_only,unit_economics_missing|metal_price_risk|volume_missing,false,false
SODIUM_ION_NEXTGEN_MATERIALS,sodium_ion|nextgen_battery|low_cost_ess|low_speed_ev,strategic_development_partner|target_market_defined|commercialization_timeline,commercial_customer|material_supply_contract|mass_production_revenue|opm_fcf_visible,sodium_ion_keyword_rally_without_revenue,commercial_customer_missing|revenue_missing|cost_advantage_unproven|technology_substitution_risk,commercial_customer_missing|revenue_missing|cost_advantage_unproven,false,false
HYDROGEN_FUEL_CELL_INFRA_KOREA,hydrogen_fuel_cell|sofc|ai_data_center_power|electrolyzer,mass_production|factory_capacity_mw|sales_plan|hydrogen_capa_investment,revenue_recognition|repeat_service|opm_fcf_improvement|data_center_customer,hydrogen_ai_power_keyword_rally,customer_missing|profitability_missing|subsidy_dependence|infrastructure_gap,customer_missing|opm_missing|subsidy_dependence,false,false
