target_id,priority,canonical_archetype,query,purpose,guardrail
K_BEAUTY_OEM_ODM_EXPORT,GREEN_VALIDATION,K_BEAUTY_EXPORT_DISTRIBUTION,K뷰티 ODM 수출 OPM ROE PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
K_BEAUTY_OEM_ODM_EXPORT,GREEN_VALIDATION,K_BEAUTY_EXPORT_DISTRIBUTION,화장품 미국 일본 채널 확장 반복 주문 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
MEDICAL_DEVICE_EXPORT,GREEN_VALIDATION,MEDICAL_DEVICE_HEALTHCARE_EXPORT,의료기기 수출 소모품 반복매출 OPM PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
MEDICAL_DEVICE_EXPORT,GREEN_VALIDATION,MEDICAL_DEVICE_HEALTHCARE_EXPORT,미용의료기기 허가 수출국 확장 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
CDMO_CONTRACT_UTILIZATION,GREEN_VALIDATION,CDMO_HEALTHCARE_CONTRACT,CDMO 장기계약 가동률 FCF 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
CDMO_CONTRACT_UTILIZATION,GREEN_VALIDATION,CDMO_HEALTHCARE_CONTRACT,바이오의약품 위탁생산 capacity utilization PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
INSURANCE_UNDERWRITING_VALUEUP,GREEN_VALIDATION,FINANCIAL_SPREAD_BALANCE_SHEET,손해보험 ROE CSM 주주환원 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
INSURANCE_UNDERWRITING_VALUEUP,GREEN_VALIDATION,FINANCIAL_SPREAD_BALANCE_SHEET,금융지주 ROE PBR CET1 자사주 소각 PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
AI_DATA_CENTER_POWER_GRID,GREEN_VALIDATION,AI_DATA_CENTER_INFRASTRUCTURE,AI 데이터센터 전력 설비 수주 EPS 상향 PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
AI_DATA_CENTER_POWER_GRID,GREEN_VALIDATION,AI_DATA_CENTER_INFRASTRUCTURE,AI 서버 PCB 전력망 병목 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
SEMI_EQUIPMENT_PCB,GREEN_VALIDATION,SEMI_EQUIPMENT_CAPEX,HBM 장비 수주 고객사 CAPEX 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
SEMI_EQUIPMENT_PCB,GREEN_VALIDATION,SEMI_EQUIPMENT_CAPEX,AI 서버 PCB 수주 매출 전환 PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
BATTERY_EV_OVERHEAT_ESS_SHIFT,REDTEAM_DEFENSE,BATTERY_MATERIALS_CAPEX_OVERHEAT,2차전지 EV 수요 둔화 CAPA 과잉 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
BATTERY_EV_OVERHEAT_ESS_SHIFT,REDTEAM_DEFENSE,BATTERY_MATERIALS_CAPEX_OVERHEAT,ESS 전환 배터리 가동률 마진 PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
CHEMICAL_SPREAD_OVERSUPPLY,REDTEAM_DEFENSE,COMMODITY_SPREAD,석유화학 중국 공급과잉 영업손실 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
CHEMICAL_SPREAD_OVERSUPPLY,REDTEAM_DEFENSE,COMMODITY_SPREAD,화학 spread reversal inventory loss PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
CONSTRUCTION_PF_CREDIT,REDTEAM_DEFENSE,CONSTRUCTION_REAL_ESTATE_CREDIT,건설 PF 리스크 현금흐름 원가율 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
CONSTRUCTION_PF_CREDIT,REDTEAM_DEFENSE,CONSTRUCTION_REAL_ESTATE_CREDIT,해외 플랜트 수주 마진 PF 부실 PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
SHIPPING_FREIGHT_BOOM_BUST,REDTEAM_DEFENSE,SHIPPING_FREIGHT_CYCLE,해운 운임 overcapacity 4C 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
SHIPPING_FREIGHT_BOOM_BUST,REDTEAM_DEFENSE,SHIPPING_FREIGHT_CYCLE,컨테이너 운임 계약운임 spot rate PDF,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
DIGITAL_ASSET_TOKENIZATION,REDTEAM_DEFENSE,THEME_VALUATION_OVERHEAT,스테이블코인 STO 규제 수익모델 거래량 리포트,case_success_counterexample_deep_search,do_not_use_theme_or_case_label_as_score_evidence
