target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop2_penalty_axes,gate_only,production_scoring_changed
EXPORT_RECURRING_CONSUMER,export_growth|k_food_ramen_viral|capa_expansion|overseas_channel_news,asp_change|us_europe_shipments|op_revision_1q|eps_revision_1q,repeat_orders|channel_sell_through|opm_improvement|fy1_fy2_eps_revision|inventory_stable,k_food_rerating_crowded|single_product_story_overpriced|capacity_expansion_priced,recall_flag|food_safety_flag|country_sales_ban|inventory_growth|channel_stuffing,single_product_dependency|recall_flag|inventory_growth|channel_stuffing,single_product|recall|inventory|channel_stuffing,false,false
K_BEAUTY_EXPORT_DISTRIBUTION,us_japan_export_growth|k_beauty_viral|brand_awareness|amazon_sales_growth,sephora_ulta_target_costco_channel|offline_channel_entry|op_eps_revision|us_sales_ratio,sell_through|reorder_signal|opm_improvement|china_dependency_down|receivables_stable,k_beauty_group_overheated|indie_brand_valuation_surge|channel_entry_priced,tariff_flag|inventory_growth|receivables_growth|china_channel_slowdown|sell_through_failure,tariff|china_dependency|inventory_growth|receivables_growth|sell_through_failure,tariff|sell_through|inventory|receivables,false,false
BEAUTY_OEM_ODM_SUPPLYCHAIN,global_k_beauty_order_growth|brand_customer_growth|production_utilization,customer_diversification|repeat_orders|capacity_utilization|opm_improvement,overseas_customer_diversification|repeat_orders|eps_fcf_bodyweight_change|receivables_stable,beauty_supply_chain_premium_crowded,customer_sell_through_slowdown|inventory_growth|receivables_growth|customer_concentration,inventory_growth|receivables_growth|customer_concentration|sell_through_failure,customer_diversification|inventory|receivables,false,false
RETAIL_CONVENIENCE_OFFLINE,same_store_sales_growth|pb_mix|store_count|overseas_store,store_profitability|pb_mix_ratio|opm_improvement|fcf_stability,same_store_sales|store_profitability|pb_mix|fcf_stability,store_count_story_crowded|defensive_retail_premium_full,same_store_sales_slowdown|rent_wage_pressure|store_density_competition,store_count_only|rent_pressure|wage_pressure|store_density,sssg|pb_mix|store_profitability,false,false
RETAIL_ECOMMERCE_LOGISTICS,gmv_growth|logistics_network_expansion|customer_count_growth,logistics_cost_ratio_down|opm_improvement|fcf_improvement,repeat_customers|cost_leverage|low_regulatory_risk|low_data_security_risk,scale_narrative_crowded|fcf_ignored,data_breach|supplier_regulation|payment_delay|logistics_cost_increase|fcf_deterioration,data_breach|supplier_pressure|payment_delay|trust_damage|regulatory_investigation,data_security|supplier_regulation|logistics_cost|fcf,false,false
ECOMMERCE_FRESH_LOGISTICS,fresh_food_delivery_growth|cold_chain_expansion|repeat_order_growth|ipo_expectation,unit_economics_improvement|waste_rate_control|delivery_cost_control|op_turnaround,repeat_order|cold_chain_efficiency|op_fcf_turnaround|low_waste_rate,fresh_logistics_growth_story_crowded|listing_expectation_premium,delivery_cost_increase|waste_rate_spike|delayed_profitability|cash_burn,cash_burn|waste_rate|delivery_cost|profitability_delay,waste_rate|delivery_cost|cash_burn,false,false
APPAREL_FAST_FASHION_BRAND_OEM,brand_momentum|fast_fashion_growth|oem_order_growth|overseas_channel,inventory_turnover|discount_rate_control|order_visibility|opm_improvement,repeat_orders|inventory_turnover|brand_pricing_power|fcf_improvement,fashion_brand_hype_crowded|fast_fashion_growth_priced,ip_litigation|product_safety_regulation|supplier_exclusivity_dispute|inventory_markdown|customs_scrutiny,ip_litigation|product_safety|supplier_exclusivity|inventory_markdown|customs_scrutiny,inventory|ip_litigation|product_safety|customs,false,false
HOME_LIVING_APPLIANCE_RENTAL,rental_accounts_growth|overseas_accounts_growth|new_product_launch,rental_churn_stable|filter_service_revenue|recurring_service_revenue_ratio|opm_fcf_improvement,recurring_revenue_over_hardware_cycle|low_churn|service_margin|fcf_improvement,rental_account_growth_crowded,replacement_demand_slowdown|hardware_sales_ratio_high|housing_cycle_down|dividend_suspension,hardware_cycle|housing_cycle|consumer_sentiment|dividend_suspension|churn_rise,rental_accounts|churn|service_revenue|hardware_cycle,false,false
HOME_CHILD_EDUCATION,kids_product_growth|education_or_childcare_theme|household_product_news,recurring_demand|channel_expansion|opm_improvement,subscription_or_repeat_purchase|policy_risk_low|fcf_path,kids_theme_crowded,low_birth_rate_tam_decline|policy_regulation|one_off_product_cycle|inventory_growth,low_birth_rate|tam_decline|policy_regulation|inventory_growth,birth_rate|tam|policy|inventory,false,false
CONSUMER_REGULATED_PRODUCT,regulated_consumer_product_approval|new_market_access|policy_change,legal_revenue|distribution_approval|margin_visibility,regulated_market_open|repeat_revenue|low_social_backlash,regulated_product_theme_crowded,license_reversal|social_backlash|product_safety_issue|regulatory_ban,regulatory_ban|social_backlash|product_safety_issue,approval|public_health|regulatory_ban,false,false
FOOD_SAFETY_RECALL_OVERLAY,recall|country_specific_sales_ban|food_safety_issue|capsaicin_or_additive_risk,risk_event_detected,not_applicable_gate_only,not_applicable_gate_only,recall_flag|country_sales_ban|food_safety_flag|single_product_concentration|viral_challenge_safety_issue,recall_flag|food_safety_flag|country_sales_ban|single_product_dependency,food_safety|recall|country_ban,true,false
DATA_SECURITY_SUPPLIER_REGULATION_OVERLAY,data_breach|supplier_pressure|payment_delay|retailer_law_violation,risk_event_detected,not_applicable_gate_only,not_applicable_gate_only,data_breach_flag|customer_trust_damage|regulatory_investigation|payment_delay|supplier_regulation,data_breach|supplier_pressure|payment_delay|regulatory_investigation,data_security|supplier_regulation|payment_delay,true,false
