field,required_for_round51_backfill
case_id,true
symbol,true
company_name,true
primary_archetype,true
secondary_archetypes,true
event_type,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_price,true
stage2_price,true
stage3_price,true
stage4b_price,true
stage4c_price,true
peak_price,true
MFE_5D,true
MFE_20D,true
MFE_60D,true
MFE_90D,true
MFE_180D,true
MAE_5D,true
MAE_20D,true
MAE_60D,true
MAE_90D,true
MAE_180D,true
drawdown_after_peak,true
below_stage1_price_flag,true
below_stage2_price_flag,true
below_stage3_price_flag,true
policy_event_flag,true
geopolitical_event_flag,true
disaster_event_flag,true
climate_event_flag,true
disease_event_flag,true
science_theme_flag,true
government_contract_flag,true
government_purchase_amount,true
stockpile_contract_flag,true
project_financing_flag,true
budget_approved_flag,true
construction_started_flag,true
revenue_visibility_flag,true
vaccine_order_doses,true
outbreak_status,true
diagnostic_sales_change,true
demand_normalization_flag,true
replication_success_flag,true
replication_failure_flag,true
peer_review_status,true
commercial_product_flag,true
customer_contract_flag,true
sanctions_relief_flag,true
military_tension_flag,true
facility_dismantle_flag,true
road_rail_destroyed_flag,true
tourism_reopening_flag,true
rebuild_project_flag,true
insurance_delay_flag,true
one_off_rebuild_flag,true
score_price_alignment,true
price_validation_status,true
