case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
bavarian_nordic_us_stockpile_contract_case,EVENT_DISEASE_PEST_DEMAND,BAVA.CO,Bavarian Nordic U.S. stockpile contract,EU,success_candidate,EVENT_DISEASE_PEST_DEMAND,REDTEAM_FIRST,2026-05-11,2026-05-11,,,,government_order|stockpile_contract|guide_up|ebitda_margin_visible,one_off_outbreak|government_purchase_end|demand_normalization,event_to_contract_stockpile_candidate,needs_price_backfill,false,"A government stockpile contract can move an outbreak case to Stage 2, but not structural Green by itself."
bavarian_nordic_mpox_emergency_case,EVENT_DISEASE_PEST_DEMAND,BAVA.CO,Bavarian Nordic mpox emergency rally,EU,event_premium,EVENT_DISEASE_PEST_DEMAND,REDTEAM_FIRST,2024-08-15,,,2024-08-16,,who_emergency|outbreak_alert|vaccine_theme_rally,one_off_outbreak|purchase_unverified|demand_normalization,outbreak_price_move_before_recurring_evidence,needs_price_backfill,false,Emergency demand can create fast price movement; recurring procurement must be checked before escalation.
ukraine_swiss_reconstruction_projects_case,GEOPOLITICAL_RECONSTRUCTION,UKRAINE_REBUILD_PROJECTS,Ukraine Swiss reconstruction project package,GLOBAL,success_candidate,GEOPOLITICAL_RECONSTRUCTION,REDTEAM_FIRST,2025-08-28,2025-08-28,,,,actual_project|project_financing|participating_company|public_infrastructure,financing_delay|geopolitical_setback|project_start_delay,funded_reconstruction_reference_candidate,needs_price_backfill,false,Funded projects are Stage 2 reference evidence; company-level contracts and margins still decide scoring.
ukraine_telecom_ebrd_ifc_case,GEOPOLITICAL_RECONSTRUCTION,UKRAINE_TELECOM_RECOVERY,Ukraine telecom EBRD IFC financing,GLOBAL,success_candidate,GEOPOLITICAL_RECONSTRUCTION,REDTEAM_FIRST,2024-10-10,2024-10-10,,,,project_financing|telecom_infrastructure|network_recovery|participating_company,war_escalation|financing_delay|insurance_delay,funded_geopolitical_infra_candidate,needs_price_backfill,false,"Financing and infrastructure recovery are better than slogans, but supplier revenue must still be verified."
heatwave_ac_grid_stress_case,CLIMATE_DISASTER_EVENT,HEATWAVE_GRID_BASKET,Heatwave air-conditioning grid stress,GLOBAL,event_premium,CLIMATE_DISASTER_EVENT,WATCH_YELLOW_FIRST,2025-07-18,,,,,heatwave|cooling_demand|grid_stress|climate_event,seasonality|weather_normalization|no_sales_conversion,climate_event_routes_to_grid_watch,needs_price_backfill,false,"Heatwaves may route research toward grid, cooling, ESS, HVAC, and transformers; the weather event alone is not Green."
north_korea_kumgang_dismantle_case,NORTH_KOREA_POLICY_EVENT,INTER_KOREA_POLICY_BASKET,North Korea Kumgang facility dismantle,KR,4c_thesis_break,NORTH_KOREA_POLICY_EVENT,REDTEAM_FIRST,2025-02-13,,,,2025-02-13,facility_dismantle|hostile_state_framing|road_rail_destroyed,facility_dismantle|military_tension|sanctions_intact|policy_reversal,inter_korea_policy_hard_counterexample,needs_price_backfill,false,Facility dismantling and military deterioration are hard RedTeam evidence for inter-Korea policy themes.
lk99_superconductor_theme_case,SPECULATIVE_SCIENCE_THEME,LK99_THEME_BASKET,LK-99 speculative science theme rally,GLOBAL,overheat,SPECULATIVE_SCIENCE_THEME,REDTEAM_FIRST,2023-07-31,,,2023-08-01,,preprint|sns_video|theme_keyword_spike|price_only_rally,preprint_only|no_commercial_product|no_customer_contract,price_moved_without_technical_or_revenue_evidence,needs_price_backfill,false,Preprint/SNS-driven price movement is a theme-overheat case before replication and customers are verified.
lk99_replication_failure_case,SPECULATIVE_SCIENCE_THEME,LK99_THEME_BASKET,LK-99 replication failure,GLOBAL,4c_thesis_break,SPECULATIVE_SCIENCE_THEME,REDTEAM_FIRST,2023-08-08,,,,2023-08-08,replication_failure|impurity_explanation|peer_review_failure,replication_failure|no_commercial_product|technical_validation_failure,speculative_science_thesis_break,needs_price_backfill,false,Replication failure is the clean 4C example for speculative-science themes.
covid_diagnostics_demand_wane_case,DIAGNOSTICS_INFECTIOUS_EVENT,COVID_DIAGNOSTICS_BASKET,COVID diagnostics demand wanes,GLOBAL,4c_thesis_break,DIAGNOSTICS_INFECTIOUS_EVENT,REDTEAM_FIRST,2025-10-15,,,,2025-10-15,diagnostic_sales_decline|testing_demand_wane|post_event_revenue_drop,testing_demand_wane|diagnostic_sales_decline|guide_down,one_off_diagnostic_demand_normalized,needs_price_backfill,false,Diagnostics revenue decline after event demand proves why COVID-style EPS spikes should not be structural Green.
california_wildfire_rebuild_material_case,DISASTER_REBUILD_EVENT,WILDFIRE_REBUILD_MATERIAL,California wildfire rebuild material donation,US,event_premium,DISASTER_REBUILD_EVENT,REDTEAM_FIRST,2026-04-01,,,,,wildfire_rebuild|material_demand|rebuild_aid,one_off_rebuild_fade|budget_delay|insurance_delay,disaster_rebuild_one_off_event,needs_price_backfill,false,"Rebuild headlines need actual orders, budget, insurance, and margin before becoming scoring evidence."
local_policy_theme_case,POLICY_LOCAL_THEME,LOCAL_POLICY_BASKET,Local policy theme basket,KR,event_premium,POLICY_LOCAL_THEME,REDTEAM_FIRST,,,,,,local_policy_headline|regional_development_theme,budget_missing|no_company_exposure|policy_reversal,policy_theme_without_budget_or_revenue,needs_price_backfill,false,"A local-policy label is routing data only until budget, contract, construction, or revenue is visible."
