case_id,score_stage,price_path_signal,verdict,normalization_adjustment,production_scoring_changed
samyang_buldak_export_rerating_case,Stage 2 -> Stage 3 candidate + 4B-watch,"OP estimate +84% YoY, target revision +26%, event-day share price +5.7%","score-stage capture is aligned, but hero-product concentration keeps 4B/recall watch","raise export, ASP, OPM, EPS-revision credit; keep single-hero, recall, and overseas inventory gates",false
kbeauty_us_export_overtake_france_case,Stage 2,US K-beauty exports surpassed France; d'Alba more than doubled after debut,"channel/export structure was captured, but sell-through and reorder are not proven","raise export/channel visibility; strengthen sell-through, reorder, inventory, and receivables gates",false
ulta_kbeauty_retail_platform_case,Stage 2,"Ulta net sales +12.9%, same-store sales +6.3%, and after-hours share price around +6%","retailer channel thesis is useful, but brand-level sell-through, reorder, and margin quality are still unverified","raise K-beauty retail-platform Stage 2 credit; keep brand-level sell-through, reorder, inventory, receivables, and OPM gates",false
apr_medicube_beauty_device_case,Stage 3 candidate + 4B-watch,APR share price more than quadrupled; overseas sales near 80%; US sales exceeded Korea,structural capture is right and 4B risk is high,"raise beauty-device export credit; strengthen valuation, safety/regulatory, tariff, CAC, and discount gates",false
medicube_ulta_tiktok_omnichannel_case,Stage 2,"Amazon Prime Day, TikTok Shop, creator network, and Ulta rollout show channel power","commerce signal is useful, but margin quality and reorder remain unverified","keep affiliate commerce as routing evidence; require CAC, creator commission, discount, reorder, and OPM checks",false
kbeauty_oem_odm_fast_beauty_case,Stage 2 reference,Cosmax/Kolmar fast-beauty supply chain supports brand growth,"structure is plausible, but individual price path and customer quality need backfill","require customer diversification, repeat orders, sell-through, inventory, and receivables before higher stages",false
coupang_data_breach_case,Stage 4C,33.7M accounts affected; premarket price reaction noted around -4.4%,trust/security gate matched the price and business risk,"strengthen data breach, disclosure, remediation, customer trust, and regulator gates",false
coupang_supplier_payment_regulation_case,4C-watch,"KFTC fine, supplier pressure, and payment-delay allegations damage margin quality",RedTeam margin-quality split is necessary,"separate logistics efficiency from supplier pressure, delayed payments, and regulation-driven margin risk",false
whirlpool_dividend_suspension_case,Stage 4C,"52-week low, large decline from 2021 peak, dividend suspension, EPS/FCF guide cuts",hardware-cycle RedTeam matched the deterioration,"strengthen hardware cycle, replacement demand, housing, guidance cut, dividend, and FCF gates",false
shein_temu_ip_litigation_case,4C-watch,IP and supplier exclusivity litigation blocks low-cost platform quality,legal gate is necessary before any growth score,"cap fast-fashion growth until IP, supplier, customs, and product-safety risks are clean",false
shein_temu_eu_product_safety_case,4C-watch,unsafe item removals and DSA/platform safety scrutiny create hard RedTeam risk,safety/regulatory gate is required,"strengthen product-safety, DSA, customs, unsafe-item, and platform-liability penalties",false
kbeauty_us_tariff_risk_case,4C-watch,US K-beauty import growth coexists with tariff/import-review risk,export growth is not enough if margin buffer breaks,"require tariff rate, price increase ability, gross-margin buffer, retailer stockpiling, and consumer-pause checks",false
