field,required_for_round187_backfill
ticker,true
company_name,true
canonical_archetype,true
case_type,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_trigger,true
stage2_trigger,true
stage3_trigger,true
stage4b_trigger,true
stage4c_trigger,true
price_at_stage1,true
price_at_stage2,true
price_at_stage3,true
price_at_stage4b,true
price_at_stage4c,true
return_1d_after_event,true
return_5d_after_event,true
return_20d_after_stage2,true
return_60d_after_stage2,true
return_120d_after_stage2,true
return_252d_after_stage2,true
mfe_20d_after_stage2,true
mae_20d_after_stage2,true
mfe_60d_after_stage2,true
mae_60d_after_stage2,true
mfe_120d_after_stage2,true
mae_120d_after_stage2,true
mfe_252d_after_stage2,true
mae_252d_after_stage2,true
relative_strength_vs_kospi,true
relative_strength_vs_kosdaq,true
relative_strength_vs_battery_basket,true
relative_strength_vs_renewable_basket,true
relative_strength_vs_hydrogen_basket,true
contract_amount,true
contract_counterparty,true
contract_period,true
gwh_mw_or_tonnage,true
production_start_date,true
revenue_recognition_timing,true
customer_name_disclosed,true
customer_strategy_risk,true
utilization_rate,true
line_conversion_flag,true
ess_revenue_signal,true
ev_revenue_signal,true
subsidy_amount,true
profit_ex_subsidy,true
ira_ampc_dependency,true
op_revision_before_stage3,true
op_revision_after_stage3,true
eps_revision_before_stage3,true
eps_revision_after_stage3,true
opm,true
fcf_signal,true
contract_cancellation_flag,true
factory_idle_or_sale_review_flag,true
customs_detention_flag,true
uflpa_risk_flag,true
wind_permit_halt_flag,true
battery_fire_flag,true
fatal_accident_flag,true
supplier_disclosure_issue_flag,true
inventory_loss_flag,true
raw_material_price_exposure,true
safety_or_quality_issue,true
dilution_event_flag,true
disclosure_confidence,true
valuation_at_stage3,true
valuation_at_stage4b,true
