case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
samyang_buldak_export_rerating_case,EXPORT_RECURRING_CONSUMER,003230,삼양식품 Buldak 수출 리레이팅,KR,success_candidate,EXPORT_RECURRING_CONSUMER,GREEN_POSSIBLE,,2024-06-14,,,,export_sales_growth|us_europe_shipments|asp_change|capa_expansion|op_revision_1q|target_price_revision,single_product_dependency|overseas_inventory_check_needed|recall_overlay_required,export_recurring_aligned,needs_price_backfill,false,"Export, ASP, capacity, OP revision, and price reaction align, but single-product and recall overlays remain required."
samyang_buldak_denmark_recall_case,FOOD_SAFETY_RECALL_OVERLAY,003230_RECALL,삼양식품 Buldak 덴마크 리콜,KR,4c_thesis_break,FOOD_SAFETY_RECALL_OVERLAY,REDTEAM_FIRST,,,,,2024-06-12,buldak_brand|single_product_concentration,recall_flag|country_sales_ban|food_safety_flag|capsaicin_or_additive_risk|viral_challenge_safety_issue,food_safety_regulatory_4c_watch,needs_price_backfill,false,A successful K-food candidate still needs country-level recall and safety overlays.
kbeauty_us_export_overtake_france_case,K_BEAUTY_EXPORT_DISTRIBUTION,KBEAUTY_US_REF,K뷰티 미국 수출 프랑스 추월,KR,success_candidate,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,,2025-06-05,,,,us_sales_growth|offline_channel_entry|sephora_ulta_target_costco_channel|amazon_sales_growth|brand_diversification,tariff_flag|china_sales_change|sell_through_unverified|brand_saturation,kbeauty_structural_success_candidate,missing_direct_symbol_mapping,false,"K-beauty export growth and channel entry route research, but sell-through and reorder are required before Green."
kbeauty_tariff_risk_case,K_BEAUTY_EXPORT_DISTRIBUTION,KBEAUTY_TARIFF_REF,K뷰티 미국 관세·중국 둔화 리스크,KR,4c_thesis_break,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,,,,,,k_beauty_export_growth|us_channel_entry,tariff_flag|china_export_decline|offline_sell_through_failure|inventory_growth|receivables_growth,kbeauty_tariff_4c_watch,needs_source_date_and_price_backfill,false,Tariff and channel failure are 4C-watch fields; the source range is month/year-level and needs exact date backfill.
apr_medicube_beauty_device_case,K_BEAUTY_EXPORT_DISTRIBUTION,278470,APR / Medicube beauty device,KR,4b_watch,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,,2025-10-20,,2025-10-20,,overseas_sales_ratio|beauty_device_revenue|social_commerce|channel_expansion|us_sales_ratio,valuation_overheat|tariff_flag|hero_product_dependency|device_tam_risk,beauty_device_4b,needs_price_backfill,false,"Beauty device export can be structurally strong, but a 4x move and valuation expansion require 4B-watch."
medicube_ulta_tiktok_omnichannel_case,K_BEAUTY_EXPORT_DISTRIBUTION,MEDICUBE_REF,Medicube Ulta / TikTok omnichannel,KR,success_candidate,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,,2026-02-13,,,,ulta_offline_channel|tiktok_shop_sales|prime_day_sales|beauty_device_units_sold|omnichannel_sell_through,publisher_profile_bias|price_backfill_needed|sell_through_quality_check_needed,omnichannel_sell_through_candidate,missing_direct_symbol_mapping,false,"Omnichannel evidence is useful, but price, OP margin, and sell-through quality need backfill."
coupang_supplier_regulation_case,DATA_SECURITY_SUPPLIER_REGULATION_OVERLAY,CPNG,Coupang 공급업체 압박·대금지연,US,4c_thesis_break,DATA_SECURITY_SUPPLIER_REGULATION_OVERLAY,REDTEAM_FIRST,,,,,2026-02-26,ecommerce_scale|supplier_network,supplier_regulation|payment_delay|retailer_law_violation|supplier_pressure|margin_sustainability_doubt,ecommerce_scale_with_trust_risk,needs_price_backfill,false,E-commerce margin must be separated from supplier pressure and payment-delay regulation.
coupang_data_breach_case,DATA_SECURITY_SUPPLIER_REGULATION_OVERLAY,CPNG_BREACH,Coupang data breach,US,4c_thesis_break,DATA_SECURITY_SUPPLIER_REGULATION_OVERLAY,REDTEAM_FIRST,,,,,,ecommerce_scale|customer_accounts,data_breach_flag|customer_trust_damage|regulatory_investigation|personal_information_leak,data_security_hard_4c,needs_source_date_and_price_backfill,false,Data breach is a hard trust break; month-level date needs exact event-day backfill.
coway_rental_recurring_case,HOME_LIVING_APPLIANCE_RENTAL,021240,Coway 렌탈·관리 반복매출,KR,success_candidate,HOME_LIVING_APPLIANCE_RENTAL,WATCH_YELLOW_FIRST,,,,,,rental_accounts|recurring_service_revenue_ratio|filter_service_revenue|overseas_accounts_growth,rental_churn_unverified|overseas_margin_unverified|governance_capital_allocation_risk,rental_recurring_success,needs_source_date_and_price_backfill,false,"Rental accounts and service revenue can separate Coway from hardware cycles, but churn and margin need backfill."
whirlpool_dividend_suspension_case,HOME_LIVING_APPLIANCE_RENTAL,WHR,Whirlpool hardware cycle 4C,US,4c_thesis_break,HOME_LIVING_APPLIANCE_RENTAL,WATCH_YELLOW_FIRST,,,,,,home_appliance_hardware,replacement_demand_collapse|housing_turnover_weakness|dividend_suspension|guidance_cut|multi_year_low_stock,hardware_cycle_failure,needs_source_date_and_price_backfill,false,Hardware replacement-cycle weakness is a 4C reference for appliance stories without rental/service recurrence.
