case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage2_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
hd_hyundai_electric_transformer_shortage_candidate,GRID_TRANSFORMER_SHORTAGE,267260,HD현대일렉트릭,KR,success_candidate,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,,,,transformer_shortage|lead_time_extended|price_increase|ai_data_center_power_demand,capa_normalization|low_margin_contract,needs_price_backfill,needs_price_backfill,false,"Transformer shortage is a structural R1 reference, but company-specific stage prices and EPS revision need backfill."
hyosung_heavy_transformer_backlog_candidate,GRID_TRANSFORMER_SHORTAGE,298040,효성중공업,KR,success_candidate,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,,,,transformer_backlog|margin_recovery|op_eps_revision_candidate,low_margin_backlog|capa_normalization,needs_price_backfill,needs_price_backfill,false,"Hyosung Heavy requires backlog-to-sales, margin recovery, and price-path validation."
hanwha_aerospace_romania_k9_success_case,DEFENSE_GOVERNMENT_BACKLOG,012450,한화에어로스페이스 루마니아 K9,KR,structural_success,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,2024-07-09,,,government_customer|multi_year_contract|delivery_schedule|order_backlog_growth|event_day_price_reaction,delivery_delay|cost_overrun|dilution,aligned_candidate,needs_price_backfill,false,"Reported event-day price reaction was positive, but 1Y/2Y MFE and EPS revision still need source backfill."
hanwha_aerospace_europe_land_arms_visibility_candidate,DEFENSE_GOVERNMENT_BACKLOG,012450,한화에어로스페이스 유럽 지상무기,KR,success_candidate,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,2024-10-07,,,europe_sales_visibility|order_backlog_growth|local_production_preference,delivery_delay|localization_cost|dilution,needs_price_backfill,needs_price_backfill,false,"European land-arms visibility strengthens defense backlog, but delivery and margin recognition remain open."
hyundai_rotem_morocco_rail_order_case,RAIL_INFRASTRUCTURE,064350,현대로템 모로코 철도 수주,KR,success_candidate,CONTRACT_BACKLOG_INDUSTRIAL,WATCH_YELLOW_FIRST,2025-02-26,,,official_contract|large_contract|delivery_schedule|foreign_customer,project_delay|margin_uncertainty|financing,unknown_until_backfill,needs_price_backfill,false,Large rail contract is Stage-2 style evidence; OP revision and 180D/1Y MFE need backfill.
korean_shipbuilders_contract_rally_case,SHIPBUILDING_OFFSHORE_BACKLOG,KR_SHIPBUILDERS,한국 조선주 수주·선가 랠리,KR,cyclical_success,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,,,,contract_wins|newbuilding_price_up|shipbuilder_group_rally,low_margin_backlog|steel_plate_cost|labor_cost,cyclical_to_structural_candidate,needs_price_backfill,false,Shipbuilding rally needs backlog-quality and margin-recognition checks before structural Green.
meta_constellation_nuclear_ppa_reference,NUCLEAR_SMR_GRID_POLICY,CEG,Meta-Constellation 원전 PPA,US,success_candidate,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,2025-06-03,,,twenty_year_ppa|ai_data_center_power_demand|carbon_free_power_visibility,regulatory_risk|ppa_price|operating_cost,korean_equity_mapping_needed,missing_kr_equity_mapping,false,"Existing nuclear PPA is stronger than SMR policy talk, but Korean equipment mapping needs direct contract evidence."
anduril_lccm_reference_case,DEFENSE_TECH_AUTONOMOUS_SYSTEMS,ANDURIL_REF,Anduril LCCM framework reference,US,success_candidate,DEFENSE_GOVERNMENT_BACKLOG,WATCH_YELLOW_FIRST,2026-05-13,,,framework_agreement|mass_procurement_target|containerized_munition,procurement_delay|program_cancelled|valuation_overheat,not_direct_kr_candidate_yet,missing_public_price_data,false,Private/reference case for defense-tech procurement path; not direct KR candidate input.
palantir_maven_contract_case,DEFENSE_AI_SOFTWARE_INTELLIGENCE,PLTR,Palantir Maven prototype,US,success_candidate,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,2024-05-29,,,prototype_contract|government_customer|military_ai_software,prototype_stage|political_ethics_risk|budget_cycle,watch_to_green_candidate,needs_price_backfill,false,Prototype contract is Stage-2 style evidence; recurring program-of-record revenue is required for stronger stages.
hanwha_aerospace_dilution_risk_case,DEFENSE_GOVERNMENT_BACKLOG,012450,한화에어로스페이스 유상증자 리스크,KR,failed_rerating,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,2025-03-27,2025-03-27,,capital_raise|regulator_revision_request|event_day_drawdown,dilution|unclear_use_of_proceeds|capital_allocation_risk,capital_allocation_counterexample,needs_price_backfill,false,Strong backlog can still be hit by dilution/capital-allocation risk; this is a R1 RedTeam case.
nuscale_cfpp_cancel_4c_case,NUCLEAR_SMR_GRID_POLICY,SMR,NuScale CFPP 취소,US,4c_thesis_break,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,,,2023-11-01,smr_project|policy_theme|customer_subscription_attempt,project_cancelled|cost_overrun|financing_failed|customer_subscription_failed,thesis_break,needs_price_backfill,false,"SMR policy narrative breaks when cost, financing, and customer subscription fail."
khnp_czech_legal_delay_case,NUCLEAR_SMR_GRID_POLICY,KHNP_CZECH_REF,KHNP 체코 원전 법적 지연,KR,4c_thesis_break,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,,,2025-05-01,nuclear_export_project|preferred_bidder_or_contract_expected,legal_delay|contract_signing_blocked|tender_dispute,legal_delay_4c_watch,missing_direct_symbol_mapping,false,Legal injunction or tender dispute should block nuclear policy Green until resolved.
low_margin_shipbuilding_backlog_counterexample,SHIPBUILDING_OFFSHORE_BACKLOG,LOW_MARGIN_SHIP,저마진 조선 수주잔고 반례,KR,failed_rerating,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,,,,ship_order_backlog,low_margin_backlog|steel_plate_cost|labor_cost|margin_miss,false_positive_score_risk,needs_price_backfill,false,Backlog quantity alone is insufficient; backlog quality and margin recognition are the score evidence.
geopolitical_reconstruction_no_contract_event_watch,GEOPOLITICAL_RECONSTRUCTION,RECON_EVENT,재건·네옴 정책 무계약 이벤트,KR,event_premium,THEME_VALUATION_OVERHEAT,WATCH_YELLOW_FIRST,,,,reconstruction_policy|mou_or_bid_news,actual_contract_missing|policy_event_only|financing_unknown,event_premium,missing_contract_evidence,false,"Reconstruction or mega-project policy can route research, but no binding contract means no Green."
transformer_capacity_normalization_4b_watch,GRID_TRANSFORMER_SHORTAGE,POWER_EQUIP_4B,전력설비 CAPA 정상화 4B-watch,KR,4b_watch,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,,,,transformer_shortage|valuation_band_expansion|sector_wide_ai_grid_consensus,capa_addition|new_order_growth_slowdown|new_competition,4b_watch,needs_price_backfill,false,"Transformer shortage can be Green early, but capacity additions and order-growth slowdown trigger 4B-watch."
