target_id,stage1,stage2,stage3,stage4b,stage4c,production_scoring_changed
NORTH_KOREA_POLICY_EVENT,summit_or_dialogue|tourism_reopening_headline|inter_korea_infra_theme,sanctions_relief|binding_policy|funded_project|revenue_visibility,cash_flow_project|multi_year_contract|low_sanctions_risk,summit_expectation_rally|policy_theme_basket_crowding,military_tension|facility_dismantle|road_rail_destroyed|sanctions_intact,false
GEOPOLITICAL_RECONSTRUCTION,reconstruction_conference|mou_or_policy_declaration|post_war_infra_theme,actual_project|project_financing|participating_company|construction_started,multi_year_revenue|supplier_margin|funded_backlog|delivery_schedule,reconstruction_basket_rally_before_contract|headline_project_priced,war_escalation|financing_failure|insurance_delay|project_start_delay,false
DISASTER_REBUILD_EVENT,earthquake_rebuild|wildfire_rebuild|flood_or_typhoon_rebuild,rebuild_order|insurance_or_budget_approved|sell_through|margin_visibility,repeat_rebuild_demand|fcf_after_event|multi_period_orders,disaster_theme_rally|material_basket_crowding,one_off_rebuild_fade|insurance_delay|budget_delay|inventory_build,false
CLIMATE_DISASTER_EVENT,heatwave|cooling_demand|grid_stress|air_quality_event,product_sales|grid_investment|cooling_order|repeat_weather_demand,structural_grid_capex|recurring_cooling_demand|op_eps_conversion,seasonal_weather_theme_rally|cooling_theme_crowded,weather_normalization|inventory_build|demand_fade|margin_reversal,false
EVENT_DISEASE_PEST_DEMAND,outbreak_alert|who_emergency|pest_demand_spike|stockpile_headline,government_order|stockpile_contract|guide_up|dose_or_amount_disclosed,recurring_procurement|non_event_demand|ebitda_margin_visible,outbreak_news_rally|vaccine_or_pest_basket_crowding,outbreak_normalization|government_purchase_end|inventory_build|demand_cliff,false
DIAGNOSTICS_INFECTIOUS_EVENT,diagnostic_test_demand|pandemic_or_outbreak_testing|test_kit_order,diagnostic_revenue_after_event|recurring_non_event_demand|margin_normalization,durable_testing_market|non_event_revenue_base|fcf_conversion,test_kit_rally_after_case_counts|diagnostic_margin_extrapolated,testing_demand_wane|diagnostic_sales_decline|guide_down|inventory_writeoff,false
SPECULATIVE_SCIENCE_THEME,preprint|lab_claim|sns_video|paper_keyword,replication_success|customer_testing|commercial_product|contract_or_revenue,commercial_revenue|repeat_customer|eps_fcf_conversion,preprint_sns_rally|retail_theme_crowding,replication_failure|impurity_explanation|peer_review_failure|trading_warning,false
ADVANCED_MATERIAL_SPECULATIVE_THEME,mxene_or_graphene_claim|quantum_material_news|advanced_material_theme,technical_validation|pilot_customer|supply_contract|revenue_conversion,repeat_order|commercial_scale|margin_visibility,advanced_material_theme_crowding|paper_to_price_gap,validation_failure|no_customer|no_revenue|dilution_or_funding_need,false
POLICY_LOCAL_THEME,local_policy_headline|administrative_capital_theme|regional_currency_policy,budget_approved|contract_awarded|construction_started|revenue_visibility,repeat_project_revenue|margin_visibility|fcf_conversion,local_policy_theme_rally|election_policy_crowding,policy_reversal|budget_cut|project_delay|no_company_exposure,false
ONE_OFF_EVENT_DEMAND,temporary_shortage|event_demand_spike|emergency_purchase,short_term_order|reported_revenue_spike|margin_visible,recurrence_proven|post_event_revenue_base|fcf_conversion,event_demand_extrapolated|peak_margin_crowding,demand_normalization|one_off_purchase_end|asp_or_margin_drop,false
THEME_VALUATION_OVERHEAT,price_only_rally|theme_keyword_spike|retail_crowding,real_estimate_or_contract_needed,normally_blocked_without_eps_fcf,valuation_saturation|price_blowoff|crowded_reports,estimate_cut|accounting_or_trust_issue|dilution|theme_unwind,false
